"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"17481","d3a00898abc790fd5643d05f996f05f6",68,8,1,592613,3390,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","1b335cd14d37addc486b357c3b58db27","007b0de63548bac45dfacc0870a4a537",3
"17486","d3a00898abc790fd5643d05f996f05f6",73,4,1,593345,3100,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",3
"15187","bfc4c8f688f511fb76f7fd82a3807f94",90,8,1,682542,2330,0,0,"8e90edc4eb908903bcbb567f92488049","404f3be24b921150227c13f766e084cf","007b0de63548bac45dfacc0870a4a537",3
"15191","bfc4c8f688f511fb76f7fd82a3807f94",94,4,1,682780,2150,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",2
"1472","07e76f7482773e81e2351d1692e9e5bb",106,8,1,563099,1760,0,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","67f4ecb2bff373b7f14f59bdf87b47c6","007b0de63548bac45dfacc0870a4a537",2
"17516","d3a00898abc790fd5643d05f996f05f6",109,1,1,597071,1640,1,3,"8e90edc4eb908903bcbb567f92488049","9fa70948d1ad86af009ffad239f8a464","007b0de63548bac45dfacc0870a4a537",2
"17519","d3a00898abc790fd5643d05f996f05f6",115,1,1,598922,1320,1,2,"8e90edc4eb908903bcbb567f92488049","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",2
"15203","bfc4c8f688f511fb76f7fd82a3807f94",108,2,1,685497,1150,1,3,"8e90edc4eb908903bcbb567f92488049","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",3
"17523","d3a00898abc790fd5643d05f996f05f6",119,4,1,599396,1100,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",3
"1480","07e76f7482773e81e2351d1692e9e5bb",119,2,1,564355,800,5,2,"8e90edc4eb908903bcbb567f92488049","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",3
"1481","07e76f7482773e81e2351d1692e9e5bb",122,4,1,564368,780,0,0,"8e90edc4eb908903bcbb567f92488049","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",3
"1482","07e76f7482773e81e2351d1692e9e5bb",121,1,1,564370,780,72,2,"8e90edc4eb908903bcbb567f92488049","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",3
"1489","07e76f7482773e81e2351d1692e9e5bb",133,2,1,565475,69,1,3,"8e90edc4eb908903bcbb567f92488049","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",3
"17539","d3a00898abc790fd5643d05f996f05f6",138,1,1,601254,35,42,2,"8e90edc4eb908903bcbb567f92488049","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",2
"17548","d3a00898abc790fd5643d05f996f05f6",153,4,2,604144,7060,0,0,"8e90edc4eb908903bcbb567f92488049","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",2
"17549","d3a00898abc790fd5643d05f996f05f6",152,1,2,604146,7060,72,2,"8e90edc4eb908903bcbb567f92488049","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",2
"1498","07e76f7482773e81e2351d1692e9e5bb",143,6,2,567657,7050,2,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","007b0de63548bac45dfacc0870a4a537","36f020989d86eefe270ab346e6f80e4e",2
"1500","07e76f7482773e81e2351d1692e9e5bb",146,1,2,568043,6940,44,2,"8e90edc4eb908903bcbb567f92488049","007b0de63548bac45dfacc0870a4a537","508d962863dc09f49884cdd9a53d804a",3
"1504","07e76f7482773e81e2351d1692e9e5bb",152,4,2,568573,6840,0,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",2
"17551","d3a00898abc790fd5643d05f996f05f6",155,1,2,604532,6680,5,2,"8e90edc4eb908903bcbb567f92488049","007b0de63548bac45dfacc0870a4a537","508d962863dc09f49884cdd9a53d804a",2
"17558","d3a00898abc790fd5643d05f996f05f6",161,6,2,605024,6270,1,0,"9d9ff83d0b109d3a6106a3b004424ae4","007b0de63548bac45dfacc0870a4a537","b67e5a2e593be71fe871d7d511f0ab55",3
"1511","07e76f7482773e81e2351d1692e9e5bb",159,4,2,569374,6210,0,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","007b0de63548bac45dfacc0870a4a537","6bcf6c1f8c373d25fca1579bc4464a91",2
"1514","07e76f7482773e81e2351d1692e9e5bb",162,1,2,569673,5910,44,2,"8e90edc4eb908903bcbb567f92488049","007b0de63548bac45dfacc0870a4a537","1b335cd14d37addc486b357c3b58db27",3
"15246","bfc4c8f688f511fb76f7fd82a3807f94",161,8,2,693125,5720,0,0,"8e90edc4eb908903bcbb567f92488049","007b0de63548bac45dfacc0870a4a537","f2e41e7ce25aff54b85ee5ab66f69187",3
