"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"22343","fdeb2950c4d5209d449ebd2d6afac11e",1,10,1,546470,7200,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","008c7fb331f92d216799d21a9104231a","d38e656ac7e867b6f28064fcf8d8fcaf",3
"16990","d0c6985ffc5f03ba09393699467a580a",2,10,1,546559,7200,0,0,"20c08a50314704513bb9ab9c18d70fb1","0d4f00ab57bedad897a0aecf8dfa692f","008c7fb331f92d216799d21a9104231a",2
"11962","a32200385b4594cb11f8a19e92c96835",1,10,1,583501,7200,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","bd24c26a700dff3c6b0812c487f621af","008c7fb331f92d216799d21a9104231a",3
"12372","a442eeb8e92d2941addba3996bd7d0a0",1,10,1,600360,7200,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","b90945b4a95bfc10ffc239ec4eac211d","008c7fb331f92d216799d21a9104231a",3
"11963","a32200385b4594cb11f8a19e92c96835",2,1,1,583661,7040,58,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","008c7fb331f92d216799d21a9104231a","6bcf6c1f8c373d25fca1579bc4464a91",3
"12373","a442eeb8e92d2941addba3996bd7d0a0",2,2,1,600565,7030,58,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","008c7fb331f92d216799d21a9104231a","6bcf6c1f8c373d25fca1579bc4464a91",3
"12381","a442eeb8e92d2941addba3996bd7d0a0",12,4,1,601604,6580,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","008c7fb331f92d216799d21a9104231a","6bcf6c1f8c373d25fca1579bc4464a91",3
"12382","a442eeb8e92d2941addba3996bd7d0a0",13,2,1,601644,6530,58,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","008c7fb331f92d216799d21a9104231a","6bcf6c1f8c373d25fca1579bc4464a91",3
"17000","d0c6985ffc5f03ba09393699467a580a",13,4,1,547838,6330,0,0,"20c08a50314704513bb9ab9c18d70fb1","008c7fb331f92d216799d21a9104231a","6bcf6c1f8c373d25fca1579bc4464a91",2
"11975","a32200385b4594cb11f8a19e92c96835",14,4,1,585063,5930,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","008c7fb331f92d216799d21a9104231a","6bcf6c1f8c373d25fca1579bc4464a91",3
"12390","a442eeb8e92d2941addba3996bd7d0a0",21,2,1,602271,5930,58,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","008c7fb331f92d216799d21a9104231a","6bcf6c1f8c373d25fca1579bc4464a91",3
"11976","a32200385b4594cb11f8a19e92c96835",15,1,1,585096,5890,47,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","008c7fb331f92d216799d21a9104231a","6bcf6c1f8c373d25fca1579bc4464a91",3
