"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"11346","9dce47bc3cbabd451a9bab758ca5467f",291,8,3,631941,4950,0,0,"e1f2c56e5df4f2e975a969f329a7068c","0328d04afb4a867fdabad5bdf2ae8ec2","00d19f69501c09d98507b48ceff105e6",3
"11351","9dce47bc3cbabd451a9bab758ca5467f",297,5,3,632594,4600,2,1,"e1f2c56e5df4f2e975a969f329a7068c","d6bc5eb6ed54c734628cb4d237f99031","00d19f69501c09d98507b48ceff105e6",3
"11352","9dce47bc3cbabd451a9bab758ca5467f",298,5,3,632620,4580,45,0,"6f5316b35198f3198c828d9882a79846","00d19f69501c09d98507b48ceff105e6","6bcf6c1f8c373d25fca1579bc4464a91",2
"11354","9dce47bc3cbabd451a9bab758ca5467f",302,4,3,632794,4490,0,0,"e1f2c56e5df4f2e975a969f329a7068c","00d19f69501c09d98507b48ceff105e6","6bcf6c1f8c373d25fca1579bc4464a91",3
"11361","9dce47bc3cbabd451a9bab758ca5467f",309,1,3,633540,3960,5,2,"6f5316b35198f3198c828d9882a79846","00d19f69501c09d98507b48ceff105e6","1376b4800e5b2d50ce35a57827eadcfc",2
"11362","9dce47bc3cbabd451a9bab758ca5467f",310,6,3,633541,3960,2,0,"6f5316b35198f3198c828d9882a79846","4341f809d409ac17565852620cf80cbd","00d19f69501c09d98507b48ceff105e6",2
"11363","9dce47bc3cbabd451a9bab758ca5467f",311,3,3,633667,3960,10,1,"6f5316b35198f3198c828d9882a79846","00d19f69501c09d98507b48ceff105e6","6bcf6c1f8c373d25fca1579bc4464a91",2
"11371","9dce47bc3cbabd451a9bab758ca5467f",321,4,3,634959,3410,0,0,"6f5316b35198f3198c828d9882a79846","00d19f69501c09d98507b48ceff105e6","6bcf6c1f8c373d25fca1579bc4464a91",2
"11375","9dce47bc3cbabd451a9bab758ca5467f",325,2,3,635522,2820,42,2,"6f5316b35198f3198c828d9882a79846","00d19f69501c09d98507b48ceff105e6","6bcf6c1f8c373d25fca1579bc4464a91",2
"10918","9db75b921076b5848cba7ca36436147c",321,8,3,724702,2210,0,0,"6f5316b35198f3198c828d9882a79846","d1af6080bd4b6a794ba3595dab2b1fb8","00d19f69501c09d98507b48ceff105e6",3
"10919","9db75b921076b5848cba7ca36436147c",322,1,3,724921,2060,1,3,"6f5316b35198f3198c828d9882a79846","6b08fc64c8d282c36e800d28eb278027","00d19f69501c09d98507b48ceff105e6",3
"10930","9db75b921076b5848cba7ca36436147c",336,6,3,726099,1460,1,1,"6f5316b35198f3198c828d9882a79846","c5a353e301078ea1cb4e8bc8fede12e9","00d19f69501c09d98507b48ceff105e6",3
"10931","9db75b921076b5848cba7ca36436147c",337,3,3,726419,1460,11,1,"6f5316b35198f3198c828d9882a79846","00d19f69501c09d98507b48ceff105e6","6bcf6c1f8c373d25fca1579bc4464a91",3
"10934","9db75b921076b5848cba7ca36436147c",341,3,3,726648,1460,12,1,"6f5316b35198f3198c828d9882a79846","00d19f69501c09d98507b48ceff105e6","6bcf6c1f8c373d25fca1579bc4464a91",3
"11401","9dce47bc3cbabd451a9bab758ca5467f",356,6,3,639804,1060,2,1,"e1f2c56e5df4f2e975a969f329a7068c","00d19f69501c09d98507b48ceff105e6","2f1121d01dbff3e3dd6f17841dd34120",3
"11405","9dce47bc3cbabd451a9bab758ca5467f",361,5,3,640347,900,45,0,"6f5316b35198f3198c828d9882a79846","00d19f69501c09d98507b48ceff105e6","6bcf6c1f8c373d25fca1579bc4464a91",2
"10961","9db75b921076b5848cba7ca36436147c",377,5,3,730367,524,2,1,"6f5316b35198f3198c828d9882a79846","00d19f69501c09d98507b48ceff105e6","7c1c2ad6f3088c952dffd0335bb3af9b",3
"11426","9dce47bc3cbabd451a9bab758ca5467f",386,8,4,644504,6530,0,0,"e1f2c56e5df4f2e975a969f329a7068c","00d19f69501c09d98507b48ceff105e6","d1af6080bd4b6a794ba3595dab2b1fb8",3
"11444","9dce47bc3cbabd451a9bab758ca5467f",407,8,4,648052,5340,0,0,"e1f2c56e5df4f2e975a969f329a7068c","84a4a3c70c57b7d570baca43b5423ba3","00d19f69501c09d98507b48ceff105e6",3
"11448","9dce47bc3cbabd451a9bab758ca5467f",411,5,4,648572,5050,45,0,"6f5316b35198f3198c828d9882a79846","00d19f69501c09d98507b48ceff105e6","6bcf6c1f8c373d25fca1579bc4464a91",2
"11464","9dce47bc3cbabd451a9bab758ca5467f",428,1,4,650576,4000,98,2,"6f5316b35198f3198c828d9882a79846","00d19f69501c09d98507b48ceff105e6","b248b1d9caa41a3562d67584c1a0b399",2
