"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"16509","cc638bdf25316add638154b45434aebd",4,6,1,583098,6790,2,0,"012059d397c0b7e5a30a5bb89c0b075e","45e7a758a91a254ff04756562e740f2d","011ffbd69cd25a2324c720b64f31712a",3
"16510","cc638bdf25316add638154b45434aebd",5,3,1,583196,6790,11,2,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"16512","cc638bdf25316add638154b45434aebd",7,3,1,583261,6790,12,1,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"16516","cc638bdf25316add638154b45434aebd",575,2,1,583681,6530,42,2,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"16541","cc638bdf25316add638154b45434aebd",43,4,1,587098,5090,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",2
"16550","cc638bdf25316add638154b45434aebd",52,1,1,587921,4380,49,2,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"16558","cc638bdf25316add638154b45434aebd",61,8,1,590285,3520,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","011ffbd69cd25a2324c720b64f31712a","a99f44bbff39e352191a870e17f04537",2
"16606","cc638bdf25316add638154b45434aebd",117,8,1,595604,1670,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","a99f44bbff39e352191a870e17f04537","011ffbd69cd25a2324c720b64f31712a",2
"16609","cc638bdf25316add638154b45434aebd",122,2,1,596158,1440,1,3,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"9783","896bcac9b0f35b250c9fb7a6325d8599",102,8,1,613655,1160,0,0,"b64dba595e29fe34a124c65f682f27fb","4341f809d409ac17565852620cf80cbd","011ffbd69cd25a2324c720b64f31712a",3
"9801","896bcac9b0f35b250c9fb7a6325d8599",126,5,1,616023,129,1,1,"e1f2c56e5df4f2e975a969f329a7068c","011ffbd69cd25a2324c720b64f31712a","74c4ae2b904d732ede2f08765d27deea",2
"16637","cc638bdf25316add638154b45434aebd",154,5,2,600966,7060,45,0,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"9809","896bcac9b0f35b250c9fb7a6325d8599",136,4,2,618076,7060,0,0,"b64dba595e29fe34a124c65f682f27fb","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"16649","cc638bdf25316add638154b45434aebd",166,1,2,602251,6230,5,2,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","2b313e2bcef0268bc8e9415132ba9997",3
"9823","896bcac9b0f35b250c9fb7a6325d8599",151,2,2,619593,5940,41,2,"e1f2c56e5df4f2e975a969f329a7068c","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",2
"12488","a442eeb8e92d2941addba3996bd7d0a0",136,6,2,618165,5710,26,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a7bab1764e8696f355e018c6fd0e8b7","011ffbd69cd25a2324c720b64f31712a",3
"16671","cc638bdf25316add638154b45434aebd",193,1,2,605871,5190,1,3,"012059d397c0b7e5a30a5bb89c0b075e","a99f44bbff39e352191a870e17f04537","011ffbd69cd25a2324c720b64f31712a",3
"12501","a442eeb8e92d2941addba3996bd7d0a0",150,4,2,620945,5060,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"9836","896bcac9b0f35b250c9fb7a6325d8599",167,6,2,622193,5040,2,0,"b64dba595e29fe34a124c65f682f27fb","011ffbd69cd25a2324c720b64f31712a","74c4ae2b904d732ede2f08765d27deea",3
"9837","896bcac9b0f35b250c9fb7a6325d8599",168,8,2,622359,5040,0,0,"b64dba595e29fe34a124c65f682f27fb","011ffbd69cd25a2324c720b64f31712a","e96dc78c444bead3a3e7d169f2fa6e07",3
"16673","cc638bdf25316add638154b45434aebd",195,1,2,606153,4910,1,3,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","2b313e2bcef0268bc8e9415132ba9997",3
"16674","cc638bdf25316add638154b45434aebd",197,5,2,606408,4780,1,1,"3cd0b15957ceb80f5125bef8bd1bbea7","bc6bc2e33f8e12c3632ba3cbf67200d1","011ffbd69cd25a2324c720b64f31712a",2
"4376","1f9e3cb05c031986cf8bc7c0a84cc517",168,2,2,587203,4730,1,2,"e1f2c56e5df4f2e975a969f329a7068c","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"4378","1f9e3cb05c031986cf8bc7c0a84cc517",170,6,2,587337,4640,2,0,"8362dfecb7412f12a12713852d2ae566","011ffbd69cd25a2324c720b64f31712a","bb78908ffd321b2e0709b9b462786360",2
"12509","a442eeb8e92d2941addba3996bd7d0a0",159,4,2,621737,4580,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"4383","1f9e3cb05c031986cf8bc7c0a84cc517",177,2,2,588078,4290,1,3,"e1f2c56e5df4f2e975a969f329a7068c","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"12517","a442eeb8e92d2941addba3996bd7d0a0",167,8,2,622389,4270,0,0,"e1f2c56e5df4f2e975a969f329a7068c","011ffbd69cd25a2324c720b64f31712a","c6199433c79a95a34133f86971a148b1",2
"4386","1f9e3cb05c031986cf8bc7c0a84cc517",180,8,2,588498,4140,0,0,"8362dfecb7412f12a12713852d2ae566","011ffbd69cd25a2324c720b64f31712a","e96dc78c444bead3a3e7d169f2fa6e07",2
"16701","cc638bdf25316add638154b45434aebd",223,1,2,608239,3450,44,2,"012059d397c0b7e5a30a5bb89c0b075e","c721802743c4dd0a6d0fbdc0ccb8d196","011ffbd69cd25a2324c720b64f31712a",3
"16723","cc638bdf25316add638154b45434aebd",248,1,2,611984,2000,1,3,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","6bf40f9c2b640febc71d1393fb24d894",3
"16725","cc638bdf25316add638154b45434aebd",250,6,2,612139,1880,2,0,"3cd0b15957ceb80f5125bef8bd1bbea7","011ffbd69cd25a2324c720b64f31712a","45e7a758a91a254ff04756562e740f2d",2
"16727","cc638bdf25316add638154b45434aebd",253,1,2,612589,1770,7,2,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","a99f44bbff39e352191a870e17f04537",3
"16752","cc638bdf25316add638154b45434aebd",281,6,2,616460,17,2,1,"012059d397c0b7e5a30a5bb89c0b075e","45e7a758a91a254ff04756562e740f2d","011ffbd69cd25a2324c720b64f31712a",3
"16753","cc638bdf25316add638154b45434aebd",282,3,2,616627,17,11,1,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"16754","cc638bdf25316add638154b45434aebd",284,3,2,616679,17,12,1,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"16766","cc638bdf25316add638154b45434aebd",299,5,3,627707,6470,45,0,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"16773","cc638bdf25316add638154b45434aebd",307,1,3,628364,6030,7,2,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","2b313e2bcef0268bc8e9415132ba9997",3
"16777","cc638bdf25316add638154b45434aebd",311,1,3,628743,5650,52,2,"012059d397c0b7e5a30a5bb89c0b075e","5234e98b6206eb09c43f8cf19ae9d6ef","011ffbd69cd25a2324c720b64f31712a",3
"16778","cc638bdf25316add638154b45434aebd",312,6,3,628951,5480,1,0,"3cd0b15957ceb80f5125bef8bd1bbea7","011ffbd69cd25a2324c720b64f31712a","45e7a758a91a254ff04756562e740f2d",2
"16779","cc638bdf25316add638154b45434aebd",313,6,3,629189,5380,2,0,"3cd0b15957ceb80f5125bef8bd1bbea7","011ffbd69cd25a2324c720b64f31712a","45e7a758a91a254ff04756562e740f2d",2
"16781","cc638bdf25316add638154b45434aebd",316,8,3,629468,5380,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","011ffbd69cd25a2324c720b64f31712a","6bf40f9c2b640febc71d1393fb24d894",2
"16802","cc638bdf25316add638154b45434aebd",345,8,3,632154,4310,0,0,"012059d397c0b7e5a30a5bb89c0b075e","c721802743c4dd0a6d0fbdc0ccb8d196","011ffbd69cd25a2324c720b64f31712a",3
"16832","cc638bdf25316add638154b45434aebd",376,4,3,637247,2030,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",2
"16837","cc638bdf25316add638154b45434aebd",381,1,3,637766,1800,42,2,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","1362d9ad805e7cc4ea3a9467c91142d6",3
"16838","cc638bdf25316add638154b45434aebd",382,6,3,637767,1800,2,0,"012059d397c0b7e5a30a5bb89c0b075e","7afc3cf0c2557f13e927da9ab03725dc","011ffbd69cd25a2324c720b64f31712a",3
"16839","cc638bdf25316add638154b45434aebd",385,3,3,638091,1800,10,2,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"16842","cc638bdf25316add638154b45434aebd",388,1,3,638212,1550,42,2,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","1362d9ad805e7cc4ea3a9467c91142d6",3
"16843","cc638bdf25316add638154b45434aebd",389,5,3,638342,1430,1,1,"3cd0b15957ceb80f5125bef8bd1bbea7","4f4e47023263931e1445dc97f7dae941","011ffbd69cd25a2324c720b64f31712a",2
