"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"16506","cc638bdf25316add638154b45434aebd",1,10,1,582619,7200,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","5234e98b6206eb09c43f8cf19ae9d6ef",2
"22349","fdeb2950c4d5209d449ebd2d6afac11e",6,1,1,546957,6710,5,2,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","c4072556336827a70c8a0298bc658b5b",3
"16513","cc638bdf25316add638154b45434aebd",9,2,1,583497,6680,1,2,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",2
"22353","fdeb2950c4d5209d449ebd2d6afac11e",13,4,1,547250,6420,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"22354","fdeb2950c4d5209d449ebd2d6afac11e",14,2,1,547264,6410,97,2,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"16524","cc638bdf25316add638154b45434aebd",21,4,1,584872,5950,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",2
"22365","fdeb2950c4d5209d449ebd2d6afac11e",26,1,1,548048,5690,98,2,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","d38e656ac7e867b6f28064fcf8d8fcaf",3
"22367","fdeb2950c4d5209d449ebd2d6afac11e",29,1,1,548396,5350,79,3,"3cd0b15957ceb80f5125bef8bd1bbea7","315f46f7a5e1de7ef9b4c2430ce64e2d","021dabc5d7a1404ec8ad34fe8ca4b5e3",3
"16536","cc638bdf25316add638154b45434aebd",35,4,1,586391,5240,0,0,"012059d397c0b7e5a30a5bb89c0b075e","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"16547","cc638bdf25316add638154b45434aebd",49,4,1,587559,4640,0,0,"012059d397c0b7e5a30a5bb89c0b075e","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"22379","fdeb2950c4d5209d449ebd2d6afac11e",43,1,1,549635,4470,79,2,"3cd0b15957ceb80f5125bef8bd1bbea7","45e7a758a91a254ff04756562e740f2d","021dabc5d7a1404ec8ad34fe8ca4b5e3",3
"2428","09d46e3d7a8253b7209100650b5afaeb",57,8,1,423892,4170,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","6f63b8522b79b45c4b88cf0129161f01","021dabc5d7a1404ec8ad34fe8ca4b5e3",2
"16554","cc638bdf25316add638154b45434aebd",56,5,1,588564,3830,45,0,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",2
"22389","fdeb2950c4d5209d449ebd2d6afac11e",55,2,1,552186,3530,7,2,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"16567","cc638bdf25316add638154b45434aebd",71,4,1,590957,3300,0,0,"012059d397c0b7e5a30a5bb89c0b075e","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"16573","cc638bdf25316add638154b45434aebd",79,4,1,591678,3040,0,0,"012059d397c0b7e5a30a5bb89c0b075e","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"16578","cc638bdf25316add638154b45434aebd",84,8,1,592110,2970,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","bc6bc2e33f8e12c3632ba3cbf67200d1",2
"1965","0868dee930f69a54541d4ae88b841a37",73,8,1,572837,2770,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","8c95d54ad5593f5c4fc5015dcded3b55","021dabc5d7a1404ec8ad34fe8ca4b5e3",2
"2457","09d46e3d7a8253b7209100650b5afaeb",98,4,1,429148,2730,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",2
"2458","09d46e3d7a8253b7209100650b5afaeb",97,1,1,429150,2730,97,2,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",2
"22403","fdeb2950c4d5209d449ebd2d6afac11e",72,6,1,554764,2540,2,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","021dabc5d7a1404ec8ad34fe8ca4b5e3","c6e0c30c8c02b0706682ec89eb6fc565",2
"22405","fdeb2950c4d5209d449ebd2d6afac11e",75,8,1,555048,2540,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","021dabc5d7a1404ec8ad34fe8ca4b5e3","7afc3cf0c2557f13e927da9ab03725dc",2
"2460","09d46e3d7a8253b7209100650b5afaeb",101,1,1,429558,2320,1,2,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",2
"2470","09d46e3d7a8253b7209100650b5afaeb",112,6,1,430285,1640,2,0,"cd45058739ed0ac8229849c6249aad48","021dabc5d7a1404ec8ad34fe8ca4b5e3","3f67235a5607746cc215eee5dd447a5e",3
"2475","09d46e3d7a8253b7209100650b5afaeb",119,5,1,431151,1460,4,0,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",2
"2483","09d46e3d7a8253b7209100650b5afaeb",127,4,1,431765,1000,0,0,"cd45058739ed0ac8229849c6249aad48","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"1990","0868dee930f69a54541d4ae88b841a37",102,6,1,575474,850,2,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","021dabc5d7a1404ec8ad34fe8ca4b5e3","36f020989d86eefe270ab346e6f80e4e",3
"1994","0868dee930f69a54541d4ae88b841a37",109,4,1,577288,840,0,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"2486","09d46e3d7a8253b7209100650b5afaeb",130,6,1,431975,820,2,1,"cd45058739ed0ac8229849c6249aad48","021dabc5d7a1404ec8ad34fe8ca4b5e3","6284f9ad059fd7910f24ab69df891760",3
"2495","09d46e3d7a8253b7209100650b5afaeb",143,8,1,433278,321,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","be9b1397bcb9fb9104edd23670988cda",2
"2003","0868dee930f69a54541d4ae88b841a37",120,4,1,578656,44,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",2
