"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"8484","7fad2269ee0d11ae5069ff23ecb25913",62,8,1,680117,2680,0,0,"b64dba595e29fe34a124c65f682f27fb","64b5b3b574055d3d0e71c4c9b5f48498","02c4c706481eedebb00f53520176f60e",2
"8508","7fad2269ee0d11ae5069ff23ecb25913",92,2,1,684599,950,5,2,"de15a687fa7995b12a3e4b0a1fa8db14","02c4c706481eedebb00f53520176f60e","6bcf6c1f8c373d25fca1579bc4464a91",3
"8511","7fad2269ee0d11ae5069ff23ecb25913",95,5,1,684988,585,40,0,"de15a687fa7995b12a3e4b0a1fa8db14","02c4c706481eedebb00f53520176f60e","6bcf6c1f8c373d25fca1579bc4464a91",3
"8532","7fad2269ee0d11ae5069ff23ecb25913",119,1,2,689339,6740,108,2,"de15a687fa7995b12a3e4b0a1fa8db14","100cf64c65b01e459c9fdda0f8b75061","02c4c706481eedebb00f53520176f60e",3
"8539","7fad2269ee0d11ae5069ff23ecb25913",126,6,2,690125,6000,2,0,"b64dba595e29fe34a124c65f682f27fb","02c4c706481eedebb00f53520176f60e","8ac430587c75579c9d99eba78169afdc",2
"8543","7fad2269ee0d11ae5069ff23ecb25913",133,1,2,690743,5830,5,2,"de15a687fa7995b12a3e4b0a1fa8db14","02c4c706481eedebb00f53520176f60e","0b9f9787580f7ca0dbba7a0eb39b1c4d",3
"8564","7fad2269ee0d11ae5069ff23ecb25913",156,8,2,694339,4660,0,0,"b64dba595e29fe34a124c65f682f27fb","02c4c706481eedebb00f53520176f60e","5b82a306c99fa6afb74114ad40c19c94",2
"8589","7fad2269ee0d11ae5069ff23ecb25913",185,8,2,698480,3300,0,0,"b64dba595e29fe34a124c65f682f27fb","64b5b3b574055d3d0e71c4c9b5f48498","02c4c706481eedebb00f53520176f60e",2
"8594","7fad2269ee0d11ae5069ff23ecb25913",190,6,2,699095,2730,2,0,"b64dba595e29fe34a124c65f682f27fb","02c4c706481eedebb00f53520176f60e","6601540cadf11d946589194c685da2bf",2
"8598","7fad2269ee0d11ae5069ff23ecb25913",195,5,2,699560,2600,2,1,"de15a687fa7995b12a3e4b0a1fa8db14","02c4c706481eedebb00f53520176f60e","a1b3d414dba333bb2413b054b8460c07",3
"8617","7fad2269ee0d11ae5069ff23ecb25913",214,4,2,701586,990,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","02c4c706481eedebb00f53520176f60e","6bcf6c1f8c373d25fca1579bc4464a91",3
"8618","7fad2269ee0d11ae5069ff23ecb25913",215,1,2,701594,990,72,2,"de15a687fa7995b12a3e4b0a1fa8db14","02c4c706481eedebb00f53520176f60e","6bcf6c1f8c373d25fca1579bc4464a91",3
"8623","7fad2269ee0d11ae5069ff23ecb25913",221,8,2,703371,780,0,0,"b64dba595e29fe34a124c65f682f27fb","02c4c706481eedebb00f53520176f60e","64b5b3b574055d3d0e71c4c9b5f48498",2
"8667","7fad2269ee0d11ae5069ff23ecb25913",274,8,3,720912,3470,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","5b82a306c99fa6afb74114ad40c19c94","02c4c706481eedebb00f53520176f60e",3
"8719","7fad2269ee0d11ae5069ff23ecb25913",339,8,3,728661,290,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","02c4c706481eedebb00f53520176f60e","0b9f9787580f7ca0dbba7a0eb39b1c4d",3
"8734","7fad2269ee0d11ae5069ff23ecb25913",358,2,4,732021,6500,1,2,"de15a687fa7995b12a3e4b0a1fa8db14","02c4c706481eedebb00f53520176f60e","6bcf6c1f8c373d25fca1579bc4464a91",3
"8744","7fad2269ee0d11ae5069ff23ecb25913",369,1,4,733170,5850,1,2,"de15a687fa7995b12a3e4b0a1fa8db14","0b9f9787580f7ca0dbba7a0eb39b1c4d","02c4c706481eedebb00f53520176f60e",3
"8746","7fad2269ee0d11ae5069ff23ecb25913",372,5,4,733695,5570,45,0,"de15a687fa7995b12a3e4b0a1fa8db14","02c4c706481eedebb00f53520176f60e","6bcf6c1f8c373d25fca1579bc4464a91",3
"8760","7fad2269ee0d11ae5069ff23ecb25913",387,1,4,736653,4310,67,2,"de15a687fa7995b12a3e4b0a1fa8db14","02c4c706481eedebb00f53520176f60e","6bcf6c1f8c373d25fca1579bc4464a91",3
"8763","7fad2269ee0d11ae5069ff23ecb25913",390,8,4,736964,4140,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","02c4c706481eedebb00f53520176f60e","64b5b3b574055d3d0e71c4c9b5f48498",3
"8787","7fad2269ee0d11ae5069ff23ecb25913",416,8,4,740737,2680,0,0,"b64dba595e29fe34a124c65f682f27fb","5b82a306c99fa6afb74114ad40c19c94","02c4c706481eedebb00f53520176f60e",2
"8795","7fad2269ee0d11ae5069ff23ecb25913",425,1,4,741965,1660,1,3,"de15a687fa7995b12a3e4b0a1fa8db14","0b9f9787580f7ca0dbba7a0eb39b1c4d","02c4c706481eedebb00f53520176f60e",3
"8797","7fad2269ee0d11ae5069ff23ecb25913",427,6,4,742243,1440,2,0,"b64dba595e29fe34a124c65f682f27fb","02c4c706481eedebb00f53520176f60e","0b0922346df190dd8f900c44c1fae592",2
"8826","7fad2269ee0d11ae5069ff23ecb25913",461,2,4,747012,69,47,3,"de15a687fa7995b12a3e4b0a1fa8db14","02c4c706481eedebb00f53520176f60e","6bcf6c1f8c373d25fca1579bc4464a91",3
