"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"11147","9dce47bc3cbabd451a9bab758ca5467f",53,8,1,588786,3700,0,0,"6f5316b35198f3198c828d9882a79846","71cd93e320cd2da78733d23dae3274a0","0328d04afb4a867fdabad5bdf2ae8ec2",2
"11189","9dce47bc3cbabd451a9bab758ca5467f",99,2,1,594216,599,42,2,"6f5316b35198f3198c828d9882a79846","0328d04afb4a867fdabad5bdf2ae8ec2","6bcf6c1f8c373d25fca1579bc4464a91",2
"11191","9dce47bc3cbabd451a9bab758ca5467f",101,6,1,594519,343,2,0,"e1f2c56e5df4f2e975a969f329a7068c","0328d04afb4a867fdabad5bdf2ae8ec2","e2e8d3e46399c9cfcdd591a26e81cf5f",3
"11228","9dce47bc3cbabd451a9bab758ca5467f",145,6,2,601005,5500,17,0,"e1f2c56e5df4f2e975a969f329a7068c","0328d04afb4a867fdabad5bdf2ae8ec2","6bcf6c1f8c373d25fca1579bc4464a91",3
"11239","9dce47bc3cbabd451a9bab758ca5467f",160,1,2,603691,4950,57,2,"6f5316b35198f3198c828d9882a79846","0328d04afb4a867fdabad5bdf2ae8ec2","6bcf6c1f8c373d25fca1579bc4464a91",2
"11242","9dce47bc3cbabd451a9bab758ca5467f",163,1,2,603903,4740,41,2,"6f5316b35198f3198c828d9882a79846","0328d04afb4a867fdabad5bdf2ae8ec2","e2d5a38e5f826708c89f2f728eade916",2
"11253","9dce47bc3cbabd451a9bab758ca5467f",175,8,2,606163,4040,0,0,"6f5316b35198f3198c828d9882a79846","0328d04afb4a867fdabad5bdf2ae8ec2","6b08fc64c8d282c36e800d28eb278027",2
"11270","9dce47bc3cbabd451a9bab758ca5467f",194,8,2,608643,2930,0,0,"e1f2c56e5df4f2e975a969f329a7068c","84a4a3c70c57b7d570baca43b5423ba3","0328d04afb4a867fdabad5bdf2ae8ec2",3
"11293","9dce47bc3cbabd451a9bab758ca5467f",225,6,2,613639,1420,5,1,"e1f2c56e5df4f2e975a969f329a7068c","0328d04afb4a867fdabad5bdf2ae8ec2","e2e8d3e46399c9cfcdd591a26e81cf5f",3
"11331","9dce47bc3cbabd451a9bab758ca5467f",272,2,3,628522,5970,83,2,"6f5316b35198f3198c828d9882a79846","0328d04afb4a867fdabad5bdf2ae8ec2","6bcf6c1f8c373d25fca1579bc4464a91",2
"11335","9dce47bc3cbabd451a9bab758ca5467f",277,1,3,630309,5700,1,3,"6f5316b35198f3198c828d9882a79846","0328d04afb4a867fdabad5bdf2ae8ec2","8bea2707e7bf04c8a3d8188b87d92c0e",2
"11343","9dce47bc3cbabd451a9bab758ca5467f",287,5,3,631305,5090,2,1,"6f5316b35198f3198c828d9882a79846","0328d04afb4a867fdabad5bdf2ae8ec2","d6bc5eb6ed54c734628cb4d237f99031",2
"11346","9dce47bc3cbabd451a9bab758ca5467f",291,8,3,631941,4950,0,0,"e1f2c56e5df4f2e975a969f329a7068c","0328d04afb4a867fdabad5bdf2ae8ec2","00d19f69501c09d98507b48ceff105e6",3
"11384","9dce47bc3cbabd451a9bab758ca5467f",334,8,3,637075,2780,0,0,"6f5316b35198f3198c828d9882a79846","6b08fc64c8d282c36e800d28eb278027","0328d04afb4a867fdabad5bdf2ae8ec2",2
"11386","9dce47bc3cbabd451a9bab758ca5467f",338,6,3,637584,2500,2,1,"e1f2c56e5df4f2e975a969f329a7068c","0328d04afb4a867fdabad5bdf2ae8ec2","35ca3467b0fbb6a737c25f3f4ca5b2a8",3
"11393","9dce47bc3cbabd451a9bab758ca5467f",347,1,3,638483,2100,1,3,"6f5316b35198f3198c828d9882a79846","0328d04afb4a867fdabad5bdf2ae8ec2","84a4a3c70c57b7d570baca43b5423ba3",2
"11395","9dce47bc3cbabd451a9bab758ca5467f",349,4,3,638756,1830,0,0,"e1f2c56e5df4f2e975a969f329a7068c","0328d04afb4a867fdabad5bdf2ae8ec2","6bcf6c1f8c373d25fca1579bc4464a91",3
"11415","9dce47bc3cbabd451a9bab758ca5467f",373,2,3,641940,166,1,3,"6f5316b35198f3198c828d9882a79846","0328d04afb4a867fdabad5bdf2ae8ec2","6bcf6c1f8c373d25fca1579bc4464a91",2
"11422","9dce47bc3cbabd451a9bab758ca5467f",382,1,4,643974,6920,52,2,"6f5316b35198f3198c828d9882a79846","d2a15fd08b7e2fce833c736710c3fd5e","0328d04afb4a867fdabad5bdf2ae8ec2",2
"11481","9dce47bc3cbabd451a9bab758ca5467f",449,8,4,653301,3290,0,0,"6f5316b35198f3198c828d9882a79846","0328d04afb4a867fdabad5bdf2ae8ec2","84a4a3c70c57b7d570baca43b5423ba3",2
