"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"21026","e44e31fefaa028c1e9df1a71d4aff555",3,1,1,585501,7040,1,3,"0a6fc39f34702cff144525dfd265f8fa","039bd19014e6cfcf867f442aa412ad6a","93cccaa284535f9bef1dbce1d6adfb34",2
"5216","2faabfa663f4dfb9ed83a1482088e092",3,4,1,474417,6920,0,0,"689ca95d19ef8d959ae9e70f41b6d0a7","039bd19014e6cfcf867f442aa412ad6a","6bcf6c1f8c373d25fca1579bc4464a91",2
"5217","2faabfa663f4dfb9ed83a1482088e092",4,6,1,474537,6820,1,0,"0a6fc39f34702cff144525dfd265f8fa","c493d9929037f011bcb3ff8a2e468c6a","039bd19014e6cfcf867f442aa412ad6a",3
"11558","a109cef8327feae75c3e4885cb4c6e2d",4,1,1,564855,6670,1,3,"0a6fc39f34702cff144525dfd265f8fa","039bd19014e6cfcf867f442aa412ad6a","522a32a0442e32bce9aba28ac7ba327b",2
"5222","2faabfa663f4dfb9ed83a1482088e092",9,6,1,474952,6600,3,0,"689ca95d19ef8d959ae9e70f41b6d0a7","039bd19014e6cfcf867f442aa412ad6a","293f2b24a7c44b0d65cd9ac09b680ffc",2
"11560","a109cef8327feae75c3e4885cb4c6e2d",6,1,1,565320,6210,1,3,"0a6fc39f34702cff144525dfd265f8fa","039bd19014e6cfcf867f442aa412ad6a","93cccaa284535f9bef1dbce1d6adfb34",2
"21033","e44e31fefaa028c1e9df1a71d4aff555",10,2,1,586551,6200,79,2,"0a6fc39f34702cff144525dfd265f8fa","039bd19014e6cfcf867f442aa412ad6a","6bcf6c1f8c373d25fca1579bc4464a91",2
"11562","a109cef8327feae75c3e4885cb4c6e2d",8,4,1,565486,6050,0,0,"e2d25dd55740327314a2a0b874621ba8","039bd19014e6cfcf867f442aa412ad6a","6bcf6c1f8c373d25fca1579bc4464a91",3
"11563","a109cef8327feae75c3e4885cb4c6e2d",9,1,1,565545,5990,108,2,"0a6fc39f34702cff144525dfd265f8fa","93cccaa284535f9bef1dbce1d6adfb34","039bd19014e6cfcf867f442aa412ad6a",2
"21038","e44e31fefaa028c1e9df1a71d4aff555",15,4,1,586820,5930,0,0,"0a6fc39f34702cff144525dfd265f8fa","039bd19014e6cfcf867f442aa412ad6a","6bcf6c1f8c373d25fca1579bc4464a91",2
