"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"2837","13ced855d491384876c6ab807bd1d3db",6,4,1,330047,6790,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",3
"2838","13ced855d491384876c6ab807bd1d3db",7,6,1,330263,6660,2,0,"af9d335fe8dec87c939d27a9de259b45","394e78a51b6d2fd3c046f11f49fcab57","03de9006db92bdee3030980760dcbcf5",2
"2839","13ced855d491384876c6ab807bd1d3db",8,3,1,330368,6660,11,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"2841","13ced855d491384876c6ab807bd1d3db",10,3,1,330449,6660,12,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"2844","13ced855d491384876c6ab807bd1d3db",14,4,1,330673,6530,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",3
"2858","13ced855d491384876c6ab807bd1d3db",30,6,1,332387,5260,1,0,"cc5e0f4efd0f5410547d4e73f38f7811","03de9006db92bdee3030980760dcbcf5","d8e4f0fd2e836518e681c99a3f9e4411",3
"2869","13ced855d491384876c6ab807bd1d3db",39,1,1,333586,4330,80,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"2891","13ced855d491384876c6ab807bd1d3db",67,10,1,337187,2760,0,0,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","d8e4f0fd2e836518e681c99a3f9e4411",2
"2892","13ced855d491384876c6ab807bd1d3db",69,1,1,337340,2610,86,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"2900","13ced855d491384876c6ab807bd1d3db",79,5,1,339643,1890,4,0,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"2907","13ced855d491384876c6ab807bd1d3db",86,1,1,340529,1460,1,3,"af9d335fe8dec87c939d27a9de259b45","d5701055e262ef5bd9f3fa6e11014327","03de9006db92bdee3030980760dcbcf5",2
"2916","13ced855d491384876c6ab807bd1d3db",97,2,1,341330,1170,79,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"2919","13ced855d491384876c6ab807bd1d3db",100,4,1,341514,980,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",3
"2920","13ced855d491384876c6ab807bd1d3db",101,1,1,341577,920,1,3,"af9d335fe8dec87c939d27a9de259b45","881f83d2dee3f18c7d1751659406144e","03de9006db92bdee3030980760dcbcf5",2
"2922","13ced855d491384876c6ab807bd1d3db",103,2,1,341920,589,1,3,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"2935","13ced855d491384876c6ab807bd1d3db",118,8,1,343513,38,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","03de9006db92bdee3030980760dcbcf5","98657a73f988f7c0824a16fd368bfa62",3
"2983","13ced855d491384876c6ab807bd1d3db",174,8,2,352173,4360,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","d5701055e262ef5bd9f3fa6e11014327","03de9006db92bdee3030980760dcbcf5",3
"2985","13ced855d491384876c6ab807bd1d3db",176,4,2,352393,4260,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",3
"2988","13ced855d491384876c6ab807bd1d3db",179,1,2,352682,4160,83,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","98657a73f988f7c0824a16fd368bfa62",2
"2989","13ced855d491384876c6ab807bd1d3db",180,6,2,352683,4160,2,1,"af9d335fe8dec87c939d27a9de259b45","d8e4f0fd2e836518e681c99a3f9e4411","03de9006db92bdee3030980760dcbcf5",2
"2990","13ced855d491384876c6ab807bd1d3db",181,3,2,352851,4160,10,1,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3006","13ced855d491384876c6ab807bd1d3db",199,2,2,354340,3320,42,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3021","13ced855d491384876c6ab807bd1d3db",216,4,2,356847,2840,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",3
"3022","13ced855d491384876c6ab807bd1d3db",217,6,2,356901,2840,1,1,"af9d335fe8dec87c939d27a9de259b45","646b0273682c1592a938bbfb21332ded","03de9006db92bdee3030980760dcbcf5",2
"3023","13ced855d491384876c6ab807bd1d3db",218,3,2,357178,2840,11,1,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3025","13ced855d491384876c6ab807bd1d3db",221,3,2,357317,2840,12,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3026","13ced855d491384876c6ab807bd1d3db",223,4,2,357395,2830,0,0,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3027","13ced855d491384876c6ab807bd1d3db",224,5,2,357428,2810,1,1,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","1a48480fc3370082483f158f10948bba",2
"3034","13ced855d491384876c6ab807bd1d3db",233,1,2,358423,2340,5,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","881f83d2dee3f18c7d1751659406144e",2
"3035","13ced855d491384876c6ab807bd1d3db",234,6,2,358424,2340,2,1,"af9d335fe8dec87c939d27a9de259b45","646b0273682c1592a938bbfb21332ded","03de9006db92bdee3030980760dcbcf5",2
"3037","13ced855d491384876c6ab807bd1d3db",236,3,2,358582,2340,10,1,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3048","13ced855d491384876c6ab807bd1d3db",252,6,2,360023,1580,2,1,"af9d335fe8dec87c939d27a9de259b45","394e78a51b6d2fd3c046f11f49fcab57","03de9006db92bdee3030980760dcbcf5",2
"3050","13ced855d491384876c6ab807bd1d3db",256,3,2,361561,1580,11,1,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3051","13ced855d491384876c6ab807bd1d3db",258,3,2,361638,1580,12,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3060","13ced855d491384876c6ab807bd1d3db",268,1,2,362430,890,75,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","d5701055e262ef5bd9f3fa6e11014327",2
"3071","13ced855d491384876c6ab807bd1d3db",280,5,3,373378,6910,4,0,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3082","13ced855d491384876c6ab807bd1d3db",295,5,3,375739,6320,2,1,"cc5e0f4efd0f5410547d4e73f38f7811","d8e4f0fd2e836518e681c99a3f9e4411","03de9006db92bdee3030980760dcbcf5",3
"3099","13ced855d491384876c6ab807bd1d3db",317,1,3,379061,4640,42,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","ca8e2e9b58c57efe6c919dcbb53ee86c",2
"3118","13ced855d491384876c6ab807bd1d3db",343,4,3,381380,3600,0,0,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3128","13ced855d491384876c6ab807bd1d3db",355,6,3,382950,2860,2,0,"af9d335fe8dec87c939d27a9de259b45","1a48480fc3370082483f158f10948bba","03de9006db92bdee3030980760dcbcf5",2
"3129","13ced855d491384876c6ab807bd1d3db",356,3,3,383095,2860,11,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3131","13ced855d491384876c6ab807bd1d3db",358,3,3,383244,2860,12,1,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3133","13ced855d491384876c6ab807bd1d3db",362,4,3,383744,2640,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",3
"3134","13ced855d491384876c6ab807bd1d3db",363,6,3,383880,2560,2,0,"af9d335fe8dec87c939d27a9de259b45","646b0273682c1592a938bbfb21332ded","03de9006db92bdee3030980760dcbcf5",2
"3135","13ced855d491384876c6ab807bd1d3db",364,3,3,384008,2560,11,1,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3137","13ced855d491384876c6ab807bd1d3db",367,3,3,384134,2560,12,1,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3138","13ced855d491384876c6ab807bd1d3db",369,5,3,384392,2420,1,1,"cc5e0f4efd0f5410547d4e73f38f7811","d8e4f0fd2e836518e681c99a3f9e4411","03de9006db92bdee3030980760dcbcf5",3
"3141","13ced855d491384876c6ab807bd1d3db",373,8,3,384799,2390,0,0,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","cc7946cd2fd5f9d5c15247fbdddce8f3",2
"3203","13ced855d491384876c6ab807bd1d3db",448,8,4,394878,5840,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","881f83d2dee3f18c7d1751659406144e","03de9006db92bdee3030980760dcbcf5",3
"3219","13ced855d491384876c6ab807bd1d3db",468,2,4,397744,5060,63,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3233","13ced855d491384876c6ab807bd1d3db",483,4,4,399299,3730,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",3
"3239","13ced855d491384876c6ab807bd1d3db",493,2,4,401665,3160,78,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3240","13ced855d491384876c6ab807bd1d3db",494,4,4,401683,3140,0,0,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3241","13ced855d491384876c6ab807bd1d3db",495,1,4,401692,3130,72,2,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3254","13ced855d491384876c6ab807bd1d3db",511,2,4,403307,2100,1,3,"af9d335fe8dec87c939d27a9de259b45","03de9006db92bdee3030980760dcbcf5","6bcf6c1f8c373d25fca1579bc4464a91",2
