"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"15582","c005dbf89ef3fb55d6f0f0461ada5560",6,1,1,672463,6830,98,2,"3a30c29e8a04b4f1335ee8874c526a6c","461d33b042b3c349d69980f89e06f582","0468a7cae6489acd7294600e8bad8b32",2
"10646","9db75b921076b5848cba7ca36436147c",7,1,1,672907,6540,1,3,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","9205d55e83f96be2290f1e8849e9f062",2
"15587","c005dbf89ef3fb55d6f0f0461ada5560",12,2,1,673326,6210,79,2,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","6bcf6c1f8c373d25fca1579bc4464a91",2
"15590","c005dbf89ef3fb55d6f0f0461ada5560",15,4,1,673409,6120,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","0468a7cae6489acd7294600e8bad8b32","6bcf6c1f8c373d25fca1579bc4464a91",3
"10650","9db75b921076b5848cba7ca36436147c",11,1,1,673518,6110,1,3,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","461d33b042b3c349d69980f89e06f582",2
"15591","c005dbf89ef3fb55d6f0f0461ada5560",16,2,1,673490,6040,78,2,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","6bcf6c1f8c373d25fca1579bc4464a91",2
"10651","9db75b921076b5848cba7ca36436147c",12,5,1,673676,5960,2,1,"6f5316b35198f3198c828d9882a79846","8bea2707e7bf04c8a3d8188b87d92c0e","0468a7cae6489acd7294600e8bad8b32",3
"10652","9db75b921076b5848cba7ca36436147c",13,2,1,673727,5900,103,3,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","6bcf6c1f8c373d25fca1579bc4464a91",2
"15601","c005dbf89ef3fb55d6f0f0461ada5560",28,1,1,674510,5390,79,2,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","6bcf6c1f8c373d25fca1579bc4464a91",2
"10659","9db75b921076b5848cba7ca36436147c",20,5,1,674379,5260,1,1,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","8bea2707e7bf04c8a3d8188b87d92c0e",2
"10661","9db75b921076b5848cba7ca36436147c",22,1,1,674509,5120,3,2,"3a30c29e8a04b4f1335ee8874c526a6c","0c2d9d598f919d635d1f230ea475ef04","0468a7cae6489acd7294600e8bad8b32",2
"15604","c005dbf89ef3fb55d6f0f0461ada5560",32,1,1,676395,5000,82,2,"3a30c29e8a04b4f1335ee8874c526a6c","83276e13d34f364faa3a24cecec245e1","0468a7cae6489acd7294600e8bad8b32",2
"15606","c005dbf89ef3fb55d6f0f0461ada5560",34,1,1,676654,4730,79,2,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","6bcf6c1f8c373d25fca1579bc4464a91",2
"15612","c005dbf89ef3fb55d6f0f0461ada5560",40,1,1,677435,4400,1,3,"3a30c29e8a04b4f1335ee8874c526a6c","461d33b042b3c349d69980f89e06f582","0468a7cae6489acd7294600e8bad8b32",2
"10677","9db75b921076b5848cba7ca36436147c",42,2,1,676193,4230,1,3,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","6bcf6c1f8c373d25fca1579bc4464a91",2
"15618","c005dbf89ef3fb55d6f0f0461ada5560",46,2,1,677874,3960,103,3,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","6bcf6c1f8c373d25fca1579bc4464a91",2
"10685","9db75b921076b5848cba7ca36436147c",52,2,1,678849,3510,5,2,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","6bcf6c1f8c373d25fca1579bc4464a91",2
"15637","c005dbf89ef3fb55d6f0f0461ada5560",67,2,1,680948,3060,5,2,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","6bcf6c1f8c373d25fca1579bc4464a91",2
"10704","9db75b921076b5848cba7ca36436147c",72,4,1,680650,2360,0,0,"6f5316b35198f3198c828d9882a79846","0468a7cae6489acd7294600e8bad8b32","6bcf6c1f8c373d25fca1579bc4464a91",3
"10705","9db75b921076b5848cba7ca36436147c",73,1,1,680731,2280,5,2,"3a30c29e8a04b4f1335ee8874c526a6c","9205d55e83f96be2290f1e8849e9f062","0468a7cae6489acd7294600e8bad8b32",2
"10711","9db75b921076b5848cba7ca36436147c",79,8,1,681637,1890,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","e6d3fc584789b9b914791ec969a8d5a4",2
"15654","c005dbf89ef3fb55d6f0f0461ada5560",86,1,1,682760,1860,1,3,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","6bcf6c1f8c373d25fca1579bc4464a91",2
"15659","c005dbf89ef3fb55d6f0f0461ada5560",92,8,1,683855,1500,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","e6d3fc584789b9b914791ec969a8d5a4",2
"10766","9db75b921076b5848cba7ca36436147c",140,8,2,690080,5640,0,0,"6f5316b35198f3198c828d9882a79846","fcca0a6b42249d73d83db4651c1c1c91","0468a7cae6489acd7294600e8bad8b32",3
