"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"7094","3b753670a0d0df2c35c7ce2e0bc94e6c",30,8,1,586306,4590,0,0,"9eaab5de3f7ccd60442845f4e6b70a75","2589603a6d7a0aaeb9112f8ee416cebe","048d36fcccd8d3c22d26e353ed176604",2
"7112","3b753670a0d0df2c35c7ce2e0bc94e6c",51,1,1,588545,3580,5,2,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","6ca1613533eb84c8e5a99f443e9b5cde",2
"7123","3b753670a0d0df2c35c7ce2e0bc94e6c",62,2,1,590074,2500,1,2,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",2
"7124","3b753670a0d0df2c35c7ce2e0bc94e6c",63,4,1,590086,2490,0,0,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",2
"7131","3b753670a0d0df2c35c7ce2e0bc94e6c",70,2,1,590774,2080,5,2,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",2
"7140","3b753670a0d0df2c35c7ce2e0bc94e6c",80,5,1,592839,1630,1,1,"45ba8fc87f55b1191c50c400dc7ed11c","c5f7286d166ca7f627e83c354c8e4f2a","048d36fcccd8d3c22d26e353ed176604",3
"7141","3b753670a0d0df2c35c7ce2e0bc94e6c",81,1,1,593022,1440,67,2,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",2
"7156","3b753670a0d0df2c35c7ce2e0bc94e6c",96,6,1,594457,238,2,0,"45ba8fc87f55b1191c50c400dc7ed11c","048d36fcccd8d3c22d26e353ed176604","c5f7286d166ca7f627e83c354c8e4f2a",3
"7303","3b753670a0d0df2c35c7ce2e0bc94e6c",277,8,3,630221,4170,0,0,"45ba8fc87f55b1191c50c400dc7ed11c","2589603a6d7a0aaeb9112f8ee416cebe","048d36fcccd8d3c22d26e353ed176604",3
"7305","3b753670a0d0df2c35c7ce2e0bc94e6c",279,4,3,630387,4070,0,0,"45ba8fc87f55b1191c50c400dc7ed11c","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",3
"7308","3b753670a0d0df2c35c7ce2e0bc94e6c",282,2,3,631138,3330,44,2,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",2
"7317","3b753670a0d0df2c35c7ce2e0bc94e6c",292,4,3,631985,2870,0,0,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",2
"7318","3b753670a0d0df2c35c7ce2e0bc94e6c",293,2,3,631997,2860,72,2,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",2
"7331","3b753670a0d0df2c35c7ce2e0bc94e6c",310,6,3,633662,1980,3,0,"9eaab5de3f7ccd60442845f4e6b70a75","ea16528886a6058e0d8133e78bec598e","048d36fcccd8d3c22d26e353ed176604",2
"7357","3b753670a0d0df2c35c7ce2e0bc94e6c",346,4,3,638113,392,0,0,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",2
"7358","3b753670a0d0df2c35c7ce2e0bc94e6c",347,2,3,638128,380,5,2,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",2
"7359","3b753670a0d0df2c35c7ce2e0bc94e6c",480,4,3,638129,378,0,0,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",2
"7360","3b753670a0d0df2c35c7ce2e0bc94e6c",482,2,3,638130,369,45,2,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",2
"7381","3b753670a0d0df2c35c7ce2e0bc94e6c",375,6,4,643090,6570,3,0,"9eaab5de3f7ccd60442845f4e6b70a75","852c9de6c917694981f071bc5eb58326","048d36fcccd8d3c22d26e353ed176604",2
"7383","3b753670a0d0df2c35c7ce2e0bc94e6c",377,8,4,643213,6570,0,0,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","a07fb375dddea9eb7ca13848b9941daf",2
"7423","3b753670a0d0df2c35c7ce2e0bc94e6c",421,8,4,650117,3520,0,0,"9eaab5de3f7ccd60442845f4e6b70a75","28cb486490a46a6228131b482be79bba","048d36fcccd8d3c22d26e353ed176604",2
"7431","3b753670a0d0df2c35c7ce2e0bc94e6c",433,2,4,651365,2760,5,2,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",2
"7434","3b753670a0d0df2c35c7ce2e0bc94e6c",436,4,4,651536,2580,0,0,"45ba8fc87f55b1191c50c400dc7ed11c","048d36fcccd8d3c22d26e353ed176604","6bcf6c1f8c373d25fca1579bc4464a91",3
"7452","3b753670a0d0df2c35c7ce2e0bc94e6c",454,6,4,654553,1180,1,0,"9eaab5de3f7ccd60442845f4e6b70a75","ea16528886a6058e0d8133e78bec598e","048d36fcccd8d3c22d26e353ed176604",2
"7453","3b753670a0d0df2c35c7ce2e0bc94e6c",455,6,4,654912,1140,16,1,"9eaab5de3f7ccd60442845f4e6b70a75","048d36fcccd8d3c22d26e353ed176604","ea16528886a6058e0d8133e78bec598e",2
"7454","3b753670a0d0df2c35c7ce2e0bc94e6c",456,1,4,655051,1140,98,2,"9eaab5de3f7ccd60442845f4e6b70a75","a07fb375dddea9eb7ca13848b9941daf","048d36fcccd8d3c22d26e353ed176604",2
"7459","3b753670a0d0df2c35c7ce2e0bc94e6c",461,1,4,655966,580,1,3,"9eaab5de3f7ccd60442845f4e6b70a75","c3e7c28936c338dfd5131e63d2ad626a","048d36fcccd8d3c22d26e353ed176604",2
