"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"13271","b2abcb6a29ed3d99db98084c96638bff",2,1,1,619083,7070,1,3,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","1f8e6e61eb13aa30f5384a7e6716ec19",2
"6639","345f285f7c654bf7a03e940a9bc923c3",5,1,1,619270,6950,1,3,"e2d25dd55740327314a2a0b874621ba8","1f8e6e61eb13aa30f5384a7e6716ec19","056755eee40e0ae3ce0cebd5b9053a3c",2
"11557","a109cef8327feae75c3e4885cb4c6e2d",3,1,1,564666,6860,1,2,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","fd3a01d2c35cb46d49e9b2fe6fefea69",3
"6644","345f285f7c654bf7a03e940a9bc923c3",11,6,1,620656,6460,1,0,"e2d25dd55740327314a2a0b874621ba8","73cae0c04831cfb8dd47d5f41faf277f","056755eee40e0ae3ce0cebd5b9053a3c",2
"11559","a109cef8327feae75c3e4885cb4c6e2d",5,1,1,565102,6430,86,2,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","fd3a01d2c35cb46d49e9b2fe6fefea69",3
"13280","b2abcb6a29ed3d99db98084c96638bff",12,6,1,620298,6260,2,0,"9d9ff83d0b109d3a6106a3b004424ae4","056755eee40e0ae3ce0cebd5b9053a3c","d7f2b465bbe159ecb83cb95d120df260",3
"13285","b2abcb6a29ed3d99db98084c96638bff",18,1,1,620730,6140,73,2,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","6bcf6c1f8c373d25fca1579bc4464a91",2
"13286","b2abcb6a29ed3d99db98084c96638bff",19,6,1,620731,6140,2,0,"e2d25dd55740327314a2a0b874621ba8","d7f2b465bbe159ecb83cb95d120df260","056755eee40e0ae3ce0cebd5b9053a3c",2
"13287","b2abcb6a29ed3d99db98084c96638bff",20,3,1,620871,6140,10,1,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","6bcf6c1f8c373d25fca1579bc4464a91",2
"13293","b2abcb6a29ed3d99db98084c96638bff",29,5,1,622801,5870,45,0,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","6bcf6c1f8c373d25fca1579bc4464a91",2
"13295","b2abcb6a29ed3d99db98084c96638bff",31,4,1,623028,5700,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","056755eee40e0ae3ce0cebd5b9053a3c","6bcf6c1f8c373d25fca1579bc4464a91",3
"11575","a109cef8327feae75c3e4885cb4c6e2d",22,5,1,568201,4850,1,1,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","039bd19014e6cfcf867f442aa412ad6a",3
"11577","a109cef8327feae75c3e4885cb4c6e2d",24,1,1,568410,4630,1,3,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","f6d83f1f77d73b0146900666f34e9f01",3
"13316","b2abcb6a29ed3d99db98084c96638bff",56,1,1,625237,4590,1,3,"e2d25dd55740327314a2a0b874621ba8","1f8e6e61eb13aa30f5384a7e6716ec19","056755eee40e0ae3ce0cebd5b9053a3c",2
"13322","b2abcb6a29ed3d99db98084c96638bff",63,1,1,626313,4280,1,3,"e2d25dd55740327314a2a0b874621ba8","7ed981d8ac6a49c95a4387973bd1ba42","056755eee40e0ae3ce0cebd5b9053a3c",2
"13325","b2abcb6a29ed3d99db98084c96638bff",66,2,1,626542,4050,1,3,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","6bcf6c1f8c373d25fca1579bc4464a91",2
"11581","a109cef8327feae75c3e4885cb4c6e2d",28,2,1,569276,3770,1,3,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","6bcf6c1f8c373d25fca1579bc4464a91",3
"11589","a109cef8327feae75c3e4885cb4c6e2d",36,1,1,569901,3420,1,3,"e2d25dd55740327314a2a0b874621ba8","fd8b5b53146b42edda07a15e27051bca","056755eee40e0ae3ce0cebd5b9053a3c",3
"6684","345f285f7c654bf7a03e940a9bc923c3",55,1,1,626560,3280,63,2,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","fd3a01d2c35cb46d49e9b2fe6fefea69",2
"11591","a109cef8327feae75c3e4885cb4c6e2d",38,4,1,570187,3140,0,0,"0a6fc39f34702cff144525dfd265f8fa","056755eee40e0ae3ce0cebd5b9053a3c","6bcf6c1f8c373d25fca1579bc4464a91",2
"13346","b2abcb6a29ed3d99db98084c96638bff",92,2,1,629699,2620,1,2,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","6bcf6c1f8c373d25fca1579bc4464a91",2
"6695","345f285f7c654bf7a03e940a9bc923c3",67,1,1,627917,2270,79,2,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","6bcf6c1f8c373d25fca1579bc4464a91",2
"11604","a109cef8327feae75c3e4885cb4c6e2d",51,6,1,571379,2260,27,0,"e2d25dd55740327314a2a0b874621ba8","aa062d0d43fb0f311e962c085e1fb744","056755eee40e0ae3ce0cebd5b9053a3c",3
"13351","b2abcb6a29ed3d99db98084c96638bff",97,1,1,630052,2260,1,3,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","23d30ea674e3a1374d4ea788452ad6bb",2
"6696","345f285f7c654bf7a03e940a9bc923c3",68,5,1,628035,2170,1,1,"bcdf0d0117f2e3d5afcd70f977eae3d6","0f02d616e027988803324c84e8951a0e","056755eee40e0ae3ce0cebd5b9053a3c",3
"6697","345f285f7c654bf7a03e940a9bc923c3",69,2,1,628066,2120,1,3,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","6bcf6c1f8c373d25fca1579bc4464a91",2
"13355","b2abcb6a29ed3d99db98084c96638bff",103,1,1,632010,1950,80,2,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","ed343691d2b2712df2037aa5c1a0f9ab",2
"11609","a109cef8327feae75c3e4885cb4c6e2d",56,2,1,571977,1880,63,2,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","6bcf6c1f8c373d25fca1579bc4464a91",3
"11611","a109cef8327feae75c3e4885cb4c6e2d",58,6,1,572101,1810,1,0,"0a6fc39f34702cff144525dfd265f8fa","056755eee40e0ae3ce0cebd5b9053a3c","93cccaa284535f9bef1dbce1d6adfb34",2
"6706","345f285f7c654bf7a03e940a9bc923c3",79,8,1,630142,1490,0,0,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","fd8b5b53146b42edda07a15e27051bca",2
"13365","b2abcb6a29ed3d99db98084c96638bff",113,1,1,633085,1070,1,3,"e2d25dd55740327314a2a0b874621ba8","23d30ea674e3a1374d4ea788452ad6bb","056755eee40e0ae3ce0cebd5b9053a3c",2
"11621","a109cef8327feae75c3e4885cb4c6e2d",68,1,1,573149,1040,98,2,"e2d25dd55740327314a2a0b874621ba8","056755eee40e0ae3ce0cebd5b9053a3c","f6d83f1f77d73b0146900666f34e9f01",3
"11622","a109cef8327feae75c3e4885cb4c6e2d",69,6,1,573150,1040,2,0,"e2d25dd55740327314a2a0b874621ba8","d3e3ae70ac393f24335f922cdeec1b1a","056755eee40e0ae3ce0cebd5b9053a3c",3
