"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"17444","d3a00898abc790fd5643d05f996f05f6",23,4,1,587621,5950,1,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",2
"1390","07e76f7482773e81e2351d1692e9e5bb",16,4,1,552758,5860,0,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"4694","2bf4ac0ed9ac1aee8767134d62b34dfe",24,4,1,602416,5250,0,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"15139","bfc4c8f688f511fb76f7fd82a3807f94",29,9,1,675620,5100,1,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"14659","be5f61a5354154b3d7cba7536f189e2f",56,8,1,624813,4070,0,0,"cff694c8186a4bd377de400e4f60fe47","30f38d775cff2a96532ccc7c5e48c48b","05c7b48e2ce68df138826699856fe6a5",3
"1424","07e76f7482773e81e2351d1692e9e5bb",51,9,1,555604,3700,1,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"4724","2bf4ac0ed9ac1aee8767134d62b34dfe",67,4,1,605555,3660,1,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"17479","d3a00898abc790fd5643d05f996f05f6",65,9,1,591370,3390,1,0,"9d9ff83d0b109d3a6106a3b004424ae4","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"4735","2bf4ac0ed9ac1aee8767134d62b34dfe",80,4,1,608125,3050,0,0,"bcdf0d0117f2e3d5afcd70f977eae3d6","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",2
"4741","2bf4ac0ed9ac1aee8767134d62b34dfe",86,4,1,608677,2900,0,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"17965","d9eb042455c8f36574d3a52e678a8916",57,8,1,336879,2850,0,0,"0a6fc39f34702cff144525dfd265f8fa","30f38d775cff2a96532ccc7c5e48c48b","05c7b48e2ce68df138826699856fe6a5",2
"4750","2bf4ac0ed9ac1aee8767134d62b34dfe",95,4,1,609021,2620,0,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"17973","d9eb042455c8f36574d3a52e678a8916",65,1,1,337870,2190,108,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","ad6a98bfd42a5a831a1a3401eaf96785","05c7b48e2ce68df138826699856fe6a5",3
"1460","07e76f7482773e81e2351d1692e9e5bb",94,9,1,560095,1930,2,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"4770","2bf4ac0ed9ac1aee8767134d62b34dfe",119,9,1,611510,1690,1,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"15199","bfc4c8f688f511fb76f7fd82a3807f94",104,4,1,684854,1660,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",2
"6704","345f285f7c654bf7a03e940a9bc923c3",77,8,1,630049,1490,0,0,"e2d25dd55740327314a2a0b874621ba8","73cae0c04831cfb8dd47d5f41faf277f","05c7b48e2ce68df138826699856fe6a5",2
"21598","f0332f91eb943b64b39ef28daf6639c5",87,8,1,611082,1400,0,0,"45ba8fc87f55b1191c50c400dc7ed11c","73cae0c04831cfb8dd47d5f41faf277f","05c7b48e2ce68df138826699856fe6a5",3
"4785","2bf4ac0ed9ac1aee8767134d62b34dfe",139,9,1,614151,880,1,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"17995","d9eb042455c8f36574d3a52e678a8916",87,5,1,340981,750,1,1,"0a6fc39f34702cff144525dfd265f8fa","cdb159e491966787f661d65f4d997fe8","05c7b48e2ce68df138826699856fe6a5",2
"17530","d3a00898abc790fd5643d05f996f05f6",127,4,1,599812,690,0,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",2
"4802","2bf4ac0ed9ac1aee8767134d62b34dfe",160,4,1,616557,193,0,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",3
