"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"14701","be5f61a5354154b3d7cba7536f189e2f",104,4,1,628798,1550,0,0,"cff694c8186a4bd377de400e4f60fe47","05c7b48e2ce68df138826699856fe6a5","6bcf6c1f8c373d25fca1579bc4464a91",3
"14702","be5f61a5354154b3d7cba7536f189e2f",105,2,1,628878,1470,1,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","05c7b48e2ce68df138826699856fe6a5","6bcf6c1f8c373d25fca1579bc4464a91",2
"21602","f0332f91eb943b64b39ef28daf6639c5",91,2,1,611646,1160,47,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","05c7b48e2ce68df138826699856fe6a5","6bcf6c1f8c373d25fca1579bc4464a91",2
"14713","be5f61a5354154b3d7cba7536f189e2f",117,8,1,630809,1070,0,0,"bcdf0d0117f2e3d5afcd70f977eae3d6","05c7b48e2ce68df138826699856fe6a5","30f38d775cff2a96532ccc7c5e48c48b",2
"6711","345f285f7c654bf7a03e940a9bc923c3",84,2,1,630768,1000,47,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","05c7b48e2ce68df138826699856fe6a5","6bcf6c1f8c373d25fca1579bc4464a91",3
"17996","d9eb042455c8f36574d3a52e678a8916",88,2,1,341032,690,5,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","05c7b48e2ce68df138826699856fe6a5","6bcf6c1f8c373d25fca1579bc4464a91",3
"21612","f0332f91eb943b64b39ef28daf6639c5",106,5,1,612848,549,1,1,"bcdf0d0117f2e3d5afcd70f977eae3d6","05c7b48e2ce68df138826699856fe6a5","59d0622b78201a399694cd27d235f863",2
"21616","f0332f91eb943b64b39ef28daf6639c5",113,4,1,613524,515,0,0,"45ba8fc87f55b1191c50c400dc7ed11c","05c7b48e2ce68df138826699856fe6a5","6bcf6c1f8c373d25fca1579bc4464a91",3
"18001","d9eb042455c8f36574d3a52e678a8916",93,6,1,341576,276,2,0,"0a6fc39f34702cff144525dfd265f8fa","05c7b48e2ce68df138826699856fe6a5","522a32a0442e32bce9aba28ac7ba327b",2
"21638","f0332f91eb943b64b39ef28daf6639c5",142,1,2,617238,6350,1,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","05c7b48e2ce68df138826699856fe6a5","ad6a98bfd42a5a831a1a3401eaf96785",2
"6739","345f285f7c654bf7a03e940a9bc923c3",115,6,2,635692,6160,17,0,"e2d25dd55740327314a2a0b874621ba8","05c7b48e2ce68df138826699856fe6a5","6bcf6c1f8c373d25fca1579bc4464a91",2
"21640","f0332f91eb943b64b39ef28daf6639c5",144,2,2,617591,6040,1,3,"bcdf0d0117f2e3d5afcd70f977eae3d6","05c7b48e2ce68df138826699856fe6a5","6bcf6c1f8c373d25fca1579bc4464a91",2
"6751","345f285f7c654bf7a03e940a9bc923c3",127,4,2,636447,5790,0,0,"e2d25dd55740327314a2a0b874621ba8","05c7b48e2ce68df138826699856fe6a5","6bcf6c1f8c373d25fca1579bc4464a91",2
"4834","2bf4ac0ed9ac1aee8767134d62b34dfe",198,3,2,622566,5560,11,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","05c7b48e2ce68df138826699856fe6a5","6bcf6c1f8c373d25fca1579bc4464a91",2
"4838","2bf4ac0ed9ac1aee8767134d62b34dfe",202,3,2,622819,5560,12,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","05c7b48e2ce68df138826699856fe6a5","6bcf6c1f8c373d25fca1579bc4464a91",2
"21649","f0332f91eb943b64b39ef28daf6639c5",153,4,2,619774,5500,0,0,"45ba8fc87f55b1191c50c400dc7ed11c","05c7b48e2ce68df138826699856fe6a5","6bcf6c1f8c373d25fca1579bc4464a91",3
"4840","2bf4ac0ed9ac1aee8767134d62b34dfe",205,2,2,623019,5380,5,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","05c7b48e2ce68df138826699856fe6a5","6bcf6c1f8c373d25fca1579bc4464a91",2
"6756","345f285f7c654bf7a03e940a9bc923c3",133,8,2,638107,5360,0,0,"e2d25dd55740327314a2a0b874621ba8","05c7b48e2ce68df138826699856fe6a5","73cae0c04831cfb8dd47d5f41faf277f",2
