"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"8264","598a55c8bf052d039d0fb4ff1a62f98a",356,4,3,726914,2960,0,0,"cd45058739ed0ac8229849c6249aad48","061db8cbef53aa3743c9f53cb392c1bc","6bcf6c1f8c373d25fca1579bc4464a91",2
"8289","598a55c8bf052d039d0fb4ff1a62f98a",383,5,3,730538,1160,1,1,"cd45058739ed0ac8229849c6249aad48","061db8cbef53aa3743c9f53cb392c1bc","c5a353e301078ea1cb4e8bc8fede12e9",2
"8298","598a55c8bf052d039d0fb4ff1a62f98a",395,6,3,732296,910,1,1,"3a30c29e8a04b4f1335ee8874c526a6c","061db8cbef53aa3743c9f53cb392c1bc","e6d3fc584789b9b914791ec969a8d5a4",3
"17819","d3a00898abc790fd5643d05f996f05f6",475,8,4,651479,5180,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","67f4ecb2bff373b7f14f59bdf87b47c6","063e48c00d94d39401fac3f94276ce6a",3
"8400","598a55c8bf052d039d0fb4ff1a62f98a",511,6,4,748969,1470,2,1,"3a30c29e8a04b4f1335ee8874c526a6c","061db8cbef53aa3743c9f53cb392c1bc","7c1c2ad6f3088c952dffd0335bb3af9b",3
"8411","598a55c8bf052d039d0fb4ff1a62f98a",524,3,4,750598,780,11,1,"cd45058739ed0ac8229849c6249aad48","061db8cbef53aa3743c9f53cb392c1bc","6bcf6c1f8c373d25fca1579bc4464a91",2
"8412","598a55c8bf052d039d0fb4ff1a62f98a",526,3,4,750651,780,12,1,"cd45058739ed0ac8229849c6249aad48","061db8cbef53aa3743c9f53cb392c1bc","6bcf6c1f8c373d25fca1579bc4464a91",2
"8414","598a55c8bf052d039d0fb4ff1a62f98a",529,1,4,751060,554,102,2,"cd45058739ed0ac8229849c6249aad48","061db8cbef53aa3743c9f53cb392c1bc","93130c3cfa0d9d9a7635a085c3be99a1",2
"8416","598a55c8bf052d039d0fb4ff1a62f98a",531,4,4,751203,453,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","061db8cbef53aa3743c9f53cb392c1bc","6bcf6c1f8c373d25fca1579bc4464a91",3
"17903","d3a00898abc790fd5643d05f996f05f6",570,1,4,667513,418,108,2,"8e90edc4eb908903bcbb567f92488049","4c96537f405d4671d86876fd67f0762d","063e48c00d94d39401fac3f94276ce6a",2
"8418","598a55c8bf052d039d0fb4ff1a62f98a",533,4,4,751413,238,0,0,"cd45058739ed0ac8229849c6249aad48","061db8cbef53aa3743c9f53cb392c1bc","6bcf6c1f8c373d25fca1579bc4464a91",2
"8420","598a55c8bf052d039d0fb4ff1a62f98a",535,3,4,751818,25,11,1,"cd45058739ed0ac8229849c6249aad48","061db8cbef53aa3743c9f53cb392c1bc","6bcf6c1f8c373d25fca1579bc4464a91",2
"8421","598a55c8bf052d039d0fb4ff1a62f98a",537,3,4,751878,25,12,1,"cd45058739ed0ac8229849c6249aad48","061db8cbef53aa3743c9f53cb392c1bc","6bcf6c1f8c373d25fca1579bc4464a91",2
