"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"11964","a32200385b4594cb11f8a19e92c96835",3,5,1,583833,6890,2,1,"dc0f916810cb46c22beec67a860e00b4","5f6c28ea1939903f51fbff12de4aa7c2","068cc724c0bdf4a9fc56d2eb2d88fb0f",2
"11981","a32200385b4594cb11f8a19e92c96835",20,1,1,585861,5200,1,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","068cc724c0bdf4a9fc56d2eb2d88fb0f",3
"17072","d0c6985ffc5f03ba09393699467a580a",94,8,1,558348,1810,0,0,"20c08a50314704513bb9ab9c18d70fb1","07695ef9feebc6ba02831f0f3c22662a","068cc724c0bdf4a9fc56d2eb2d88fb0f",2
"12061","a32200385b4594cb11f8a19e92c96835",111,8,1,596129,535,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","008c7fb331f92d216799d21a9104231a","068cc724c0bdf4a9fc56d2eb2d88fb0f",3
"17095","d0c6985ffc5f03ba09393699467a580a",118,6,1,561146,113,1,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","30ffeac1e06740482da5c4f0dd3454ad","068cc724c0bdf4a9fc56d2eb2d88fb0f",3
"17097","d0c6985ffc5f03ba09393699467a580a",120,5,1,561391,29,2,1,"20c08a50314704513bb9ab9c18d70fb1","54585b803d43739f9a55ac96da873fbf","068cc724c0bdf4a9fc56d2eb2d88fb0f",2
"12107","a32200385b4594cb11f8a19e92c96835",163,5,2,603940,4210,1,1,"dc0f916810cb46c22beec67a860e00b4","0f79f5ac1d01d9639c74a0cce4a8c7b3","068cc724c0bdf4a9fc56d2eb2d88fb0f",2
"12188","a32200385b4594cb11f8a19e92c96835",262,1,3,625069,6300,5,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","479986fc12b02040302f3d2b2a903e53","068cc724c0bdf4a9fc56d2eb2d88fb0f",3
"12197","a32200385b4594cb11f8a19e92c96835",271,1,3,626077,5400,1,3,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","ad0cbdf3bde800a9ff964cd041d26e28","068cc724c0bdf4a9fc56d2eb2d88fb0f",3
"12259","a32200385b4594cb11f8a19e92c96835",339,8,3,635354,640,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","479986fc12b02040302f3d2b2a903e53","068cc724c0bdf4a9fc56d2eb2d88fb0f",3
"12278","a32200385b4594cb11f8a19e92c96835",366,6,4,639548,6980,4,0,"dc0f916810cb46c22beec67a860e00b4","6f223e85f3b3c72a7ce29a142767e806","068cc724c0bdf4a9fc56d2eb2d88fb0f",2
"12301","a32200385b4594cb11f8a19e92c96835",397,1,4,644030,4740,5,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","2dccc7085f3e5aa5a404fa6ef1bdd672","068cc724c0bdf4a9fc56d2eb2d88fb0f",3
"17846","d3a00898abc790fd5643d05f996f05f6",506,6,4,655886,3320,1,0,"9d9ff83d0b109d3a6106a3b004424ae4","063e48c00d94d39401fac3f94276ce6a","b67e5a2e593be71fe871d7d511f0ab55",3
"17855","d3a00898abc790fd5643d05f996f05f6",515,4,4,656562,2840,0,0,"8e90edc4eb908903bcbb567f92488049","063e48c00d94d39401fac3f94276ce6a","6bcf6c1f8c373d25fca1579bc4464a91",2
"17856","d3a00898abc790fd5643d05f996f05f6",516,2,4,656592,2800,3,2,"8e90edc4eb908903bcbb567f92488049","063e48c00d94d39401fac3f94276ce6a","6bcf6c1f8c373d25fca1579bc4464a91",2
"22765","fdeb2950c4d5209d449ebd2d6afac11e",528,8,4,615132,2610,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","c6e0c30c8c02b0706682ec89eb6fc565","068cc724c0bdf4a9fc56d2eb2d88fb0f",3
"12332","a32200385b4594cb11f8a19e92c96835",436,1,4,648706,2220,1,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","2dccc7085f3e5aa5a404fa6ef1bdd672","068cc724c0bdf4a9fc56d2eb2d88fb0f",3
"17880","d3a00898abc790fd5643d05f996f05f6",543,1,4,660694,1700,75,2,"8e90edc4eb908903bcbb567f92488049","063e48c00d94d39401fac3f94276ce6a","6bcf6c1f8c373d25fca1579bc4464a91",2
"17885","d3a00898abc790fd5643d05f996f05f6",548,1,4,661574,1040,78,2,"8e90edc4eb908903bcbb567f92488049","063e48c00d94d39401fac3f94276ce6a","4c96537f405d4671d86876fd67f0762d",2
"17888","d3a00898abc790fd5643d05f996f05f6",552,2,4,663134,830,1,3,"8e90edc4eb908903bcbb567f92488049","063e48c00d94d39401fac3f94276ce6a","6bcf6c1f8c373d25fca1579bc4464a91",2
"17894","d3a00898abc790fd5643d05f996f05f6",561,4,4,663978,553,0,0,"8e90edc4eb908903bcbb567f92488049","063e48c00d94d39401fac3f94276ce6a","6bcf6c1f8c373d25fca1579bc4464a91",2
"17895","d3a00898abc790fd5643d05f996f05f6",560,1,4,663980,553,97,2,"8e90edc4eb908903bcbb567f92488049","063e48c00d94d39401fac3f94276ce6a","6bcf6c1f8c373d25fca1579bc4464a91",2
