"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"17003","d0c6985ffc5f03ba09393699467a580a",16,1,1,548151,6020,1,3,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","07695ef9feebc6ba02831f0f3c22662a",3
"11974","a32200385b4594cb11f8a19e92c96835",13,2,1,585055,5940,1,3,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","068cc724c0bdf4a9fc56d2eb2d88fb0f","6bcf6c1f8c373d25fca1579bc4464a91",3
"22366","fdeb2950c4d5209d449ebd2d6afac11e",27,1,1,548250,5490,98,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","008c7fb331f92d216799d21a9104231a","07695ef9feebc6ba02831f0f3c22662a",2
"12400","a442eeb8e92d2941addba3996bd7d0a0",31,1,1,603025,5210,5,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","c17f6e6b83ccc768962046f1af1372a5","07695ef9feebc6ba02831f0f3c22662a",3
"17015","d0c6985ffc5f03ba09393699467a580a",30,5,1,549453,5180,1,1,"20c08a50314704513bb9ab9c18d70fb1","825e2645d764579a9917c71844043eba","07695ef9feebc6ba02831f0f3c22662a",2
"11991","a32200385b4594cb11f8a19e92c96835",32,2,1,587072,4390,1,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","068cc724c0bdf4a9fc56d2eb2d88fb0f","6bcf6c1f8c373d25fca1579bc4464a91",3
"22381","fdeb2950c4d5209d449ebd2d6afac11e",46,1,1,551239,4320,42,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","c6e0c30c8c02b0706682ec89eb6fc565","07695ef9feebc6ba02831f0f3c22662a",2
"12407","a442eeb8e92d2941addba3996bd7d0a0",38,6,1,604221,4200,1,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","9d54ec2880190738ff0b490850aa21ef","07695ef9feebc6ba02831f0f3c22662a",3
"12000","a32200385b4594cb11f8a19e92c96835",41,6,1,587413,4090,17,0,"dc0f916810cb46c22beec67a860e00b4","068cc724c0bdf4a9fc56d2eb2d88fb0f","6bcf6c1f8c373d25fca1579bc4464a91",2
"17040","d0c6985ffc5f03ba09393699467a580a",58,1,1,553199,3800,50,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","07695ef9feebc6ba02831f0f3c22662a",3
"12415","a442eeb8e92d2941addba3996bd7d0a0",48,1,1,605687,3530,1,3,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","07695ef9feebc6ba02831f0f3c22662a",3
"12014","a32200385b4594cb11f8a19e92c96835",59,6,1,590023,3340,1,0,"dc0f916810cb46c22beec67a860e00b4","068cc724c0bdf4a9fc56d2eb2d88fb0f","7456d0c6cf404d5d6321c7332391f09a",2
"17045","d0c6985ffc5f03ba09393699467a580a",63,5,1,553879,3310,2,1,"20c08a50314704513bb9ab9c18d70fb1","825e2645d764579a9917c71844043eba","07695ef9feebc6ba02831f0f3c22662a",2
"17046","d0c6985ffc5f03ba09393699467a580a",64,1,1,553919,3270,41,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","c6e0c30c8c02b0706682ec89eb6fc565","07695ef9feebc6ba02831f0f3c22662a",3
"12017","a32200385b4594cb11f8a19e92c96835",62,2,1,590275,3200,41,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","068cc724c0bdf4a9fc56d2eb2d88fb0f","6bcf6c1f8c373d25fca1579bc4464a91",3
"22394","fdeb2950c4d5209d449ebd2d6afac11e",61,1,1,552607,3170,52,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","c17f6e6b83ccc768962046f1af1372a5","07695ef9feebc6ba02831f0f3c22662a",2
"12023","a32200385b4594cb11f8a19e92c96835",69,8,1,592009,2900,0,0,"dc0f916810cb46c22beec67a860e00b4","068cc724c0bdf4a9fc56d2eb2d88fb0f","3db8556c1f1efeb42aa762e45e2b25d4",2
"17054","d0c6985ffc5f03ba09393699467a580a",74,5,1,555059,2870,2,1,"20c08a50314704513bb9ab9c18d70fb1","cbd8848dea8700073ef1dbb218821339","07695ef9feebc6ba02831f0f3c22662a",2
"22408","fdeb2950c4d5209d449ebd2d6afac11e",79,1,1,555504,2300,1,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","c6e0c30c8c02b0706682ec89eb6fc565","07695ef9feebc6ba02831f0f3c22662a",2
"12436","a442eeb8e92d2941addba3996bd7d0a0",77,1,1,609273,2230,1,3,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","07695ef9feebc6ba02831f0f3c22662a",3
"17066","d0c6985ffc5f03ba09393699467a580a",87,1,1,556587,2120,1,3,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","c6e0c30c8c02b0706682ec89eb6fc565","07695ef9feebc6ba02831f0f3c22662a",3
"17069","d0c6985ffc5f03ba09393699467a580a",90,1,1,556880,1820,1,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","07695ef9feebc6ba02831f0f3c22662a",3
