"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"17001","d0c6985ffc5f03ba09393699467a580a",14,1,1,547926,6260,1,3,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","c6e0c30c8c02b0706682ec89eb6fc565",3
"22356","fdeb2950c4d5209d449ebd2d6afac11e",16,2,1,547570,6170,1,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",2
"12398","a442eeb8e92d2941addba3996bd7d0a0",29,1,1,602728,5500,80,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",3
"22375","fdeb2950c4d5209d449ebd2d6afac11e",37,6,1,549025,4980,3,0,"3cd0b15957ceb80f5125bef8bd1bbea7","07695ef9feebc6ba02831f0f3c22662a","c4072556336827a70c8a0298bc658b5b",3
"17025","d0c6985ffc5f03ba09393699467a580a",41,5,1,550420,4780,45,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",3
"17030","d0c6985ffc5f03ba09393699467a580a",46,4,1,550821,4430,0,0,"20c08a50314704513bb9ab9c18d70fb1","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",2
"17031","d0c6985ffc5f03ba09393699467a580a",47,2,1,550904,4350,1,3,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",3
"22391","fdeb2950c4d5209d449ebd2d6afac11e",57,1,1,552262,3460,42,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",2
"22397","fdeb2950c4d5209d449ebd2d6afac11e",64,1,1,552866,2910,76,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","0a4bdcb73ac21ffeb164386d44212f45",2
"7546","56ccfaf0adead6f4c7236a01ca0cfbdc",70,8,1,591010,2860,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","3d6fa00462bffd51ce5cf6612ec9026a","085beb037fb1e12196085f66c9761cd4",3
"17055","d0c6985ffc5f03ba09393699467a580a",75,1,1,555103,2820,7,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",3
"22402","fdeb2950c4d5209d449ebd2d6afac11e",71,4,1,554564,2720,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",3
"15179","bfc4c8f688f511fb76f7fd82a3807f94",78,8,1,681404,2720,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","1e5a19729df6e4496686d9356be411ca","085beb037fb1e12196085f66c9761cd4",2
"17056","d0c6985ffc5f03ba09393699467a580a",76,6,1,555326,2650,2,0,"20c08a50314704513bb9ab9c18d70fb1","07695ef9feebc6ba02831f0f3c22662a","f974c6b5a65a034a866cd58014d6fbe3",2
"12440","a442eeb8e92d2941addba3996bd7d0a0",83,4,1,610234,2020,0,0,"e1f2c56e5df4f2e975a969f329a7068c","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",2
"15195","bfc4c8f688f511fb76f7fd82a3807f94",100,1,1,684520,1950,44,2,"de15a687fa7995b12a3e4b0a1fa8db14","171fe637accecc29979e5408595de077","085beb037fb1e12196085f66c9761cd4",2
"12444","a442eeb8e92d2941addba3996bd7d0a0",87,4,1,610421,1820,0,0,"e1f2c56e5df4f2e975a969f329a7068c","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",2
"17072","d0c6985ffc5f03ba09393699467a580a",94,8,1,558348,1810,0,0,"20c08a50314704513bb9ab9c18d70fb1","07695ef9feebc6ba02831f0f3c22662a","068cc724c0bdf4a9fc56d2eb2d88fb0f",2
"22416","fdeb2950c4d5209d449ebd2d6afac11e",91,4,1,556354,1770,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",2
"22417","fdeb2950c4d5209d449ebd2d6afac11e",92,2,1,556369,1760,5,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",2
"12448","a442eeb8e92d2941addba3996bd7d0a0",91,4,1,610567,1680,0,0,"e1f2c56e5df4f2e975a969f329a7068c","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",2
"22421","fdeb2950c4d5209d449ebd2d6afac11e",98,5,1,556670,1590,1,1,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","315f46f7a5e1de7ef9b4c2430ce64e2d",2
"22423","fdeb2950c4d5209d449ebd2d6afac11e",100,2,1,556866,1390,1,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",2
"15202","bfc4c8f688f511fb76f7fd82a3807f94",107,1,1,685371,1280,7,2,"de15a687fa7995b12a3e4b0a1fa8db14","e546fc654970cfc01f73c0d73250e97b","085beb037fb1e12196085f66c9761cd4",2
"12458","a442eeb8e92d2941addba3996bd7d0a0",102,2,1,612875,850,63,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","6bcf6c1f8c373d25fca1579bc4464a91",3
