"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"9695","896bcac9b0f35b250c9fb7a6325d8599",0,12,1,600642,7200,0,0,"1473d70e5646a26de3c52aa1abd85b1f","6bcf6c1f8c373d25fca1579bc4464a91","6bcf6c1f8c373d25fca1579bc4464a91",0
"9696","896bcac9b0f35b250c9fb7a6325d8599",1,10,1,600643,7200,0,0,"e1f2c56e5df4f2e975a969f329a7068c","c6199433c79a95a34133f86971a148b1","f186747d3ece1e28b37719c9da06d18f",2
"9697","896bcac9b0f35b250c9fb7a6325d8599",2,1,1,600878,6960,79,2,"e1f2c56e5df4f2e975a969f329a7068c","57ed4bb35e7cef3fc5f579bd119ceeca","6bcf6c1f8c373d25fca1579bc4464a91",2
"9698","896bcac9b0f35b250c9fb7a6325d8599",3,6,1,601168,6720,2,0,"b64dba595e29fe34a124c65f682f27fb","b90945b4a95bfc10ffc239ec4eac211d","f186747d3ece1e28b37719c9da06d18f",3
"9699","896bcac9b0f35b250c9fb7a6325d8599",4,3,1,601449,6720,11,1,"b64dba595e29fe34a124c65f682f27fb","f186747d3ece1e28b37719c9da06d18f","6bcf6c1f8c373d25fca1579bc4464a91",3
"9700","896bcac9b0f35b250c9fb7a6325d8599",6,3,1,601679,6720,12,2,"b64dba595e29fe34a124c65f682f27fb","f186747d3ece1e28b37719c9da06d18f","6bcf6c1f8c373d25fca1579bc4464a91",3
"9701","896bcac9b0f35b250c9fb7a6325d8599",8,4,1,601806,6720,0,0,"b64dba595e29fe34a124c65f682f27fb","b90945b4a95bfc10ffc239ec4eac211d","6bcf6c1f8c373d25fca1579bc4464a91",3
"9702","896bcac9b0f35b250c9fb7a6325d8599",9,1,1,601903,6620,63,2,"e1f2c56e5df4f2e975a969f329a7068c","57ed4bb35e7cef3fc5f579bd119ceeca","6bcf6c1f8c373d25fca1579bc4464a91",2
"9703","896bcac9b0f35b250c9fb7a6325d8599",10,6,1,602002,6580,4,0,"b64dba595e29fe34a124c65f682f27fb","f186747d3ece1e28b37719c9da06d18f","b90945b4a95bfc10ffc239ec4eac211d",3
"9704","896bcac9b0f35b250c9fb7a6325d8599",11,5,1,602003,6580,5,0,"b64dba595e29fe34a124c65f682f27fb","f186747d3ece1e28b37719c9da06d18f","6bcf6c1f8c373d25fca1579bc4464a91",3
