"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"11967","a32200385b4594cb11f8a19e92c96835",6,2,1,584272,6430,1,3,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","6bcf6c1f8c373d25fca1579bc4464a91",3
"17003","d0c6985ffc5f03ba09393699467a580a",16,1,1,548151,6020,1,3,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","07695ef9feebc6ba02831f0f3c22662a",3
"12393","a442eeb8e92d2941addba3996bd7d0a0",24,4,1,602375,5840,0,0,"e1f2c56e5df4f2e975a969f329a7068c","0a4bdcb73ac21ffeb164386d44212f45","6bcf6c1f8c373d25fca1579bc4464a91",2
"17006","d0c6985ffc5f03ba09393699467a580a",19,2,1,548368,5800,78,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","6bcf6c1f8c373d25fca1579bc4464a91",3
"17008","d0c6985ffc5f03ba09393699467a580a",21,6,1,548495,5750,2,0,"20c08a50314704513bb9ab9c18d70fb1","0a4bdcb73ac21ffeb164386d44212f45","54585b803d43739f9a55ac96da873fbf",2
"11981","a32200385b4594cb11f8a19e92c96835",20,1,1,585861,5200,1,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","068cc724c0bdf4a9fc56d2eb2d88fb0f",3
"17017","d0c6985ffc5f03ba09393699467a580a",33,2,1,549952,5090,1,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","6bcf6c1f8c373d25fca1579bc4464a91",3
"22373","fdeb2950c4d5209d449ebd2d6afac11e",35,2,1,548967,4980,5,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","6bcf6c1f8c373d25fca1579bc4464a91",2
"11983","a32200385b4594cb11f8a19e92c96835",23,4,1,586135,4950,0,0,"dc0f916810cb46c22beec67a860e00b4","0a4bdcb73ac21ffeb164386d44212f45","6bcf6c1f8c373d25fca1579bc4464a91",2
"11988","a32200385b4594cb11f8a19e92c96835",29,4,1,586660,4640,0,0,"dc0f916810cb46c22beec67a860e00b4","0a4bdcb73ac21ffeb164386d44212f45","6bcf6c1f8c373d25fca1579bc4464a91",2
"11998","a32200385b4594cb11f8a19e92c96835",39,4,1,587275,4260,0,0,"dc0f916810cb46c22beec67a860e00b4","0a4bdcb73ac21ffeb164386d44212f45","6bcf6c1f8c373d25fca1579bc4464a91",2
"11999","a32200385b4594cb11f8a19e92c96835",40,1,1,587298,4210,46,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","6bcf6c1f8c373d25fca1579bc4464a91",3
"22384","fdeb2950c4d5209d449ebd2d6afac11e",49,2,1,551638,3920,1,3,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","6bcf6c1f8c373d25fca1579bc4464a91",2
"17040","d0c6985ffc5f03ba09393699467a580a",58,1,1,553199,3800,50,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","07695ef9feebc6ba02831f0f3c22662a",3
"22388","fdeb2950c4d5209d449ebd2d6afac11e",54,5,1,552134,3600,1,1,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","315f46f7a5e1de7ef9b4c2430ce64e2d",2
