"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"5748","3152e9c330ce200cc189ae64ebdf41fc",2,1,1,597719,7040,63,2,"b64dba595e29fe34a124c65f682f27fb","f666125388be8d19b945f07d44610948","0b0922346df190dd8f900c44c1fae592",3
"7071","3b753670a0d0df2c35c7ce2e0bc94e6c",6,4,1,583253,6270,0,0,"9eaab5de3f7ccd60442845f4e6b70a75","0a7ae25da315e35e903233b4bb2252da","6bcf6c1f8c373d25fca1579bc4464a91",2
"9707","896bcac9b0f35b250c9fb7a6325d8599",14,1,1,602623,6180,1,2,"b64dba595e29fe34a124c65f682f27fb","f666125388be8d19b945f07d44610948","0b0922346df190dd8f900c44c1fae592",3
"8461","7fad2269ee0d11ae5069ff23ecb25913",38,1,1,676548,4730,1,3,"b64dba595e29fe34a124c65f682f27fb","a1b3d414dba333bb2413b054b8460c07","0b0922346df190dd8f900c44c1fae592",2
"9730","896bcac9b0f35b250c9fb7a6325d8599",41,1,1,606146,4600,79,2,"b64dba595e29fe34a124c65f682f27fb","f666125388be8d19b945f07d44610948","0b0922346df190dd8f900c44c1fae592",3
"7096","3b753670a0d0df2c35c7ce2e0bc94e6c",32,4,1,586670,4370,0,0,"9eaab5de3f7ccd60442845f4e6b70a75","0a7ae25da315e35e903233b4bb2252da","6bcf6c1f8c373d25fca1579bc4464a91",2
"5774","3152e9c330ce200cc189ae64ebdf41fc",35,1,1,602187,4190,1,2,"b64dba595e29fe34a124c65f682f27fb","a1b3d414dba333bb2413b054b8460c07","0b0922346df190dd8f900c44c1fae592",3
"9736","896bcac9b0f35b250c9fb7a6325d8599",47,1,1,606772,3990,52,2,"b64dba595e29fe34a124c65f682f27fb","f186747d3ece1e28b37719c9da06d18f","0b0922346df190dd8f900c44c1fae592",3
"7101","3b753670a0d0df2c35c7ce2e0bc94e6c",37,2,1,587119,3930,42,2,"45ba8fc87f55b1191c50c400dc7ed11c","0a7ae25da315e35e903233b4bb2252da","6bcf6c1f8c373d25fca1579bc4464a91",3
"5783","3152e9c330ce200cc189ae64ebdf41fc",45,6,1,602815,3820,1,0,"b64dba595e29fe34a124c65f682f27fb","4121c3bfb44f9d3a3151b212f31e7e04","0b0922346df190dd8f900c44c1fae592",3
