"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"3777","1eab6189ad9ab246c197575a8c4eebe5",22,4,1,674807,5810,1,0,"cd45058739ed0ac8229849c6249aad48","0abfcacb7c48de86bbc200c5773a2550","6bcf6c1f8c373d25fca1579bc4464a91",2
"2408","09d46e3d7a8253b7209100650b5afaeb",34,4,1,422238,5110,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","0abfcacb7c48de86bbc200c5773a2550","6bcf6c1f8c373d25fca1579bc4464a91",2
"3330","15d76177caa6022156e83774c2e054d3",49,9,1,677844,3810,1,0,"cd45058739ed0ac8229849c6249aad48","0abfcacb7c48de86bbc200c5773a2550","6bcf6c1f8c373d25fca1579bc4464a91",2
"2446","09d46e3d7a8253b7209100650b5afaeb",77,9,1,425657,3390,1,0,"cd45058739ed0ac8229849c6249aad48","0abfcacb7c48de86bbc200c5773a2550","6bcf6c1f8c373d25fca1579bc4464a91",3
"3817","1eab6189ad9ab246c197575a8c4eebe5",67,9,1,680289,3120,1,0,"cd45058739ed0ac8229849c6249aad48","0abfcacb7c48de86bbc200c5773a2550","6bcf6c1f8c373d25fca1579bc4464a91",2
"3831","1eab6189ad9ab246c197575a8c4eebe5",82,4,1,682812,2560,1,0,"cd45058739ed0ac8229849c6249aad48","0abfcacb7c48de86bbc200c5773a2550","6bcf6c1f8c373d25fca1579bc4464a91",2
"3352","15d76177caa6022156e83774c2e054d3",76,9,1,682897,2470,2,0,"cd45058739ed0ac8229849c6249aad48","0abfcacb7c48de86bbc200c5773a2550","6bcf6c1f8c373d25fca1579bc4464a91",2
"3835","1eab6189ad9ab246c197575a8c4eebe5",87,4,1,683265,2430,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","0abfcacb7c48de86bbc200c5773a2550","6bcf6c1f8c373d25fca1579bc4464a91",3
"8030","598a55c8bf052d039d0fb4ff1a62f98a",87,9,1,683320,2260,1,0,"cd45058739ed0ac8229849c6249aad48","0abfcacb7c48de86bbc200c5773a2550","6bcf6c1f8c373d25fca1579bc4464a91",2
"12872","a55fe197c4ae19094a2303a950c7e70c",86,8,1,646536,2170,0,0,"cff694c8186a4bd377de400e4f60fe47","a30c2c75d6a204ed450a2c423c11d362","0b9f9787580f7ca0dbba7a0eb39b1c4d",3
"8043","598a55c8bf052d039d0fb4ff1a62f98a",101,4,1,685858,1570,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","0abfcacb7c48de86bbc200c5773a2550","6bcf6c1f8c373d25fca1579bc4464a91",3
"8046","598a55c8bf052d039d0fb4ff1a62f98a",104,4,1,686004,1570,1,0,"cd45058739ed0ac8229849c6249aad48","0abfcacb7c48de86bbc200c5773a2550","6bcf6c1f8c373d25fca1579bc4464a91",2
"8505","7fad2269ee0d11ae5069ff23ecb25913",89,1,1,684208,1350,80,2,"de15a687fa7995b12a3e4b0a1fa8db14","3d6fa00462bffd51ce5cf6612ec9026a","0b9f9787580f7ca0dbba7a0eb39b1c4d",3
"3858","1eab6189ad9ab246c197575a8c4eebe5",112,9,1,685545,1080,2,0,"cd45058739ed0ac8229849c6249aad48","0abfcacb7c48de86bbc200c5773a2550","6bcf6c1f8c373d25fca1579bc4464a91",2
