"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"8432","7fad2269ee0d11ae5069ff23ecb25913",7,4,1,673834,6360,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","0b0922346df190dd8f900c44c1fae592","6bcf6c1f8c373d25fca1579bc4464a91",3
"8439","7fad2269ee0d11ae5069ff23ecb25913",15,6,1,674522,6110,2,0,"de15a687fa7995b12a3e4b0a1fa8db14","0b0922346df190dd8f900c44c1fae592","5b82a306c99fa6afb74114ad40c19c94",3
"9711","896bcac9b0f35b250c9fb7a6325d8599",18,5,1,602849,5970,1,1,"b64dba595e29fe34a124c65f682f27fb","0b0922346df190dd8f900c44c1fae592","c6199433c79a95a34133f86971a148b1",3
"21961","f385e8caae86b6cb58ed3241c1278ce3",24,1,1,620708,5550,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","d4777cb3468137b35f7e80b7434bec27","0beb157ecf02b2c67048597bb3c514b5",2
"8448","7fad2269ee0d11ae5069ff23ecb25913",25,4,1,675603,5500,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","0b0922346df190dd8f900c44c1fae592","6bcf6c1f8c373d25fca1579bc4464a91",3
"9717","896bcac9b0f35b250c9fb7a6325d8599",25,2,1,603571,5410,1,2,"b64dba595e29fe34a124c65f682f27fb","0b0922346df190dd8f900c44c1fae592","6bcf6c1f8c373d25fca1579bc4464a91",3
"9721","896bcac9b0f35b250c9fb7a6325d8599",29,2,1,603779,5200,3,2,"b64dba595e29fe34a124c65f682f27fb","0b0922346df190dd8f900c44c1fae592","6bcf6c1f8c373d25fca1579bc4464a91",3
"5761","3152e9c330ce200cc189ae64ebdf41fc",16,2,1,600089,5150,1,2,"b64dba595e29fe34a124c65f682f27fb","0b0922346df190dd8f900c44c1fae592","6bcf6c1f8c373d25fca1579bc4464a91",3
"5771","3152e9c330ce200cc189ae64ebdf41fc",30,6,1,601585,4330,2,0,"87010ad9e5c5e0b7628d3611b3693652","0b0922346df190dd8f900c44c1fae592","978f65d65974dcaaea595daaa1b35a2a",2
"8463","7fad2269ee0d11ae5069ff23ecb25913",41,2,1,677139,4300,1,3,"b64dba595e29fe34a124c65f682f27fb","0b0922346df190dd8f900c44c1fae592","6bcf6c1f8c373d25fca1579bc4464a91",2
