"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"7955","598a55c8bf052d039d0fb4ff1a62f98a",1,10,1,673344,7200,0,0,"cd45058739ed0ac8229849c6249aad48","501e22e48df13d5a5b2b85a08c6d2ca9","0c2d9d598f919d635d1f230ea475ef04",2
"7957","598a55c8bf052d039d0fb4ff1a62f98a",4,1,1,673870,6780,79,2,"3a30c29e8a04b4f1335ee8874c526a6c","7e0fe3d0e532a5786e2eec9b5d1bedc6","0c2d9d598f919d635d1f230ea475ef04",3
"7965","598a55c8bf052d039d0fb4ff1a62f98a",13,6,1,674809,6230,1,0,"3a30c29e8a04b4f1335ee8874c526a6c","501e22e48df13d5a5b2b85a08c6d2ca9","0c2d9d598f919d635d1f230ea475ef04",3
"15595","c005dbf89ef3fb55d6f0f0461ada5560",20,6,1,673704,5870,3,0,"3a30c29e8a04b4f1335ee8874c526a6c","6de0ac647d194bdcfc0854c7ad51c44e","0c2d9d598f919d635d1f230ea475ef04",2
"7987","598a55c8bf052d039d0fb4ff1a62f98a",37,1,1,678715,4590,79,3,"3a30c29e8a04b4f1335ee8874c526a6c","0b0dfe077fd547134c4b631cc7008465","83276e13d34f364faa3a24cecec245e1",3
"7991","598a55c8bf052d039d0fb4ff1a62f98a",43,4,1,679370,4410,0,0,"cd45058739ed0ac8229849c6249aad48","0b0dfe077fd547134c4b631cc7008465","6bcf6c1f8c373d25fca1579bc4464a91",2
"8026","598a55c8bf052d039d0fb4ff1a62f98a",83,2,1,682940,2610,1,3,"3a30c29e8a04b4f1335ee8874c526a6c","0b0dfe077fd547134c4b631cc7008465","6bcf6c1f8c373d25fca1579bc4464a91",3
"8031","598a55c8bf052d039d0fb4ff1a62f98a",88,8,1,684666,2260,0,0,"cd45058739ed0ac8229849c6249aad48","0b0dfe077fd547134c4b631cc7008465","3637dae74ec0bcaa39275df5ef7bea71",2
"3886","1eab6189ad9ab246c197575a8c4eebe5",147,2,2,690857,6500,1,2,"3a30c29e8a04b4f1335ee8874c526a6c","0b0dfe077fd547134c4b631cc7008465","6bcf6c1f8c373d25fca1579bc4464a91",3
"3891","1eab6189ad9ab246c197575a8c4eebe5",152,4,2,691535,6340,0,0,"cd45058739ed0ac8229849c6249aad48","0b0dfe077fd547134c4b631cc7008465","6bcf6c1f8c373d25fca1579bc4464a91",2
"10764","9db75b921076b5848cba7ca36436147c",138,8,2,690080,5640,0,0,"6f5316b35198f3198c828d9882a79846","e6d3fc584789b9b914791ec969a8d5a4","0c2d9d598f919d635d1f230ea475ef04",3
"3901","1eab6189ad9ab246c197575a8c4eebe5",162,6,2,692636,5610,3,0,"cd45058739ed0ac8229849c6249aad48","0b0dfe077fd547134c4b631cc7008465","66c69301f757e48e6b780927b5a55e11",2
"3902","1eab6189ad9ab246c197575a8c4eebe5",163,6,2,692886,5540,2,0,"cd45058739ed0ac8229849c6249aad48","0b0dfe077fd547134c4b631cc7008465","3f67235a5607746cc215eee5dd447a5e",2
"3922","1eab6189ad9ab246c197575a8c4eebe5",187,8,2,696495,4360,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","0b0dfe077fd547134c4b631cc7008465","3637dae74ec0bcaa39275df5ef7bea71",3
"15739","c005dbf89ef3fb55d6f0f0461ada5560",183,8,2,694363,3660,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","d29058993b5746d37d0fd5348c5018e2","0c2d9d598f919d635d1f230ea475ef04",3
"10812","9db75b921076b5848cba7ca36436147c",192,1,2,698106,2040,1,3,"3a30c29e8a04b4f1335ee8874c526a6c","0468a7cae6489acd7294600e8bad8b32","0c2d9d598f919d635d1f230ea475ef04",2
"15788","c005dbf89ef3fb55d6f0f0461ada5560",238,6,2,701833,710,2,1,"3a30c29e8a04b4f1335ee8874c526a6c","33f469a601417bebf0be722241d131e6","0c2d9d598f919d635d1f230ea475ef04",2
"8214","598a55c8bf052d039d0fb4ff1a62f98a",299,6,3,719274,7060,1,0,"3a30c29e8a04b4f1335ee8874c526a6c","501e22e48df13d5a5b2b85a08c6d2ca9","0c2d9d598f919d635d1f230ea475ef04",3
"8252","598a55c8bf052d039d0fb4ff1a62f98a",342,6,3,725126,3910,1,0,"3a30c29e8a04b4f1335ee8874c526a6c","501e22e48df13d5a5b2b85a08c6d2ca9","0c2d9d598f919d635d1f230ea475ef04",3
"8253","598a55c8bf052d039d0fb4ff1a62f98a",343,6,3,725404,3840,2,0,"3a30c29e8a04b4f1335ee8874c526a6c","b02d6090eb1155aab0614815c9f9ad73","0c2d9d598f919d635d1f230ea475ef04",3
"15865","c005dbf89ef3fb55d6f0f0461ada5560",331,6,3,721358,3430,2,0,"3a30c29e8a04b4f1335ee8874c526a6c","e5e2fb66fc3e8ee0edf076e60d343031","0c2d9d598f919d635d1f230ea475ef04",2
"8285","598a55c8bf052d039d0fb4ff1a62f98a",376,6,3,728877,1340,1,0,"3a30c29e8a04b4f1335ee8874c526a6c","3f67235a5607746cc215eee5dd447a5e","0c2d9d598f919d635d1f230ea475ef04",3
"4102","1eab6189ad9ab246c197575a8c4eebe5",397,2,3,731372,499,1,3,"3a30c29e8a04b4f1335ee8874c526a6c","0b0dfe077fd547134c4b631cc7008465","6bcf6c1f8c373d25fca1579bc4464a91",3
"4111","1eab6189ad9ab246c197575a8c4eebe5",406,2,3,732357,36,1,2,"3a30c29e8a04b4f1335ee8874c526a6c","0b0dfe077fd547134c4b631cc7008465","6bcf6c1f8c373d25fca1579bc4464a91",3
"11007","9db75b921076b5848cba7ca36436147c",434,8,4,737101,5400,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","7c1c2ad6f3088c952dffd0335bb3af9b","0c2d9d598f919d635d1f230ea475ef04",2
"8355","598a55c8bf052d039d0fb4ff1a62f98a",461,6,4,741539,4290,2,0,"cd45058739ed0ac8229849c6249aad48","0b0dfe077fd547134c4b631cc7008465","93130c3cfa0d9d9a7635a085c3be99a1",2
"8375","598a55c8bf052d039d0fb4ff1a62f98a",483,6,4,744951,3180,2,0,"cd45058739ed0ac8229849c6249aad48","0b0dfe077fd547134c4b631cc7008465","cc6c4b67ac08f33590e75e9474122fc4",2
"11045","9db75b921076b5848cba7ca36436147c",483,5,4,744294,2890,1,1,"6f5316b35198f3198c828d9882a79846","e2d5a38e5f826708c89f2f728eade916","0c2d9d598f919d635d1f230ea475ef04",3
"8382","598a55c8bf052d039d0fb4ff1a62f98a",492,1,4,745745,2670,1,3,"3a30c29e8a04b4f1335ee8874c526a6c","0b0dfe077fd547134c4b631cc7008465","3637dae74ec0bcaa39275df5ef7bea71",3
"8387","598a55c8bf052d039d0fb4ff1a62f98a",497,2,4,746170,2250,1,3,"3a30c29e8a04b4f1335ee8874c526a6c","0b0dfe077fd547134c4b631cc7008465","6bcf6c1f8c373d25fca1579bc4464a91",3
"4206","1eab6189ad9ab246c197575a8c4eebe5",520,2,4,747562,1610,1,2,"3a30c29e8a04b4f1335ee8874c526a6c","0b0dfe077fd547134c4b631cc7008465","6bcf6c1f8c373d25fca1579bc4464a91",3
"8410","598a55c8bf052d039d0fb4ff1a62f98a",523,6,4,750481,780,2,1,"cd45058739ed0ac8229849c6249aad48","0b0dfe077fd547134c4b631cc7008465","061db8cbef53aa3743c9f53cb392c1bc",2
"4218","1eab6189ad9ab246c197575a8c4eebe5",532,1,4,748756,620,41,2,"3a30c29e8a04b4f1335ee8874c526a6c","0b0dfe077fd547134c4b631cc7008465","d29058993b5746d37d0fd5348c5018e2",3
