"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"10139","8fd2943309c7accc78b41e047e1e9393",1,10,1,582140,7200,0,0,"20c08a50314704513bb9ab9c18d70fb1","307beab25b1021a548b4a47550bc4b25","0d4f00ab57bedad897a0aecf8dfa692f",3
"16994","d0c6985ffc5f03ba09393699467a580a",6,1,1,547089,6680,47,2,"20c08a50314704513bb9ab9c18d70fb1","ea16528886a6058e0d8133e78bec598e","0d4f00ab57bedad897a0aecf8dfa692f",2
"8444","7fad2269ee0d11ae5069ff23ecb25913",21,6,1,675200,5710,1,0,"b64dba595e29fe34a124c65f682f27fb","0b9f9787580f7ca0dbba7a0eb39b1c4d","f666125388be8d19b945f07d44610948",2
"10163","8fd2943309c7accc78b41e047e1e9393",25,10,1,584692,4980,0,0,"cff694c8186a4bd377de400e4f60fe47","57bbd7e30bc694aeee9ee40c583e6811","0d4f00ab57bedad897a0aecf8dfa692f",2
"10183","8fd2943309c7accc78b41e047e1e9393",46,6,1,588018,3480,1,0,"20c08a50314704513bb9ab9c18d70fb1","57bbd7e30bc694aeee9ee40c583e6811","0d4f00ab57bedad897a0aecf8dfa692f",3
"10184","8fd2943309c7accc78b41e047e1e9393",47,1,1,588281,3410,1,2,"20c08a50314704513bb9ab9c18d70fb1","2483495fb67054a3b6faa2c2bf8249e3","0d4f00ab57bedad897a0aecf8dfa692f",3
"8480","7fad2269ee0d11ae5069ff23ecb25913",58,2,1,678721,2710,102,2,"de15a687fa7995b12a3e4b0a1fa8db14","0b9f9787580f7ca0dbba7a0eb39b1c4d","6bcf6c1f8c373d25fca1579bc4464a91",3
"17082","d0c6985ffc5f03ba09393699467a580a",105,8,1,559947,990,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","ea16528886a6058e0d8133e78bec598e","0d4f00ab57bedad897a0aecf8dfa692f",3
"12896","a55fe197c4ae19094a2303a950c7e70c",119,6,1,651412,980,2,1,"cff694c8186a4bd377de400e4f60fe47","0b9f9787580f7ca0dbba7a0eb39b1c4d","c00264c3114d23bac482e9de50fb7d28",3
"8514","7fad2269ee0d11ae5069ff23ecb25913",98,8,1,685109,585,0,0,"b64dba595e29fe34a124c65f682f27fb","0b9f9787580f7ca0dbba7a0eb39b1c4d","fa5ca757de7c6c5ec97900bcabbc146e",2
