"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"21942","f385e8caae86b6cb58ed3241c1278ce3",2,2,1,618615,7020,1,2,"9d9ff83d0b109d3a6106a3b004424ae4","0beb157ecf02b2c67048597bb3c514b5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3292","15d76177caa6022156e83774c2e054d3",6,1,1,673513,6600,47,2,"9d9ff83d0b109d3a6106a3b004424ae4","0beb157ecf02b2c67048597bb3c514b5","b67e5a2e593be71fe871d7d511f0ab55",3
"15586","c005dbf89ef3fb55d6f0f0461ada5560",10,5,1,672902,6440,39,0,"9d9ff83d0b109d3a6106a3b004424ae4","0beb157ecf02b2c67048597bb3c514b5","6bcf6c1f8c373d25fca1579bc4464a91",3
"15588","c005dbf89ef3fb55d6f0f0461ada5560",13,4,1,673348,6180,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","0beb157ecf02b2c67048597bb3c514b5","6bcf6c1f8c373d25fca1579bc4464a91",2
"15589","c005dbf89ef3fb55d6f0f0461ada5560",14,2,1,673389,6140,41,2,"9d9ff83d0b109d3a6106a3b004424ae4","0beb157ecf02b2c67048597bb3c514b5","6bcf6c1f8c373d25fca1579bc4464a91",3
"21958","f385e8caae86b6cb58ed3241c1278ce3",21,2,1,620376,5890,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","0beb157ecf02b2c67048597bb3c514b5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3307","15d76177caa6022156e83774c2e054d3",22,4,1,674920,5500,0,0,"cd45058739ed0ac8229849c6249aad48","0beb157ecf02b2c67048597bb3c514b5","6bcf6c1f8c373d25fca1579bc4464a91",2
"3308","15d76177caa6022156e83774c2e054d3",23,2,1,674999,5410,7,2,"9d9ff83d0b109d3a6106a3b004424ae4","0beb157ecf02b2c67048597bb3c514b5","6bcf6c1f8c373d25fca1579bc4464a91",3
"15603","c005dbf89ef3fb55d6f0f0461ada5560",31,1,1,676110,5270,1,2,"9d9ff83d0b109d3a6106a3b004424ae4","0beb157ecf02b2c67048597bb3c514b5","d4777cb3468137b35f7e80b7434bec27",3
"3318","15d76177caa6022156e83774c2e054d3",33,1,1,676308,4490,73,2,"9d9ff83d0b109d3a6106a3b004424ae4","0beb157ecf02b2c67048597bb3c514b5","6bcf6c1f8c373d25fca1579bc4464a91",3
