"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"15577","c005dbf89ef3fb55d6f0f0461ada5560",1,10,1,672097,7200,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","0c2d9d598f919d635d1f230ea475ef04","6de0ac647d194bdcfc0854c7ad51c44e",2
"10640","9db75b921076b5848cba7ca36436147c",1,10,1,672245,7200,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","0c2d9d598f919d635d1f230ea475ef04","8bea2707e7bf04c8a3d8188b87d92c0e",2
"15581","c005dbf89ef3fb55d6f0f0461ada5560",5,4,1,672407,6890,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","0c2d9d598f919d635d1f230ea475ef04","6bcf6c1f8c373d25fca1579bc4464a91",3
"7962","598a55c8bf052d039d0fb4ff1a62f98a",10,2,1,674565,6260,58,2,"3a30c29e8a04b4f1335ee8874c526a6c","0c2d9d598f919d635d1f230ea475ef04","6bcf6c1f8c373d25fca1579bc4464a91",3
"6199","33f631fec90cc1f08bb16cff5ed52f9b",17,1,1,620056,5800,1,2,"dc0f916810cb46c22beec67a860e00b4","6f223e85f3b3c72a7ce29a142767e806","0f79f5ac1d01d9639c74a0cce4a8c7b3",3
"10655","9db75b921076b5848cba7ca36436147c",16,4,1,673850,5770,0,0,"6f5316b35198f3198c828d9882a79846","0c2d9d598f919d635d1f230ea475ef04","6bcf6c1f8c373d25fca1579bc4464a91",3
"7971","598a55c8bf052d039d0fb4ff1a62f98a",19,2,1,675488,5690,47,2,"3a30c29e8a04b4f1335ee8874c526a6c","0c2d9d598f919d635d1f230ea475ef04","6bcf6c1f8c373d25fca1579bc4464a91",3
"15600","c005dbf89ef3fb55d6f0f0461ada5560",25,4,1,674170,5530,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","0c2d9d598f919d635d1f230ea475ef04","6bcf6c1f8c373d25fca1579bc4464a91",3
"7975","598a55c8bf052d039d0fb4ff1a62f98a",25,6,1,677452,5440,26,0,"3a30c29e8a04b4f1335ee8874c526a6c","0c2d9d598f919d635d1f230ea475ef04","501e22e48df13d5a5b2b85a08c6d2ca9",3
"7976","598a55c8bf052d039d0fb4ff1a62f98a",26,5,1,677453,5440,5,0,"3a30c29e8a04b4f1335ee8874c526a6c","0c2d9d598f919d635d1f230ea475ef04","6bcf6c1f8c373d25fca1579bc4464a91",3
"6211","33f631fec90cc1f08bb16cff5ed52f9b",33,5,1,622686,5180,2,1,"689ca95d19ef8d959ae9e70f41b6d0a7","b07ed3ce0e4991320064795011f02d4d","0f79f5ac1d01d9639c74a0cce4a8c7b3",2
"10661","9db75b921076b5848cba7ca36436147c",22,1,1,674509,5120,3,2,"3a30c29e8a04b4f1335ee8874c526a6c","0c2d9d598f919d635d1f230ea475ef04","0468a7cae6489acd7294600e8bad8b32",2
"9319","88012a99d7fd1c169e2360aa5cdf8bfa",29,1,1,586640,4900,1,3,"dc0f916810cb46c22beec67a860e00b4","5e0158b93a72b41987eec3429fb2038f","0f79f5ac1d01d9639c74a0cce4a8c7b3",2
