"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"16990","d0c6985ffc5f03ba09393699467a580a",2,10,1,546559,7200,0,0,"20c08a50314704513bb9ab9c18d70fb1","0d4f00ab57bedad897a0aecf8dfa692f","008c7fb331f92d216799d21a9104231a",2
"10148","8fd2943309c7accc78b41e047e1e9393",10,4,1,582877,6570,0,0,"cff694c8186a4bd377de400e4f60fe47","0d4f00ab57bedad897a0aecf8dfa692f","6bcf6c1f8c373d25fca1579bc4464a91",2
"17002","d0c6985ffc5f03ba09393699467a580a",15,5,1,548021,6160,1,1,"20c08a50314704513bb9ab9c18d70fb1","0d4f00ab57bedad897a0aecf8dfa692f","c17f6e6b83ccc768962046f1af1372a5",2
"17004","d0c6985ffc5f03ba09393699467a580a",17,2,1,548255,5910,58,2,"20c08a50314704513bb9ab9c18d70fb1","0d4f00ab57bedad897a0aecf8dfa692f","6bcf6c1f8c373d25fca1579bc4464a91",2
"17007","d0c6985ffc5f03ba09393699467a580a",20,4,1,548381,5790,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0d4f00ab57bedad897a0aecf8dfa692f","6bcf6c1f8c373d25fca1579bc4464a91",3
"17013","d0c6985ffc5f03ba09393699467a580a",28,1,1,549082,5550,3,2,"20c08a50314704513bb9ab9c18d70fb1","0d4f00ab57bedad897a0aecf8dfa692f","ea16528886a6058e0d8133e78bec598e",2
"17018","d0c6985ffc5f03ba09393699467a580a",34,4,1,549964,5070,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0d4f00ab57bedad897a0aecf8dfa692f","6bcf6c1f8c373d25fca1579bc4464a91",3
"10160","8fd2943309c7accc78b41e047e1e9393",22,2,1,584379,5070,1,2,"20c08a50314704513bb9ab9c18d70fb1","0d4f00ab57bedad897a0aecf8dfa692f","6bcf6c1f8c373d25fca1579bc4464a91",3
"17019","d0c6985ffc5f03ba09393699467a580a",35,2,1,550038,5000,79,2,"20c08a50314704513bb9ab9c18d70fb1","0d4f00ab57bedad897a0aecf8dfa692f","6bcf6c1f8c373d25fca1579bc4464a91",2
"10174","8fd2943309c7accc78b41e047e1e9393",37,2,1,587046,4400,58,2,"20c08a50314704513bb9ab9c18d70fb1","0d4f00ab57bedad897a0aecf8dfa692f","6bcf6c1f8c373d25fca1579bc4464a91",3
"10180","8fd2943309c7accc78b41e047e1e9393",43,4,1,587493,3950,0,0,"cff694c8186a4bd377de400e4f60fe47","0d4f00ab57bedad897a0aecf8dfa692f","6bcf6c1f8c373d25fca1579bc4464a91",2
