"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"18856","dc9261160f28c7e28ffe11e9724aa2b3",37,1,1,550013,4890,1,3,"b5464c11e1a8a18452a7d2988badfe0c","fa5ca757de7c6c5ec97900bcabbc146e","1010437803b67e17a67a8966294555a7",3
"17950","d9eb042455c8f36574d3a52e678a8916",42,1,1,335739,3840,1,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","0f02d616e027988803324c84e8951a0e","ad6a98bfd42a5a831a1a3401eaf96785",3
"14665","be5f61a5354154b3d7cba7536f189e2f",63,2,1,625513,3740,1,3,"bcdf0d0117f2e3d5afcd70f977eae3d6","0f02d616e027988803324c84e8951a0e","6bcf6c1f8c373d25fca1579bc4464a91",2
"14674","be5f61a5354154b3d7cba7536f189e2f",73,5,1,626245,3030,2,1,"bcdf0d0117f2e3d5afcd70f977eae3d6","0f02d616e027988803324c84e8951a0e","27ea17a8685c4919f157e83fe9cb2d9e",2
"12858","a55fe197c4ae19094a2303a950c7e70c",62,8,1,644733,2940,0,0,"cff694c8186a4bd377de400e4f60fe47","7367a4fcf2f4af747576b5dcb9ffdd77","1010437803b67e17a67a8966294555a7",3
"17960","d9eb042455c8f36574d3a52e678a8916",52,5,1,336674,2910,1,1,"bcdf0d0117f2e3d5afcd70f977eae3d6","0f02d616e027988803324c84e8951a0e","2f04dbbabeefc1447ca06ae228d8b42c",3
"17968","d9eb042455c8f36574d3a52e678a8916",60,5,1,337204,2650,45,0,"bcdf0d0117f2e3d5afcd70f977eae3d6","0f02d616e027988803324c84e8951a0e","6bcf6c1f8c373d25fca1579bc4464a91",3
"14683","be5f61a5354154b3d7cba7536f189e2f",82,6,1,626952,2600,29,0,"cff694c8186a4bd377de400e4f60fe47","0f02d616e027988803324c84e8951a0e","27ea17a8685c4919f157e83fe9cb2d9e",3
"14688","be5f61a5354154b3d7cba7536f189e2f",89,2,1,627579,2380,79,3,"bcdf0d0117f2e3d5afcd70f977eae3d6","0f02d616e027988803324c84e8951a0e","6bcf6c1f8c373d25fca1579bc4464a91",2
"6696","345f285f7c654bf7a03e940a9bc923c3",68,5,1,628035,2170,1,1,"bcdf0d0117f2e3d5afcd70f977eae3d6","0f02d616e027988803324c84e8951a0e","056755eee40e0ae3ce0cebd5b9053a3c",3
"4763","2bf4ac0ed9ac1aee8767134d62b34dfe",109,6,1,610644,1980,1,1,"8e90edc4eb908903bcbb567f92488049","0f02d616e027988803324c84e8951a0e","b2ba11f9de4921e8eee910b7c9d5404f",3
