"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"6190","33f631fec90cc1f08bb16cff5ed52f9b",8,4,1,618887,6960,0,0,"689ca95d19ef8d959ae9e70f41b6d0a7","0f79f5ac1d01d9639c74a0cce4a8c7b3","6bcf6c1f8c373d25fca1579bc4464a91",2
"9299","88012a99d7fd1c169e2360aa5cdf8bfa",6,5,1,583711,6740,1,1,"dc0f916810cb46c22beec67a860e00b4","0f79f5ac1d01d9639c74a0cce4a8c7b3","ff9ea417d5345bb5e4e6ec152ae2358f",2
"9304","88012a99d7fd1c169e2360aa5cdf8bfa",11,1,1,584368,6080,1,3,"dc0f916810cb46c22beec67a860e00b4","0f79f5ac1d01d9639c74a0cce4a8c7b3","6bcf6c1f8c373d25fca1579bc4464a91",2
"11973","a32200385b4594cb11f8a19e92c96835",12,7,1,584885,6010,5,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0f79f5ac1d01d9639c74a0cce4a8c7b3","6bcf6c1f8c373d25fca1579bc4464a91",3
"9307","88012a99d7fd1c169e2360aa5cdf8bfa",14,4,1,584696,5760,0,0,"dc0f916810cb46c22beec67a860e00b4","0f79f5ac1d01d9639c74a0cce4a8c7b3","6bcf6c1f8c373d25fca1579bc4464a91",2
"11977","a32200385b4594cb11f8a19e92c96835",16,5,1,585371,5670,40,1,"dc0f916810cb46c22beec67a860e00b4","0f79f5ac1d01d9639c74a0cce4a8c7b3","479986fc12b02040302f3d2b2a903e53",2
"11980","a32200385b4594cb11f8a19e92c96835",19,1,1,585590,5470,1,3,"dc0f916810cb46c22beec67a860e00b4","0f79f5ac1d01d9639c74a0cce4a8c7b3","b720c3a8a48569f1b468a00ac07c5f7f",2
"6206","33f631fec90cc1f08bb16cff5ed52f9b",26,5,1,622051,5440,2,1,"dc0f916810cb46c22beec67a860e00b4","0f79f5ac1d01d9639c74a0cce4a8c7b3","38165bacb00c27108cc23681972ee9ab",3
"6210","33f631fec90cc1f08bb16cff5ed52f9b",32,5,1,622635,5230,2,1,"dc0f916810cb46c22beec67a860e00b4","0f79f5ac1d01d9639c74a0cce4a8c7b3","b07ed3ce0e4991320064795011f02d4d",3
"6218","33f631fec90cc1f08bb16cff5ed52f9b",40,4,1,623517,4510,0,0,"689ca95d19ef8d959ae9e70f41b6d0a7","0f79f5ac1d01d9639c74a0cce4a8c7b3","6bcf6c1f8c373d25fca1579bc4464a91",2
"11990","a32200385b4594cb11f8a19e92c96835",31,1,1,586956,4490,1,2,"dc0f916810cb46c22beec67a860e00b4","0f79f5ac1d01d9639c74a0cce4a8c7b3","6bcf6c1f8c373d25fca1579bc4464a91",2
"13804","b2c59cbe723394436526560db23e6a93",52,8,1,623111,4170,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","e5e2fb66fc3e8ee0edf076e60d343031","110efe8a264188c41b74dca2c1211247",2
"12001","a32200385b4594cb11f8a19e92c96835",42,3,1,587624,4090,16,1,"dc0f916810cb46c22beec67a860e00b4","0f79f5ac1d01d9639c74a0cce4a8c7b3","6bcf6c1f8c373d25fca1579bc4464a91",2
"6227","33f631fec90cc1f08bb16cff5ed52f9b",49,1,1,624543,3890,79,2,"dc0f916810cb46c22beec67a860e00b4","0f79f5ac1d01d9639c74a0cce4a8c7b3","6bcf6c1f8c373d25fca1579bc4464a91",3
"6233","33f631fec90cc1f08bb16cff5ed52f9b",57,1,1,625293,3680,79,2,"dc0f916810cb46c22beec67a860e00b4","0f79f5ac1d01d9639c74a0cce4a8c7b3","6bcf6c1f8c373d25fca1579bc4464a91",3
