"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"1899","0868dee930f69a54541d4ae88b841a37",1,10,1,564757,7200,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","d38e656ac7e867b6f28064fcf8d8fcaf","1278107e4a5c3735de706159c381fd82",2
"13760","b2c59cbe723394436526560db23e6a93",1,10,1,618384,7200,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","b67e5a2e593be71fe871d7d511f0ab55","1278107e4a5c3735de706159c381fd82",2
"13761","b2c59cbe723394436526560db23e6a93",2,5,1,618526,7060,1,1,"9d9ff83d0b109d3a6106a3b004424ae4","b67e5a2e593be71fe871d7d511f0ab55","1278107e4a5c3735de706159c381fd82",2
"18836","dc9261160f28c7e28ffe11e9724aa2b3",13,2,1,547524,6360,101,2,"b5464c11e1a8a18452a7d2988badfe0c","1010437803b67e17a67a8966294555a7","6bcf6c1f8c373d25fca1579bc4464a91",3
"18862","dc9261160f28c7e28ffe11e9724aa2b3",43,1,1,550580,4320,42,2,"b5464c11e1a8a18452a7d2988badfe0c","1010437803b67e17a67a8966294555a7","6bcf6c1f8c373d25fca1579bc4464a91",3
"18864","dc9261160f28c7e28ffe11e9724aa2b3",45,1,1,550891,4010,1,3,"b5464c11e1a8a18452a7d2988badfe0c","1010437803b67e17a67a8966294555a7","6bcf6c1f8c373d25fca1579bc4464a91",3
"18866","dc9261160f28c7e28ffe11e9724aa2b3",47,1,1,551253,3650,80,3,"b5464c11e1a8a18452a7d2988badfe0c","1010437803b67e17a67a8966294555a7","6bcf6c1f8c373d25fca1579bc4464a91",3
"18872","dc9261160f28c7e28ffe11e9724aa2b3",55,5,1,553516,3110,45,0,"b5464c11e1a8a18452a7d2988badfe0c","1010437803b67e17a67a8966294555a7","6bcf6c1f8c373d25fca1579bc4464a91",3
"18881","dc9261160f28c7e28ffe11e9724aa2b3",64,6,1,554212,2520,1,0,"45ba8fc87f55b1191c50c400dc7ed11c","1010437803b67e17a67a8966294555a7","515b44596849db9f6f2b360c576398fc",2
"18888","dc9261160f28c7e28ffe11e9724aa2b3",71,5,1,555011,1960,1,1,"b5464c11e1a8a18452a7d2988badfe0c","1010437803b67e17a67a8966294555a7","515b44596849db9f6f2b360c576398fc",3
"18894","dc9261160f28c7e28ffe11e9724aa2b3",78,8,1,555536,1920,0,0,"45ba8fc87f55b1191c50c400dc7ed11c","1010437803b67e17a67a8966294555a7","a30c2c75d6a204ed450a2c423c11d362",2
"12882","a55fe197c4ae19094a2303a950c7e70c",100,6,1,648365,1510,1,1,"cff694c8186a4bd377de400e4f60fe47","1010437803b67e17a67a8966294555a7","c1fe6ed491d04e3cdf50755dff23b263",3
