"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"13808","b2c59cbe723394436526560db23e6a93",56,4,1,623449,3900,0,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"13818","b2c59cbe723394436526560db23e6a93",69,4,1,625705,3060,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",2
"13819","b2c59cbe723394436526560db23e6a93",68,1,1,625707,3060,97,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",2
"21989","f385e8caae86b6cb58ed3241c1278ce3",58,4,1,626590,2970,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"21993","f385e8caae86b6cb58ed3241c1278ce3",62,5,1,626788,2820,39,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",2
"21994","f385e8caae86b6cb58ed3241c1278ce3",63,6,1,627062,2690,1,0,"de15a687fa7995b12a3e4b0a1fa8db14","110efe8a264188c41b74dca2c1211247","171fe637accecc29979e5408595de077",3
"13350","b2abcb6a29ed3d99db98084c96638bff",96,1,1,629898,2420,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","b67e5a2e593be71fe871d7d511f0ab55",3
"21999","f385e8caae86b6cb58ed3241c1278ce3",69,1,1,627679,2370,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","0beb157ecf02b2c67048597bb3c514b5",2
"17495","d3a00898abc790fd5643d05f996f05f6",83,2,1,594526,2230,80,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"17512","d3a00898abc790fd5643d05f996f05f6",105,5,1,596684,1800,45,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"13841","b2c59cbe723394436526560db23e6a93",95,5,1,628827,1800,1,1,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","648cb1de466b2c196fcd360502c34458",2
"13363","b2abcb6a29ed3d99db98084c96638bff",111,2,1,632954,1200,1,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15675","c005dbf89ef3fb55d6f0f0461ada5560",110,4,1,685328,710,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"22027","f385e8caae86b6cb58ed3241c1278ce3",100,5,1,630848,389,2,1,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","e546fc654970cfc01f73c0d73250e97b",2
"13861","b2c59cbe723394436526560db23e6a93",117,2,1,630902,319,79,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",2
"15679","c005dbf89ef3fb55d6f0f0461ada5560",115,2,1,685917,308,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"17536","d3a00898abc790fd5643d05f996f05f6",133,3,1,600622,237,11,1,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"17537","d3a00898abc790fd5643d05f996f05f6",135,3,1,600734,237,12,1,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"17541","d3a00898abc790fd5643d05f996f05f6",141,3,1,601987,4,13,1,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"17542","d3a00898abc790fd5643d05f996f05f6",143,3,1,602156,4,14,1,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"17543","d3a00898abc790fd5643d05f996f05f6",145,3,1,602276,4,15,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15690","c005dbf89ef3fb55d6f0f0461ada5560",127,1,2,688169,7040,79,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","321fe275d1d66f05c5014fd97e870834",3
"13383","b2abcb6a29ed3d99db98084c96638bff",134,6,2,636765,6960,17,0,"e2d25dd55740327314a2a0b874621ba8","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",2
"17561","d3a00898abc790fd5643d05f996f05f6",164,2,2,605225,6200,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15705","c005dbf89ef3fb55d6f0f0461ada5560",142,6,2,689311,6100,2,0,"3a30c29e8a04b4f1335ee8874c526a6c","110efe8a264188c41b74dca2c1211247","13742c470562ea186133c3a06e43d172",2
"13394","b2abcb6a29ed3d99db98084c96638bff",148,6,2,638340,6040,2,0,"e2d25dd55740327314a2a0b874621ba8","110efe8a264188c41b74dca2c1211247","23d30ea674e3a1374d4ea788452ad6bb",2
"15708","c005dbf89ef3fb55d6f0f0461ada5560",146,4,2,689745,5920,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15709","c005dbf89ef3fb55d6f0f0461ada5560",147,1,2,689766,5900,1,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"13404","b2abcb6a29ed3d99db98084c96638bff",159,8,2,639253,5610,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","33f469a601417bebf0be722241d131e6",3
"15711","c005dbf89ef3fb55d6f0f0461ada5560",149,2,2,690100,5570,80,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15714","c005dbf89ef3fb55d6f0f0461ada5560",152,1,2,690373,5290,1,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15721","c005dbf89ef3fb55d6f0f0461ada5560",165,1,2,692817,4760,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","321fe275d1d66f05c5014fd97e870834",3
"17588","d3a00898abc790fd5643d05f996f05f6",196,6,2,609247,4580,2,0,"8e90edc4eb908903bcbb567f92488049","110efe8a264188c41b74dca2c1211247","9dfb640c64a314da8e0fd9993fea7c8f",2
"17591","d3a00898abc790fd5643d05f996f05f6",200,2,2,609593,4480,5,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"17593","d3a00898abc790fd5643d05f996f05f6",202,6,2,609686,4400,2,0,"8e90edc4eb908903bcbb567f92488049","110efe8a264188c41b74dca2c1211247","9b85cb9662c0d65b722d77aea12f3f13",2
"15728","c005dbf89ef3fb55d6f0f0461ada5560",172,5,2,693389,4220,45,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15737","c005dbf89ef3fb55d6f0f0461ada5560",181,8,2,694198,3660,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","d4777cb3468137b35f7e80b7434bec27",3
"17616","d3a00898abc790fd5643d05f996f05f6",228,8,2,613229,3250,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","d7f2b465bbe159ecb83cb95d120df260",3
"22136","f385e8caae86b6cb58ed3241c1278ce3",230,6,2,648093,1490,2,1,"de15a687fa7995b12a3e4b0a1fa8db14","110efe8a264188c41b74dca2c1211247","e546fc654970cfc01f73c0d73250e97b",3
"22146","f385e8caae86b6cb58ed3241c1278ce3",241,1,2,649577,529,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","d4777cb3468137b35f7e80b7434bec27",2
"22148","f385e8caae86b6cb58ed3241c1278ce3",243,4,2,649650,459,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"22152","f385e8caae86b6cb58ed3241c1278ce3",247,1,2,650565,38,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6de0ac647d194bdcfc0854c7ad51c44e",2
"17721","d3a00898abc790fd5643d05f996f05f6",355,1,3,636251,3970,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","b67e5a2e593be71fe871d7d511f0ab55",3
"13568","b2abcb6a29ed3d99db98084c96638bff",352,4,3,672567,3550,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"13570","b2abcb6a29ed3d99db98084c96638bff",351,2,3,672568,3540,97,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"22208","f385e8caae86b6cb58ed3241c1278ce3",314,2,3,668596,3000,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",2
"22212","f385e8caae86b6cb58ed3241c1278ce3",318,6,3,668846,2820,1,0,"de15a687fa7995b12a3e4b0a1fa8db14","110efe8a264188c41b74dca2c1211247","171fe637accecc29979e5408595de077",3
"17749","d3a00898abc790fd5643d05f996f05f6",395,4,3,639497,2590,0,0,"8e90edc4eb908903bcbb567f92488049","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",2
"22215","f385e8caae86b6cb58ed3241c1278ce3",321,2,3,669320,2530,79,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",2
"13590","b2abcb6a29ed3d99db98084c96638bff",375,2,3,674743,2340,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15882","c005dbf89ef3fb55d6f0f0461ada5560",354,5,3,724200,2340,2,1,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","461d33b042b3c349d69980f89e06f582",3
"15885","c005dbf89ef3fb55d6f0f0461ada5560",357,4,3,724581,1940,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15887","c005dbf89ef3fb55d6f0f0461ada5560",359,3,3,724739,1940,11,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15889","c005dbf89ef3fb55d6f0f0461ada5560",361,3,3,725011,1940,12,1,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"13594","b2abcb6a29ed3d99db98084c96638bff",379,1,3,675401,1920,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","321fe275d1d66f05c5014fd97e870834",3
"15891","c005dbf89ef3fb55d6f0f0461ada5560",364,5,3,725185,1790,45,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"17764","d3a00898abc790fd5643d05f996f05f6",411,1,3,642149,1690,5,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","b67e5a2e593be71fe871d7d511f0ab55",3
"15896","c005dbf89ef3fb55d6f0f0461ada5560",371,2,3,727301,1440,79,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"14047","b2c59cbe723394436526560db23e6a93",341,2,3,670575,1420,1,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",2
"13599","b2abcb6a29ed3d99db98084c96638bff",384,2,3,676047,1270,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"22234","f385e8caae86b6cb58ed3241c1278ce3",348,4,3,673409,1060,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"17777","d3a00898abc790fd5643d05f996f05f6",426,4,3,643812,970,0,0,"8e90edc4eb908903bcbb567f92488049","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",2
"17778","d3a00898abc790fd5643d05f996f05f6",427,2,3,643910,870,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"13615","b2abcb6a29ed3d99db98084c96638bff",405,1,3,677701,830,7,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","321fe275d1d66f05c5014fd97e870834",3
"14065","b2c59cbe723394436526560db23e6a93",363,1,3,672501,549,108,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","321fe275d1d66f05c5014fd97e870834",2
"17786","d3a00898abc790fd5643d05f996f05f6",436,3,3,644885,307,11,1,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"17787","d3a00898abc790fd5643d05f996f05f6",438,3,3,645050,307,12,1,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"13623","b2abcb6a29ed3d99db98084c96638bff",414,2,3,679631,129,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15924","c005dbf89ef3fb55d6f0f0461ada5560",400,4,4,731244,7060,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",2
"15925","c005dbf89ef3fb55d6f0f0461ada5560",401,2,4,731339,6960,79,2,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15934","c005dbf89ef3fb55d6f0f0461ada5560",410,4,4,731762,6540,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",2
"14086","b2c59cbe723394436526560db23e6a93",388,4,4,676638,6350,0,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15937","c005dbf89ef3fb55d6f0f0461ada5560",413,6,4,733609,6200,1,0,"3a30c29e8a04b4f1335ee8874c526a6c","110efe8a264188c41b74dca2c1211247","e6d3fc584789b9b914791ec969a8d5a4",2
"14090","b2c59cbe723394436526560db23e6a93",393,4,4,677120,6100,0,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"17807","d3a00898abc790fd5643d05f996f05f6",462,2,4,648982,6060,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"15941","c005dbf89ef3fb55d6f0f0461ada5560",417,4,4,734011,5960,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"14097","b2c59cbe723394436526560db23e6a93",400,2,4,677616,5590,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",2
"14100","b2c59cbe723394436526560db23e6a93",403,4,4,677806,5410,0,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"14102","b2c59cbe723394436526560db23e6a93",405,6,4,677991,5280,1,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","110efe8a264188c41b74dca2c1211247","050e16220dddff68fc37eca695cee3b4",3
"17821","d3a00898abc790fd5643d05f996f05f6",478,3,4,651845,5180,11,1,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"17822","d3a00898abc790fd5643d05f996f05f6",480,3,4,651989,5180,12,1,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","6bcf6c1f8c373d25fca1579bc4464a91",3
"17823","d3a00898abc790fd5643d05f996f05f6",483,8,4,652392,4970,0,0,"8e90edc4eb908903bcbb567f92488049","110efe8a264188c41b74dca2c1211247","b67e5a2e593be71fe871d7d511f0ab55",2
"14121","b2c59cbe723394436526560db23e6a93",429,8,4,682340,4190,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","e5e2fb66fc3e8ee0edf076e60d343031",2
"15977","c005dbf89ef3fb55d6f0f0461ada5560",460,8,4,739537,3370,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","d4777cb3468137b35f7e80b7434bec27",3
"21915","f0332f91eb943b64b39ef28daf6639c5",466,8,4,671400,1610,0,0,"45ba8fc87f55b1191c50c400dc7ed11c","0a7ae25da315e35e903233b4bb2252da","12d1d91e35cddf4defdd250392f4f2e5",3
"22337","f385e8caae86b6cb58ed3241c1278ce3",476,1,4,692565,321,1,3,"9d9ff83d0b109d3a6106a3b004424ae4","110efe8a264188c41b74dca2c1211247","d7f2b465bbe159ecb83cb95d120df260",2
