"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"2917","13ced855d491384876c6ab807bd1d3db",98,4,1,341360,1130,0,0,"af9d335fe8dec87c939d27a9de259b45","12327e4171bb9715104ea70c722869ea","6bcf6c1f8c373d25fca1579bc4464a91",2
"2933","13ced855d491384876c6ab807bd1d3db",116,4,1,343316,46,0,0,"af9d335fe8dec87c939d27a9de259b45","12327e4171bb9715104ea70c722869ea","6bcf6c1f8c373d25fca1579bc4464a91",2
"2938","13ced855d491384876c6ab807bd1d3db",122,2,2,345437,7120,101,2,"cc5e0f4efd0f5410547d4e73f38f7811","12327e4171bb9715104ea70c722869ea","6bcf6c1f8c373d25fca1579bc4464a91",3
"2960","13ced855d491384876c6ab807bd1d3db",147,2,2,348168,6080,1,2,"cc5e0f4efd0f5410547d4e73f38f7811","12327e4171bb9715104ea70c722869ea","6bcf6c1f8c373d25fca1579bc4464a91",3
"2966","13ced855d491384876c6ab807bd1d3db",155,2,2,348774,5600,101,2,"cc5e0f4efd0f5410547d4e73f38f7811","12327e4171bb9715104ea70c722869ea","6bcf6c1f8c373d25fca1579bc4464a91",3
"3008","13ced855d491384876c6ab807bd1d3db",201,5,2,354430,3250,1,1,"cc5e0f4efd0f5410547d4e73f38f7811","12327e4171bb9715104ea70c722869ea","74f677b5efa87503eead993dfa30ca27",3
"3013","13ced855d491384876c6ab807bd1d3db",207,8,2,356057,2990,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","12327e4171bb9715104ea70c722869ea","1a48480fc3370082483f158f10948bba",3
"17767","d3a00898abc790fd5643d05f996f05f6",416,8,3,643043,1560,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","508d962863dc09f49884cdd9a53d804a","12f2718c657784e4b5f766789d3df3bf",3
"3179","13ced855d491384876c6ab807bd1d3db",419,1,3,390826,53,79,3,"cc5e0f4efd0f5410547d4e73f38f7811","12327e4171bb9715104ea70c722869ea","762b12c3cb57fad4b882040b3293fa31",3
"3190","13ced855d491384876c6ab807bd1d3db",434,2,4,393487,6490,1,2,"cc5e0f4efd0f5410547d4e73f38f7811","12327e4171bb9715104ea70c722869ea","6bcf6c1f8c373d25fca1579bc4464a91",3
"3194","13ced855d491384876c6ab807bd1d3db",438,3,4,393869,6350,11,2,"cc5e0f4efd0f5410547d4e73f38f7811","12327e4171bb9715104ea70c722869ea","6bcf6c1f8c373d25fca1579bc4464a91",3
"3196","13ced855d491384876c6ab807bd1d3db",440,3,4,394000,6350,12,2,"cc5e0f4efd0f5410547d4e73f38f7811","12327e4171bb9715104ea70c722869ea","6bcf6c1f8c373d25fca1579bc4464a91",3
"3204","13ced855d491384876c6ab807bd1d3db",449,5,4,395322,5650,2,1,"cc5e0f4efd0f5410547d4e73f38f7811","12327e4171bb9715104ea70c722869ea","9e0ccb212abed9880097869dbfb903c5",3
"3216","13ced855d491384876c6ab807bd1d3db",465,8,4,397382,5360,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","12327e4171bb9715104ea70c722869ea","1a8dfc8c85278dd28ed7985e40fc6018",3
"17869","d3a00898abc790fd5643d05f996f05f6",531,5,4,659271,2050,1,1,"9d9ff83d0b109d3a6106a3b004424ae4","b1ae0bb44250b8cd2e080de545a6cd1b","12f2718c657784e4b5f766789d3df3bf",3
"17881","d3a00898abc790fd5643d05f996f05f6",544,5,4,660823,1590,1,1,"9d9ff83d0b109d3a6106a3b004424ae4","321fe275d1d66f05c5014fd97e870834","12f2718c657784e4b5f766789d3df3bf",3
"17882","d3a00898abc790fd5643d05f996f05f6",545,6,4,660884,1590,1,0,"8e90edc4eb908903bcbb567f92488049","b67e5a2e593be71fe871d7d511f0ab55","12f2718c657784e4b5f766789d3df3bf",2
"17891","d3a00898abc790fd5643d05f996f05f6",555,6,4,663524,564,29,1,"8e90edc4eb908903bcbb567f92488049","b1ae0bb44250b8cd2e080de545a6cd1b","12f2718c657784e4b5f766789d3df3bf",2
