"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"1900","0868dee930f69a54541d4ae88b841a37",2,6,1,565016,7010,1,0,"3cd0b15957ceb80f5125bef8bd1bbea7","1278107e4a5c3735de706159c381fd82","d38e656ac7e867b6f28064fcf8d8fcaf",2
"13762","b2c59cbe723394436526560db23e6a93",3,2,1,618647,6930,1,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",3
"13765","b2c59cbe723394436526560db23e6a93",6,1,1,618928,6650,78,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","bc77b0f38cb51b2cfe8552000e585cbf",3
"1905","0868dee930f69a54541d4ae88b841a37",7,4,1,565548,6560,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",2
"1906","0868dee930f69a54541d4ae88b841a37",8,1,1,565623,6480,1,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","5f2d1b7a31eb9117654c9d056093bfa5",3
"13769","b2c59cbe723394436526560db23e6a93",12,1,1,619659,6290,44,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","5f2d1b7a31eb9117654c9d056093bfa5",3
"13772","b2c59cbe723394436526560db23e6a93",15,2,1,619912,6040,5,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",3
"13777","b2c59cbe723394436526560db23e6a93",20,6,1,620370,5660,29,0,"9d9ff83d0b109d3a6106a3b004424ae4","1278107e4a5c3735de706159c381fd82","e5e2fb66fc3e8ee0edf076e60d343031",2
"1920","0868dee930f69a54541d4ae88b841a37",23,1,1,567333,5490,7,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","5f2d1b7a31eb9117654c9d056093bfa5",3
"1931","0868dee930f69a54541d4ae88b841a37",34,1,1,568180,4850,42,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","5f2d1b7a31eb9117654c9d056093bfa5",3
"31","021fd159b55773fba8157e2090fe0fe2",33,8,1,549917,4790,0,0,"cff694c8186a4bd377de400e4f60fe47","a99f44bbff39e352191a870e17f04537","1362d9ad805e7cc4ea3a9467c91142d6",3
"13800","b2c59cbe723394436526560db23e6a93",47,4,1,622809,4320,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",2
"1941","0868dee930f69a54541d4ae88b841a37",44,1,1,568779,4240,78,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","5f2d1b7a31eb9117654c9d056093bfa5",3
"13801","b2c59cbe723394436526560db23e6a93",48,2,1,622888,4230,1,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",3
"1944","0868dee930f69a54541d4ae88b841a37",47,6,1,569102,3990,3,0,"3cd0b15957ceb80f5125bef8bd1bbea7","1278107e4a5c3735de706159c381fd82","d38e656ac7e867b6f28064fcf8d8fcaf",2
"1946","0868dee930f69a54541d4ae88b841a37",49,8,1,569273,3990,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","1278107e4a5c3735de706159c381fd82","867712e1cdfd8b15d083f3be2af4bc0f",2
"16570","cc638bdf25316add638154b45434aebd",75,8,1,591373,3170,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","2b313e2bcef0268bc8e9415132ba9997","1362d9ad805e7cc4ea3a9467c91142d6",2
"13824","b2c59cbe723394436526560db23e6a93",75,4,1,626174,2590,0,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",3
"13825","b2c59cbe723394436526560db23e6a93",74,1,1,626176,2590,72,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",3
"13827","b2c59cbe723394436526560db23e6a93",77,4,1,626303,2470,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",2
"13832","b2c59cbe723394436526560db23e6a93",82,8,1,626651,2420,0,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","2892cf3e89fc147144ccbd45a194d64a",3
"16588","cc638bdf25316add638154b45434aebd",95,6,1,593006,2270,3,0,"012059d397c0b7e5a30a5bb89c0b075e","f4e77e1d9313c8f7274d0ca3ef38ed3d","1362d9ad805e7cc4ea3a9467c91142d6",3
"74","021fd159b55773fba8157e2090fe0fe2",87,6,1,555670,1940,2,0,"012059d397c0b7e5a30a5bb89c0b075e","603daefb2fa321f3abab289805fdcc25","1362d9ad805e7cc4ea3a9467c91142d6",2
"16626","cc638bdf25316add638154b45434aebd",140,6,1,597996,443,2,1,"012059d397c0b7e5a30a5bb89c0b075e","f4e77e1d9313c8f7274d0ca3ef38ed3d","1362d9ad805e7cc4ea3a9467c91142d6",3
"155","021fd159b55773fba8157e2090fe0fe2",179,8,2,568228,4580,0,0,"cff694c8186a4bd377de400e4f60fe47","2d9594e4d250679e7a3383ad5ccd2f44","1362d9ad805e7cc4ea3a9467c91142d6",3
"13911","b2c59cbe723394436526560db23e6a93",176,6,2,639079,4410,1,0,"9d9ff83d0b109d3a6106a3b004424ae4","1278107e4a5c3735de706159c381fd82","d4777cb3468137b35f7e80b7434bec27",2
"170","021fd159b55773fba8157e2090fe0fe2",199,6,2,570053,3910,2,1,"012059d397c0b7e5a30a5bb89c0b075e","33963fe856a1523ff46438ba07d1d99f","1362d9ad805e7cc4ea3a9467c91142d6",2
"2066","0868dee930f69a54541d4ae88b841a37",198,3,2,589142,3360,11,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",3
"2068","0868dee930f69a54541d4ae88b841a37",200,3,2,589298,3360,12,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",3
"13932","b2c59cbe723394436526560db23e6a93",203,3,2,642668,3240,11,1,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",3
"13933","b2c59cbe723394436526560db23e6a93",205,3,2,642810,3240,12,1,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",3
"2076","0868dee930f69a54541d4ae88b841a37",210,4,2,590043,3040,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",2
"2078","0868dee930f69a54541d4ae88b841a37",212,3,2,590336,2970,11,1,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",3
"2081","0868dee930f69a54541d4ae88b841a37",216,3,2,590567,2970,12,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",3
"13938","b2c59cbe723394436526560db23e6a93",211,4,2,643566,2710,0,0,"9d9ff83d0b109d3a6106a3b004424ae4","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",2
"13949","b2c59cbe723394436526560db23e6a93",225,8,2,644933,2130,0,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","336ec76a9accfb5359ea7e69f2610947",3
"2102","0868dee930f69a54541d4ae88b841a37",244,8,2,594885,1590,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","1278107e4a5c3735de706159c381fd82","050e16220dddff68fc37eca695cee3b4",2
"2127","0868dee930f69a54541d4ae88b841a37",271,1,3,607263,7040,78,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","5f2d1b7a31eb9117654c9d056093bfa5",3
"2130","0868dee930f69a54541d4ae88b841a37",274,4,3,607603,6700,0,0,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",3
"13981","b2c59cbe723394436526560db23e6a93",263,1,3,659781,6620,98,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","5f2d1b7a31eb9117654c9d056093bfa5",3
"2134","0868dee930f69a54541d4ae88b841a37",278,1,3,608167,6460,5,2,"78cb4fd2222d4d6c7ce0a53cf99b4b14","1278107e4a5c3735de706159c381fd82","4596ed9dd04a94f6ad5e60ebda302350",3
"2138","0868dee930f69a54541d4ae88b841a37",282,4,3,608743,5910,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","1278107e4a5c3735de706159c381fd82","6bcf6c1f8c373d25fca1579bc4464a91",2
