"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"16517","cc638bdf25316add638154b45434aebd",12,1,1,583851,6470,5,2,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","2b313e2bcef0268bc8e9415132ba9997",3
"11113","9dce47bc3cbabd451a9bab758ca5467f",15,6,1,583667,6240,1,0,"6f5316b35198f3198c828d9882a79846","cbc1063c3b1731493f5de7dcd822a193","1376b4800e5b2d50ce35a57827eadcfc",2
"16522","cc638bdf25316add638154b45434aebd",19,1,1,584700,6100,1,3,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","c721802743c4dd0a6d0fbdc0ccb8d196",3
"16527","cc638bdf25316add638154b45434aebd",24,6,1,585278,5790,26,0,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","f79a2b5e6190ac3c534645e806f1b611",3
"16528","cc638bdf25316add638154b45434aebd",25,5,1,585279,5790,5,0,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",3
"16532","cc638bdf25316add638154b45434aebd",30,6,1,586034,5320,2,0,"3cd0b15957ceb80f5125bef8bd1bbea7","1362d9ad805e7cc4ea3a9467c91142d6","c4072556336827a70c8a0298bc658b5b",2
"16535","cc638bdf25316add638154b45434aebd",34,2,1,586376,5250,1,3,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",3
"16539","cc638bdf25316add638154b45434aebd",40,8,1,586951,5100,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","1362d9ad805e7cc4ea3a9467c91142d6","6bf40f9c2b640febc71d1393fb24d894",2
"11140","9dce47bc3cbabd451a9bab758ca5467f",45,6,1,586916,4060,1,0,"6f5316b35198f3198c828d9882a79846","4dda057700cc34ac57fede94ff8c0652","1376b4800e5b2d50ce35a57827eadcfc",2
"51","021fd159b55773fba8157e2090fe0fe2",63,2,1,552508,3330,44,2,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",2
"10690","9db75b921076b5848cba7ca36436147c",57,6,1,679338,3050,1,0,"6f5316b35198f3198c828d9882a79846","9205d55e83f96be2290f1e8849e9f062","1376b4800e5b2d50ce35a57827eadcfc",3
"75","021fd159b55773fba8157e2090fe0fe2",88,3,1,555777,1940,11,1,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",2
"80","021fd159b55773fba8157e2090fe0fe2",94,3,1,556150,1940,12,1,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",2
"16125","c18a10de1375b1f12aa17ef6cc540102",103,8,1,687954,1720,0,0,"689ca95d19ef8d959ae9e70f41b6d0a7","8bea2707e7bf04c8a3d8188b87d92c0e","1376b4800e5b2d50ce35a57827eadcfc",2
"87","021fd159b55773fba8157e2090fe0fe2",102,6,1,556597,1680,2,0,"cff694c8186a4bd377de400e4f60fe47","1362d9ad805e7cc4ea3a9467c91142d6","603daefb2fa321f3abab289805fdcc25",3
"11178","9dce47bc3cbabd451a9bab758ca5467f",88,6,1,592848,1660,1,0,"6f5316b35198f3198c828d9882a79846","e96dc78c444bead3a3e7d169f2fa6e07","1376b4800e5b2d50ce35a57827eadcfc",2
"92","021fd159b55773fba8157e2090fe0fe2",109,6,1,558680,1390,1,0,"cff694c8186a4bd377de400e4f60fe47","1362d9ad805e7cc4ea3a9467c91142d6","c00264c3114d23bac482e9de50fb7d28",3
"16617","cc638bdf25316add638154b45434aebd",129,4,1,596912,840,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",2
"16627","cc638bdf25316add638154b45434aebd",141,3,1,598072,443,11,2,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",3
"16629","cc638bdf25316add638154b45434aebd",143,3,1,598250,443,12,1,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",3
"566","03a31e84b194d6c8a2eab5d70ba67acf",95,8,1,630568,325,0,0,"5df2526720f9ac092e202de922f5a65f","8bea2707e7bf04c8a3d8188b87d92c0e","1376b4800e5b2d50ce35a57827eadcfc",2
"16154","c18a10de1375b1f12aa17ef6cc540102",139,8,1,692642,36,0,0,"6f5316b35198f3198c828d9882a79846","b248b1d9caa41a3562d67584c1a0b399","1376b4800e5b2d50ce35a57827eadcfc",3
"16640","cc638bdf25316add638154b45434aebd",157,6,2,601493,6810,26,0,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","bc6bc2e33f8e12c3632ba3cbf67200d1",3
"16641","cc638bdf25316add638154b45434aebd",586,5,2,601494,6810,37,0,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",3
"16642","cc638bdf25316add638154b45434aebd",159,8,2,601612,6810,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","1362d9ad805e7cc4ea3a9467c91142d6","a99f44bbff39e352191a870e17f04537",2
"16167","c18a10de1375b1f12aa17ef6cc540102",157,5,2,695996,6310,2,1,"689ca95d19ef8d959ae9e70f41b6d0a7","4b095e823bb1b4857a50d41a511930d4","1376b4800e5b2d50ce35a57827eadcfc",2
"16178","c18a10de1375b1f12aa17ef6cc540102",168,6,2,697505,5330,29,0,"6f5316b35198f3198c828d9882a79846","9cdb7fcbb36cb039e63ea8074df32a81","1376b4800e5b2d50ce35a57827eadcfc",3
"604","03a31e84b194d6c8a2eab5d70ba67acf",136,6,2,636338,4420,2,0,"6f5316b35198f3198c828d9882a79846","e6d3fc584789b9b914791ec969a8d5a4","1376b4800e5b2d50ce35a57827eadcfc",3
"162","021fd159b55773fba8157e2090fe0fe2",189,2,2,569181,4190,1,3,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",2
"10786","9db75b921076b5848cba7ca36436147c",163,8,2,693595,4060,0,0,"6f5316b35198f3198c828d9882a79846","b248b1d9caa41a3562d67584c1a0b399","1376b4800e5b2d50ce35a57827eadcfc",3
"11256","9dce47bc3cbabd451a9bab758ca5467f",178,8,2,606583,3960,0,0,"e1f2c56e5df4f2e975a969f329a7068c","b248b1d9caa41a3562d67584c1a0b399","1376b4800e5b2d50ce35a57827eadcfc",3
"171","021fd159b55773fba8157e2090fe0fe2",200,3,2,570117,3910,11,1,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",2
"173","021fd159b55773fba8157e2090fe0fe2",203,3,2,570320,3910,12,1,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",2
"188","021fd159b55773fba8157e2090fe0fe2",221,8,2,573014,3220,0,0,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","a99f44bbff39e352191a870e17f04537",2
"10815","9db75b921076b5848cba7ca36436147c",195,6,2,698441,1830,3,0,"6f5316b35198f3198c828d9882a79846","9205d55e83f96be2290f1e8849e9f062","1376b4800e5b2d50ce35a57827eadcfc",3
"684","03a31e84b194d6c8a2eab5d70ba67acf",236,8,2,651146,66,0,0,"6f5316b35198f3198c828d9882a79846","952cb62f00fbb58407f3a7cd89c3a7bf","1376b4800e5b2d50ce35a57827eadcfc",3
"16757","cc638bdf25316add638154b45434aebd",289,1,3,626742,6960,73,2,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",3
"16763","cc638bdf25316add638154b45434aebd",296,2,3,627516,6640,1,3,"012059d397c0b7e5a30a5bb89c0b075e","1362d9ad805e7cc4ea3a9467c91142d6","6bcf6c1f8c373d25fca1579bc4464a91",3
