"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"5258","2faabfa663f4dfb9ed83a1482088e092",50,8,1,480624,3540,0,0,"0a6fc39f34702cff144525dfd265f8fa","293f2b24a7c44b0d65cd9ac09b680ffc","14629670f976c0320bd2085956d073e1",3
"5297","2faabfa663f4dfb9ed83a1482088e092",96,5,1,485744,1550,1,1,"0a6fc39f34702cff144525dfd265f8fa","4d64187a5343a51197a799982a97d173","14629670f976c0320bd2085956d073e1",3
"5300","2faabfa663f4dfb9ed83a1482088e092",99,6,1,485852,1510,1,0,"689ca95d19ef8d959ae9e70f41b6d0a7","522a32a0442e32bce9aba28ac7ba327b","14629670f976c0320bd2085956d073e1",2
"15661","c005dbf89ef3fb55d6f0f0461ada5560",94,1,1,684053,1380,3,2,"3a30c29e8a04b4f1335ee8874c526a6c","13742c470562ea186133c3a06e43d172","e6d3fc584789b9b914791ec969a8d5a4",2
"15668","c005dbf89ef3fb55d6f0f0461ada5560",101,6,1,684743,920,2,1,"9d9ff83d0b109d3a6106a3b004424ae4","13742c470562ea186133c3a06e43d172","d4777cb3468137b35f7e80b7434bec27",3
"15672","c005dbf89ef3fb55d6f0f0461ada5560",108,4,1,685222,810,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","13742c470562ea186133c3a06e43d172","6bcf6c1f8c373d25fca1579bc4464a91",2
"15673","c005dbf89ef3fb55d6f0f0461ada5560",107,1,1,685224,810,97,2,"3a30c29e8a04b4f1335ee8874c526a6c","13742c470562ea186133c3a06e43d172","6bcf6c1f8c373d25fca1579bc4464a91",2
"5317","2faabfa663f4dfb9ed83a1482088e092",118,6,1,487265,780,1,0,"689ca95d19ef8d959ae9e70f41b6d0a7","4d64187a5343a51197a799982a97d173","14629670f976c0320bd2085956d073e1",2
"15681","c005dbf89ef3fb55d6f0f0461ada5560",117,1,1,686118,115,58,2,"3a30c29e8a04b4f1335ee8874c526a6c","13742c470562ea186133c3a06e43d172","e6d3fc584789b9b914791ec969a8d5a4",2
"15696","c005dbf89ef3fb55d6f0f0461ada5560",133,2,2,688758,6580,3,2,"3a30c29e8a04b4f1335ee8874c526a6c","13742c470562ea186133c3a06e43d172","6bcf6c1f8c373d25fca1579bc4464a91",2
