"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"482","03a31e84b194d6c8a2eab5d70ba67acf",6,1,1,619323,6640,7,2,"6f5316b35198f3198c828d9882a79846","1376b4800e5b2d50ce35a57827eadcfc","71cd93e320cd2da78733d23dae3274a0",3
"11110","9dce47bc3cbabd451a9bab758ca5467f",12,4,1,583378,6350,0,0,"e1f2c56e5df4f2e975a969f329a7068c","1376b4800e5b2d50ce35a57827eadcfc","6bcf6c1f8c373d25fca1579bc4464a91",3
"16064","c18a10de1375b1f12aa17ef6cc540102",39,4,1,679957,5000,0,0,"6f5316b35198f3198c828d9882a79846","1376b4800e5b2d50ce35a57827eadcfc","6bcf6c1f8c373d25fca1579bc4464a91",3
"16066","c18a10de1375b1f12aa17ef6cc540102",42,2,1,679958,5000,97,2,"6f5316b35198f3198c828d9882a79846","1376b4800e5b2d50ce35a57827eadcfc","6bcf6c1f8c373d25fca1579bc4464a91",3
"16068","c18a10de1375b1f12aa17ef6cc540102",31,4,1,680035,4910,0,0,"689ca95d19ef8d959ae9e70f41b6d0a7","1376b4800e5b2d50ce35a57827eadcfc","6bcf6c1f8c373d25fca1579bc4464a91",2
"2862","13ced855d491384876c6ab807bd1d3db",34,1,1,332901,4880,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","d8e4f0fd2e836518e681c99a3f9e4411","1532445b96ca1edd411bfae064b189bb",3
"10671","9db75b921076b5848cba7ca36436147c",36,4,1,675733,4710,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","1376b4800e5b2d50ce35a57827eadcfc","6bcf6c1f8c373d25fca1579bc4464a91",2
"506","03a31e84b194d6c8a2eab5d70ba67acf",31,5,1,621762,4560,2,1,"6f5316b35198f3198c828d9882a79846","1376b4800e5b2d50ce35a57827eadcfc","5fe2b12999c5b4a17dba17cb76b0cfbc",3
"10678","9db75b921076b5848cba7ca36436147c",43,4,1,676205,4220,0,0,"3a30c29e8a04b4f1335ee8874c526a6c","1376b4800e5b2d50ce35a57827eadcfc","6bcf6c1f8c373d25fca1579bc4464a91",2
"16085","c18a10de1375b1f12aa17ef6cc540102",54,4,1,682072,4130,0,0,"689ca95d19ef8d959ae9e70f41b6d0a7","1376b4800e5b2d50ce35a57827eadcfc","6bcf6c1f8c373d25fca1579bc4464a91",2
