"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"5268","2faabfa663f4dfb9ed83a1482088e092",63,4,1,481591,3270,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",3
"5273","2faabfa663f4dfb9ed83a1482088e092",68,6,1,481842,3030,1,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","522a32a0442e32bce9aba28ac7ba327b",3
"5276","2faabfa663f4dfb9ed83a1482088e092",71,4,1,482172,2960,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",3
"5285","2faabfa663f4dfb9ed83a1482088e092",82,2,1,484381,2220,5,2,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",2
"2906","13ced855d491384876c6ab807bd1d3db",85,8,1,340464,1550,0,0,"af9d335fe8dec87c939d27a9de259b45","646b0273682c1592a938bbfb21332ded","15dbf00f25f3f2d86cde4775018d44b5",2
"5299","2faabfa663f4dfb9ed83a1482088e092",98,4,1,485836,1510,0,0,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",2
"5311","2faabfa663f4dfb9ed83a1482088e092",110,6,1,486797,850,1,1,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","d3e3ae70ac393f24335f922cdeec1b1a",3
"5324","2faabfa663f4dfb9ed83a1482088e092",125,10,1,488025,482,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","4d64187a5343a51197a799982a97d173",3
"5339","2faabfa663f4dfb9ed83a1482088e092",144,4,2,491325,6930,0,0,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",2
"5343","2faabfa663f4dfb9ed83a1482088e092",148,2,2,492059,6490,1,2,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",2
"5346","2faabfa663f4dfb9ed83a1482088e092",151,4,2,492151,6410,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",3
"5353","2faabfa663f4dfb9ed83a1482088e092",160,4,2,492797,6190,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",3
"5357","2faabfa663f4dfb9ed83a1482088e092",164,4,2,493167,5810,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",3
"5365","2faabfa663f4dfb9ed83a1482088e092",173,1,2,494022,5310,1,2,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","4b095e823bb1b4857a50d41a511930d4",2
"5371","2faabfa663f4dfb9ed83a1482088e092",179,2,2,494580,4750,1,2,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",2
"5420","2faabfa663f4dfb9ed83a1482088e092",234,2,2,502117,1960,1,2,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",2
"5426","2faabfa663f4dfb9ed83a1482088e092",241,8,2,503565,1630,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","c493d9929037f011bcb3ff8a2e468c6a",3
"5548","2faabfa663f4dfb9ed83a1482088e092",394,4,3,529186,2330,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",3
"5549","2faabfa663f4dfb9ed83a1482088e092",395,1,3,529362,2160,1,2,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",2
"5571","2faabfa663f4dfb9ed83a1482088e092",425,6,3,533234,1020,1,1,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","d3e3ae70ac393f24335f922cdeec1b1a",3
"5574","2faabfa663f4dfb9ed83a1482088e092",430,4,3,533545,1000,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",3
"5603","2faabfa663f4dfb9ed83a1482088e092",462,4,4,537828,6510,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",3
"5611","2faabfa663f4dfb9ed83a1482088e092",472,6,4,538673,6240,4,0,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","1e0949f9de690dc085cd487fba834d4e",2
"5612","2faabfa663f4dfb9ed83a1482088e092",473,5,4,538674,6240,5,0,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",2
"5621","2faabfa663f4dfb9ed83a1482088e092",484,2,4,539732,5680,3,2,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",2
"5642","2faabfa663f4dfb9ed83a1482088e092",512,1,4,543636,4670,5,2,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","7021635e4c42453f92b82fe89cfffa35",2
"5646","2faabfa663f4dfb9ed83a1482088e092",516,4,4,543938,4360,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",3
"5653","2faabfa663f4dfb9ed83a1482088e092",526,4,4,545842,3890,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",3
"5654","2faabfa663f4dfb9ed83a1482088e092",527,2,4,546005,3730,5,2,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",2
"5660","2faabfa663f4dfb9ed83a1482088e092",533,4,4,546560,3520,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",3
"5666","2faabfa663f4dfb9ed83a1482088e092",540,8,4,547065,3290,0,0,"0a6fc39f34702cff144525dfd265f8fa","14629670f976c0320bd2085956d073e1","b07ed3ce0e4991320064795011f02d4d",3
"16462","c18a10de1375b1f12aa17ef6cc540102",521,4,4,753455,2390,0,0,"6f5316b35198f3198c828d9882a79846","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",3
"16464","c18a10de1375b1f12aa17ef6cc540102",523,3,4,753691,2310,11,2,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",2
"16466","c18a10de1375b1f12aa17ef6cc540102",525,3,4,753816,2310,12,1,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",2
"16468","c18a10de1375b1f12aa17ef6cc540102",528,4,4,754047,2140,0,0,"6f5316b35198f3198c828d9882a79846","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",3
"16469","c18a10de1375b1f12aa17ef6cc540102",529,5,4,754080,2110,1,1,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","00d19f69501c09d98507b48ceff105e6",2
"16475","c18a10de1375b1f12aa17ef6cc540102",535,4,4,754377,1820,0,0,"689ca95d19ef8d959ae9e70f41b6d0a7","14629670f976c0320bd2085956d073e1","6bcf6c1f8c373d25fca1579bc4464a91",2
