"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"2843","13ced855d491384876c6ab807bd1d3db",13,2,1,330663,6540,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",3
"2848","13ced855d491384876c6ab807bd1d3db",20,2,1,331211,6310,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",3
"2861","13ced855d491384876c6ab807bd1d3db",33,4,1,332780,5000,0,0,"af9d335fe8dec87c939d27a9de259b45","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",2
"2873","13ced855d491384876c6ab807bd1d3db",44,4,1,334032,3880,0,0,"af9d335fe8dec87c939d27a9de259b45","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",2
"2881","13ced855d491384876c6ab807bd1d3db",58,8,1,335777,3590,0,0,"af9d335fe8dec87c939d27a9de259b45","1532445b96ca1edd411bfae064b189bb","762b12c3cb57fad4b882040b3293fa31",2
"20251","e26fa57f2c5e83edc21e3f97b55cbecd",96,2,1,595301,1570,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",2
"9790","896bcac9b0f35b250c9fb7a6325d8599",111,8,1,614327,880,0,0,"e1f2c56e5df4f2e975a969f329a7068c","0b0922346df190dd8f900c44c1fae592","1661bd9c6b04cf1cc9aa15decef3c294",2
"8512","7fad2269ee0d11ae5069ff23ecb25913",96,8,1,685039,585,0,0,"b64dba595e29fe34a124c65f682f27fb","f666125388be8d19b945f07d44610948","1661bd9c6b04cf1cc9aa15decef3c294",2
"20265","e26fa57f2c5e83edc21e3f97b55cbecd",110,1,1,596468,506,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","e211885d70d20be63797249090882c53",2
"20275","e26fa57f2c5e83edc21e3f97b55cbecd",121,1,2,599666,7070,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","e211885d70d20be63797249090882c53",2
"2945","13ced855d491384876c6ab807bd1d3db",130,6,2,346114,6930,3,0,"af9d335fe8dec87c939d27a9de259b45","1532445b96ca1edd411bfae064b189bb","dcb6b241fcbbd838bc3437c8e1fc4ccb",2
"2948","13ced855d491384876c6ab807bd1d3db",133,2,2,346498,6640,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",3
"20282","e26fa57f2c5e83edc21e3f97b55cbecd",132,1,2,600953,6330,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","e211885d70d20be63797249090882c53",2
"2955","13ced855d491384876c6ab807bd1d3db",142,5,2,347648,6270,1,1,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","cc7946cd2fd5f9d5c15247fbdddce8f3",3
"1068","06bb1d31c63891e2580ff12e4e6505b4",129,2,2,583122,5910,1,2,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",3
"9825","896bcac9b0f35b250c9fb7a6325d8599",153,1,2,619748,5780,1,3,"b64dba595e29fe34a124c65f682f27fb","d5f8cba7dd4e0eaf23240e6eb5540d92","1661bd9c6b04cf1cc9aa15decef3c294",3
"1073","06bb1d31c63891e2580ff12e4e6505b4",134,4,2,583321,5720,0,0,"f96485cbaafa2a7883cb1a9342a4cbd3","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",2
"2969","13ced855d491384876c6ab807bd1d3db",158,1,2,349165,5300,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","762b12c3cb57fad4b882040b3293fa31",3
"2972","13ced855d491384876c6ab807bd1d3db",162,8,2,350522,5290,0,0,"af9d335fe8dec87c939d27a9de259b45","1532445b96ca1edd411bfae064b189bb","d8e4f0fd2e836518e681c99a3f9e4411",2
"20304","e26fa57f2c5e83edc21e3f97b55cbecd",155,2,2,604856,4820,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",2
"20310","e26fa57f2c5e83edc21e3f97b55cbecd",163,6,2,605783,4410,2,0,"af9d335fe8dec87c939d27a9de259b45","1532445b96ca1edd411bfae064b189bb","881f83d2dee3f18c7d1751659406144e",3
"20326","e26fa57f2c5e83edc21e3f97b55cbecd",183,8,2,608952,3520,0,0,"af9d335fe8dec87c939d27a9de259b45","1532445b96ca1edd411bfae064b189bb","394e78a51b6d2fd3c046f11f49fcab57",3
"1105","06bb1d31c63891e2580ff12e4e6505b4",169,8,2,589923,3510,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","1a8dfc8c85278dd28ed7985e40fc6018",3
"3072","13ced855d491384876c6ab807bd1d3db",281,2,3,373573,6800,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",3
"3084","13ced855d491384876c6ab807bd1d3db",297,4,3,375834,6210,0,0,"af9d335fe8dec87c939d27a9de259b45","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",2
"3091","13ced855d491384876c6ab807bd1d3db",307,1,3,377950,5530,98,2,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","1a8dfc8c85278dd28ed7985e40fc6018",3
"3102","13ced855d491384876c6ab807bd1d3db",321,8,3,379385,4410,0,0,"af9d335fe8dec87c939d27a9de259b45","1532445b96ca1edd411bfae064b189bb","1a48480fc3370082483f158f10948bba",2
"9997","896bcac9b0f35b250c9fb7a6325d8599",373,8,3,658242,1910,0,0,"e1f2c56e5df4f2e975a969f329a7068c","a1b3d414dba333bb2413b054b8460c07","1661bd9c6b04cf1cc9aa15decef3c294",2
"3165","13ced855d491384876c6ab807bd1d3db",403,1,3,388998,1050,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","3056d865481cd5919672eb92e1f8b53f",3
"20464","e26fa57f2c5e83edc21e3f97b55cbecd",348,2,3,642103,469,66,2,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",2
"1264","06bb1d31c63891e2580ff12e4e6505b4",349,2,4,623548,6820,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",3
"1269","06bb1d31c63891e2580ff12e4e6505b4",354,1,4,623970,6400,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","3056d865481cd5919672eb92e1f8b53f",3
"20487","e26fa57f2c5e83edc21e3f97b55cbecd",373,2,4,646970,6230,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",2
"1271","06bb1d31c63891e2580ff12e4e6505b4",356,4,4,624160,6220,0,0,"f96485cbaafa2a7883cb1a9342a4cbd3","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",2
"1272","06bb1d31c63891e2580ff12e4e6505b4",357,2,4,624302,6070,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",3
"1275","06bb1d31c63891e2580ff12e4e6505b4",360,4,4,624431,5950,0,0,"f96485cbaafa2a7883cb1a9342a4cbd3","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",2
"20506","e26fa57f2c5e83edc21e3f97b55cbecd",394,4,4,650492,5270,0,0,"af9d335fe8dec87c939d27a9de259b45","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",3
"20511","e26fa57f2c5e83edc21e3f97b55cbecd",400,4,4,650861,4900,0,0,"af9d335fe8dec87c939d27a9de259b45","1532445b96ca1edd411bfae064b189bb","6bcf6c1f8c373d25fca1579bc4464a91",3
"6115","3152e9c330ce200cc189ae64ebdf41fc",453,6,4,665741,4900,3,0,"b64dba595e29fe34a124c65f682f27fb","74830bfa36f9e2005b3b6beb635e80f5","1661bd9c6b04cf1cc9aa15decef3c294",3
"3225","13ced855d491384876c6ab807bd1d3db",474,1,4,398153,4640,1,3,"cc5e0f4efd0f5410547d4e73f38f7811","1532445b96ca1edd411bfae064b189bb","646b0273682c1592a938bbfb21332ded",3
"1296","06bb1d31c63891e2580ff12e4e6505b4",383,8,4,628792,4620,0,0,"f96485cbaafa2a7883cb1a9342a4cbd3","1532445b96ca1edd411bfae064b189bb","1a8dfc8c85278dd28ed7985e40fc6018",2
