"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"5223","2faabfa663f4dfb9ed83a1482088e092",10,5,1,475170,6520,1,1,"689ca95d19ef8d959ae9e70f41b6d0a7","7021635e4c42453f92b82fe89cfffa35","16f7d070421f93ae177d8adf1bc0edf2",2
"5224","2faabfa663f4dfb9ed83a1482088e092",11,1,1,475203,6490,41,2,"0a6fc39f34702cff144525dfd265f8fa","522a32a0442e32bce9aba28ac7ba327b","16f7d070421f93ae177d8adf1bc0edf2",3
"21043","e44e31fefaa028c1e9df1a71d4aff555",20,5,1,587381,5380,2,1,"f96485cbaafa2a7883cb1a9342a4cbd3","9f0ee42268a2542d7fd028fe79184286","16f7d070421f93ae177d8adf1bc0edf2",3
"2914","13ced855d491384876c6ab807bd1d3db",95,4,1,341187,1310,0,0,"cc5e0f4efd0f5410547d4e73f38f7811","15dbf00f25f3f2d86cde4775018d44b5","6bcf6c1f8c373d25fca1579bc4464a91",3
"2915","13ced855d491384876c6ab807bd1d3db",94,1,1,341189,1310,72,2,"cc5e0f4efd0f5410547d4e73f38f7811","15dbf00f25f3f2d86cde4775018d44b5","6bcf6c1f8c373d25fca1579bc4464a91",3
"11625","a109cef8327feae75c3e4885cb4c6e2d",73,8,1,574656,1040,0,0,"e2d25dd55740327314a2a0b874621ba8","039bd19014e6cfcf867f442aa412ad6a","16f7d070421f93ae177d8adf1bc0edf2",3
"5329","2faabfa663f4dfb9ed83a1482088e092",132,8,1,488711,305,0,0,"689ca95d19ef8d959ae9e70f41b6d0a7","4d64187a5343a51197a799982a97d173","16f7d070421f93ae177d8adf1bc0edf2",2
"2940","13ced855d491384876c6ab807bd1d3db",124,6,2,345664,6940,2,0,"af9d335fe8dec87c939d27a9de259b45","15dbf00f25f3f2d86cde4775018d44b5","cc7946cd2fd5f9d5c15247fbdddce8f3",2
"2947","13ced855d491384876c6ab807bd1d3db",132,4,2,346357,6780,0,0,"af9d335fe8dec87c939d27a9de259b45","15dbf00f25f3f2d86cde4775018d44b5","6bcf6c1f8c373d25fca1579bc4464a91",2
"11652","a109cef8327feae75c3e4885cb4c6e2d",109,6,2,579513,6680,2,0,"0a6fc39f34702cff144525dfd265f8fa","f6d83f1f77d73b0146900666f34e9f01","16f7d070421f93ae177d8adf1bc0edf2",2
"2950","13ced855d491384876c6ab807bd1d3db",135,6,2,346602,6570,1,0,"af9d335fe8dec87c939d27a9de259b45","15dbf00f25f3f2d86cde4775018d44b5","cc7946cd2fd5f9d5c15247fbdddce8f3",2
"2951","13ced855d491384876c6ab807bd1d3db",136,6,2,346914,6450,2,0,"af9d335fe8dec87c939d27a9de259b45","15dbf00f25f3f2d86cde4775018d44b5","cc7946cd2fd5f9d5c15247fbdddce8f3",2
"2953","13ced855d491384876c6ab807bd1d3db",139,8,2,347310,6450,0,0,"af9d335fe8dec87c939d27a9de259b45","15dbf00f25f3f2d86cde4775018d44b5","3056d865481cd5919672eb92e1f8b53f",2
"21133","e44e31fefaa028c1e9df1a71d4aff555",123,1,2,602455,6370,98,2,"0a6fc39f34702cff144525dfd265f8fa","2f04dbbabeefc1447ca06ae228d8b42c","16f7d070421f93ae177d8adf1bc0edf2",2
"18021","d9eb042455c8f36574d3a52e678a8916",120,6,2,345517,6310,2,0,"0a6fc39f34702cff144525dfd265f8fa","4a34b108d006b92660ec7593dde29e0d","16f7d070421f93ae177d8adf1bc0edf2",2
"11669","a109cef8327feae75c3e4885cb4c6e2d",127,1,2,581695,5250,73,2,"0a6fc39f34702cff144525dfd265f8fa","522a32a0442e32bce9aba28ac7ba327b","16f7d070421f93ae177d8adf1bc0edf2",2
"5386","2faabfa663f4dfb9ed83a1482088e092",196,8,2,496981,3950,0,0,"0a6fc39f34702cff144525dfd265f8fa","a555fb30be57b11cdfbffa3654ba9f83","16f7d070421f93ae177d8adf1bc0edf2",3
"5454","2faabfa663f4dfb9ed83a1482088e092",277,1,2,508152,154,1,3,"0a6fc39f34702cff144525dfd265f8fa","cdb159e491966787f661d65f4d997fe8","16f7d070421f93ae177d8adf1bc0edf2",3
