"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"21944","f385e8caae86b6cb58ed3241c1278ce3",4,6,1,618817,6870,2,0,"de15a687fa7995b12a3e4b0a1fa8db14","e5e2fb66fc3e8ee0edf076e60d343031","171fe637accecc29979e5408595de077",3
"15122","bfc4c8f688f511fb76f7fd82a3807f94",7,6,1,672689,6620,1,0,"de15a687fa7995b12a3e4b0a1fa8db14","67f4ecb2bff373b7f14f59bdf87b47c6","171fe637accecc29979e5408595de077",2
"7495","56ccfaf0adead6f4c7236a01ca0cfbdc",11,1,1,585129,6070,1,3,"de15a687fa7995b12a3e4b0a1fa8db14","1e5a19729df6e4496686d9356be411ca","171fe637accecc29979e5408595de077",3
"7503","56ccfaf0adead6f4c7236a01ca0cfbdc",21,6,1,586093,5650,1,0,"de15a687fa7995b12a3e4b0a1fa8db14","f5f1164263044fc2ee91242daa221045","171fe637accecc29979e5408595de077",3
"7512","56ccfaf0adead6f4c7236a01ca0cfbdc",30,6,1,586837,5030,1,0,"de15a687fa7995b12a3e4b0a1fa8db14","17651fd844ca9177694e0fe8e13ade03","171fe637accecc29979e5408595de077",3
"21969","f385e8caae86b6cb58ed3241c1278ce3",36,1,1,623181,4710,3,2,"de15a687fa7995b12a3e4b0a1fa8db14","e546fc654970cfc01f73c0d73250e97b","171fe637accecc29979e5408595de077",3
"15158","bfc4c8f688f511fb76f7fd82a3807f94",51,6,1,679123,3670,2,0,"de15a687fa7995b12a3e4b0a1fa8db14","67f4ecb2bff373b7f14f59bdf87b47c6","171fe637accecc29979e5408595de077",2
"15176","bfc4c8f688f511fb76f7fd82a3807f94",74,6,1,681072,2720,2,1,"de15a687fa7995b12a3e4b0a1fa8db14","c2502dbdbdc5273bac8daa884e3ff63a","171fe637accecc29979e5408595de077",2
"21994","f385e8caae86b6cb58ed3241c1278ce3",63,6,1,627062,2690,1,0,"de15a687fa7995b12a3e4b0a1fa8db14","110efe8a264188c41b74dca2c1211247","171fe637accecc29979e5408595de077",3
"9793","896bcac9b0f35b250c9fb7a6325d8599",115,1,1,614595,730,1,2,"b64dba595e29fe34a124c65f682f27fb","1661bd9c6b04cf1cc9aa15decef3c294","74c4ae2b904d732ede2f08765d27deea",3
