"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"21036","e44e31fefaa028c1e9df1a71d4aff555",13,4,1,586689,6060,0,0,"f96485cbaafa2a7883cb1a9342a4cbd3","16f7d070421f93ae177d8adf1bc0edf2","6bcf6c1f8c373d25fca1579bc4464a91",3
"20613","e3ca2e93a38f7497b6f476c86f5b2136",40,1,1,586138,5060,1,3,"5df2526720f9ac092e202de922f5a65f","2b8bdfc64f41d1adefabcf7e0667a618","17651fd844ca9177694e0fe8e13ade03",2
"21050","e44e31fefaa028c1e9df1a71d4aff555",28,2,1,588012,4830,1,3,"0a6fc39f34702cff144525dfd265f8fa","16f7d070421f93ae177d8adf1bc0edf2","6bcf6c1f8c373d25fca1579bc4464a91",2
"21058","e44e31fefaa028c1e9df1a71d4aff555",37,1,1,590467,4290,47,2,"0a6fc39f34702cff144525dfd265f8fa","16f7d070421f93ae177d8adf1bc0edf2","6bcf6c1f8c373d25fca1579bc4464a91",2
"7525","56ccfaf0adead6f4c7236a01ca0cfbdc",45,6,1,588775,4220,2,0,"5df2526720f9ac092e202de922f5a65f","171fe637accecc29979e5408595de077","17651fd844ca9177694e0fe8e13ade03",2
"5251","2faabfa663f4dfb9ed83a1482088e092",42,4,1,479943,3770,0,0,"689ca95d19ef8d959ae9e70f41b6d0a7","16f7d070421f93ae177d8adf1bc0edf2","6bcf6c1f8c373d25fca1579bc4464a91",2
"5252","2faabfa663f4dfb9ed83a1482088e092",43,5,1,480077,3640,45,0,"0a6fc39f34702cff144525dfd265f8fa","16f7d070421f93ae177d8adf1bc0edf2","6bcf6c1f8c373d25fca1579bc4464a91",3
"5274","2faabfa663f4dfb9ed83a1482088e092",69,8,1,482025,2990,0,0,"0a6fc39f34702cff144525dfd265f8fa","16f7d070421f93ae177d8adf1bc0edf2","d3e3ae70ac393f24335f922cdeec1b1a",3
"21084","e44e31fefaa028c1e9df1a71d4aff555",67,8,1,593736,2030,0,0,"f96485cbaafa2a7883cb1a9342a4cbd3","16f7d070421f93ae177d8adf1bc0edf2","d3e3ae70ac393f24335f922cdeec1b1a",3
"11637","a109cef8327feae75c3e4885cb4c6e2d",90,5,1,576489,119,1,1,"0a6fc39f34702cff144525dfd265f8fa","16f7d070421f93ae177d8adf1bc0edf2","27dad82447628aaa7e5a3ade0259bda7",2
"11644","a109cef8327feae75c3e4885cb4c6e2d",101,4,2,578863,7040,0,0,"e2d25dd55740327314a2a0b874621ba8","16f7d070421f93ae177d8adf1bc0edf2","6bcf6c1f8c373d25fca1579bc4464a91",3
"18015","d9eb042455c8f36574d3a52e678a8916",114,4,2,344707,6920,0,0,"bcdf0d0117f2e3d5afcd70f977eae3d6","16f7d070421f93ae177d8adf1bc0edf2","6bcf6c1f8c373d25fca1579bc4464a91",3
"21125","e44e31fefaa028c1e9df1a71d4aff555",113,4,2,601459,6840,0,0,"f96485cbaafa2a7883cb1a9342a4cbd3","16f7d070421f93ae177d8adf1bc0edf2","6bcf6c1f8c373d25fca1579bc4464a91",3
"11647","a109cef8327feae75c3e4885cb4c6e2d",104,2,2,579359,6800,1,3,"0a6fc39f34702cff144525dfd265f8fa","16f7d070421f93ae177d8adf1bc0edf2","6bcf6c1f8c373d25fca1579bc4464a91",2
"11651","a109cef8327feae75c3e4885cb4c6e2d",108,1,2,579512,6680,42,2,"0a6fc39f34702cff144525dfd265f8fa","16f7d070421f93ae177d8adf1bc0edf2","522a32a0442e32bce9aba28ac7ba327b",2
"11653","a109cef8327feae75c3e4885cb4c6e2d",110,3,2,579712,6680,10,1,"0a6fc39f34702cff144525dfd265f8fa","16f7d070421f93ae177d8adf1bc0edf2","6bcf6c1f8c373d25fca1579bc4464a91",2
"11655","a109cef8327feae75c3e4885cb4c6e2d",113,1,2,580102,6390,42,2,"0a6fc39f34702cff144525dfd265f8fa","16f7d070421f93ae177d8adf1bc0edf2","522a32a0442e32bce9aba28ac7ba327b",2
"18020","d9eb042455c8f36574d3a52e678a8916",119,1,2,345516,6310,101,2,"0a6fc39f34702cff144525dfd265f8fa","16f7d070421f93ae177d8adf1bc0edf2","6bcf6c1f8c373d25fca1579bc4464a91",2
"18022","d9eb042455c8f36574d3a52e678a8916",121,3,2,345721,6310,10,2,"0a6fc39f34702cff144525dfd265f8fa","16f7d070421f93ae177d8adf1bc0edf2","6bcf6c1f8c373d25fca1579bc4464a91",2
