,Player,Twitter
0,Kareem Abdul-Jabbar,kaj33
1,Quincy Acy,QuincyAcy
2,Jaylen Adams,10jadams
3,Jordan Adams,jordanadams1231
4,Steven Adams,RealStevenAdams
5,Bam Adebayo,Bam1of1
6,Jeff Adrien,Adrien4
7,Maurice Ager,moeager
8,Furkan Aldemir,furkanaldemir19
9,Cole Aldrich,colea45
10,LaMarcus Aldridge,aldridge_12
11,Grayson Allen,GraysonJAllen
12,Jarrett Allen,JarrettAllen55
13,Malik Allen,THEleekAllen30
14,Ray Allen,greenRAYn20
15,Tony Allen,aa000G9
16,Morris Almond,FreeMoAlmond
17,John Amaechi,JohnAmaechi
18,Al-Farouq Aminu,farouq1
19,Lou Amundson,LouAmundson17
20,Alan Anderson,ASqared06
21,Justin Anderson,JusAnderson1
22,Kenny Anderson,chibbs_1
23,Kyle Anderson,KyleAnderson5
24,Ike Anigbogu,IkePostrs_
25,Giannis Antetokounmpo,Giannis_An34
26,Kostas Antetokounmpo,Kostas_ante13
27,Carmelo Anthony,carmeloanthony
28,Greg Anthony,GregAnthony50
29,OG Anunoby,OAnunoby
30,Robert Archibald,RobertArchibald
31,Gilbert Arenas,agentzeroshow
32,Trevor Ariza,TrevorAriza
33,Jamel Artis,melartis1
34,Omer Asik,AsikOmer
35,Gustavo Ayon,Gustavo_Ayon15
36,Deandre Ayton,DeandreAyton
37,Kelenna Azubuike,KAzubuike7
38,Dwayne Bacon,BaconDwayne1000
39,Marvin Bagley,MB3FIVE
40,Ron Baker,RonBaker31
41,Wade Baldwin,The_Fourth_Wade
42,Renaldo Balkman,R_Balkman32
43,Lonzo Ball,ZO2_
44,Leandro Barbosa,TheBlurBarbosa
45,J.J. Barea,jjbareapr
46,Andrea Bargnani,AndreaBargnani
47,Harrison Barnes,HBarnes
48,Matt Barnes,Matt_Barnes22
49,Earl Barron,earldee
50,Brent Barry,Barryathree
51,Will Barton,WillTheThrillB5
52,Shane Battier,ShaneBattier
53,Nicolas Batum,nicolas88batum
54,Jerryd Bayless,jerrydbayless
55,Kent Bazemore,24Bazemore
56,Bradley Beal,RealDealBeal23
57,Malik Beasley,Mbeasy5
58,Michael Beasley,easyst0
59,Beau Beech,beaubeech02
60,Marco Belinelli,marcobelinelli
61,Charlie Bell,flintstone14
62,Jordan Bell,1jordanbell
63,Troy Bell,TroyBellS2P
64,Dragan Bender,DBender03
65,Jonathan Bender,jonathanbender9
66,Anthony Bennett,AnthonyBennett
67,Keith Benson,RealKITO
68,Davis Bertans,DBertans_42
69,Patrick Beverley,patbev21
70,Chauncey Billups,1MrBigShot
71,James Blackmon,jblackmon2
72,DeJuan Blair,DeJuan45
73,Steve Blake,SteveBlake5
74,Antonio Blakeney,blakeney96
75,Andray Blatche,drayblatche
76,Eric Bledsoe,EBled2
77,Jaron Blossomgame,JaronBgame
78,Vander Blue,veezy_SQ
79,Bogdan Bogdanovic,LeaderOfHorde
80,Muggsy Bogues,MuggsyBogues
81,Andrew Bogut,andrewbogut
82,Jonah Bolden,Jonahbolden43
83,Matt Bonner,MattBonner_SAS
84,Devin Booker,DevinBook
85,Trevor Booker,35_Fitz
86,Carlos Boozer,MisterCbooz
87,Chris Bosh,chrisbosh
88,Chris Boucher,chrisboucher
89,Bruce Bowen,Bowen12
90,Ryan Bowen,rybo40
91,Craig Brackins,Cbrackins_33
92,Tony Bradley,ToBrad1
93,Taylor Braun,taylorbraun2324
94,Corey Brewer,TheCoreyBrewer
95,Ronnie Brewer,RonnieBrewerJr
96,Primoz Brezec,Primozbrezec
97,Miles Bridges,MilesBridges
98,Amida Brimah,amidabrimah
99,Isaiah Briscoe,ZayBriscoe
100,Jon Brockman,MrJonBrockman
101,Aaron Brooks,Thirty2zero
102,Dillon Brooks,dbrookz8
103,MarShon Brooks,Marshon2
104,Alec Brown,AlecBrown21
105,Anthony Brown,TwoShotOne
106,Bobby Brown,BBROWNLAU
107,Bruce Brown,BruceBrown11
108,Dee Brown,deebrown11
109,Derrick Brown,D_Brown4
110,Jabari Brown,Bari_BrownIDF
111,Jaylen Brown,FCHWPO
112,Markel Brown,iMarkelBrown22
113,Troy Brown,Troy_Brown33
114,Jalen Brunson,jalenbrunson1
115,Kobe Bryant,kobebryant
116,Thomas Bryant,nolimittb31
117,Chase Budinger,CBudinger
118,Reggie Bullock,ReggieBullock35
119,Trey Burke,TreyBurke
120,Alec Burks,AlecBurks10
121,Antonio Burks,antonioburks
122,Caron Butler,realtuffjuice
123,Jimmy Butler,JimmyButler
124,Rasual Butler,RasualButler45
125,Dwight Buycks,BuycksWorld13
126,Bruno Caboclo,Bruno_Caboclo
127,Michael Cage,Exhoopsmc
128,Nick Calathes,Nick_Calathes15
129,Kentavious Caldwell-Pope,CaldwellPope
130,Marcus Camby,MarcusCamby23
131,Isaiah Canaan,SiP03
132,Clint Capela,CapelaClint
133,Derrick Caracter,RebuildCaracter
134,Brian Cardinal,BrianCardinal
135,Antoine Carr,AntoineCarr55
136,DeMarre Carroll,DeMarreCarroll1
137,Vince Carter,mrvincecarter15
138,Wendell Carter,wendellcarter34
139,Michael Carter-Williams,MCW1
140,Omri Casspi,Casspi18
141,Willie Cauley-Stein,THEwillieCS15
142,Troy Caupain,caupain10
143,Tyler Cavanaugh,tycav34
144,Cedric Ceballos,cedceballos
145,Mario Chalmers,mchalmers15
146,Tyson Chandler,tysonchandler
147,Wilson Chandler,wilsonchandler
148,Josh Childress,JChillin
149,Marquese Chriss,quese
150,Dionte Christmas,Dchristmas22
151,Rakeem Christmas,R_Xmas25
152,Semaj Christon,SemajChriston
153,Ian Clark,IanClark
154,Jordan Clarkson,JordanClarksons
155,Gian Clavell,clavelito04
156,Victor Claver,Victor_Claver
157,Speedy Claxton,speeddeamon
