"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"8829","87d1574f478f37d13789284b96b4f6cb",0,12,1,564459,7200,0,0,"1473d70e5646a26de3c52aa1abd85b1f","6bcf6c1f8c373d25fca1579bc4464a91","6bcf6c1f8c373d25fca1579bc4464a91",0
"8830","87d1574f478f37d13789284b96b4f6cb",1,10,1,564461,7200,0,0,"87010ad9e5c5e0b7628d3611b3693652","314c71574689f752c17b83cd6a4d770e","2f47647508381809be04b091b6ca7784",3
"8831","87d1574f478f37d13789284b96b4f6cb",2,1,1,564669,6990,57,2,"87010ad9e5c5e0b7628d3611b3693652","2f47647508381809be04b091b6ca7784","6bcf6c1f8c373d25fca1579bc4464a91",3
"8832","87d1574f478f37d13789284b96b4f6cb",3,5,1,564793,6880,1,1,"012059d397c0b7e5a30a5bb89c0b075e","f1b33b117f9ae58f140d9581c329452a","5e6c9c4441186264607c60fcc533574c",2
"8833","87d1574f478f37d13789284b96b4f6cb",4,1,1,564808,6850,41,2,"87010ad9e5c5e0b7628d3611b3693652","5e6c9c4441186264607c60fcc533574c","317a4d61e1dd679f93b3628f3e35e0d0",3
"8834","87d1574f478f37d13789284b96b4f6cb",5,2,1,564949,6720,1,3,"012059d397c0b7e5a30a5bb89c0b075e","cec898a1d355dbfbad8c760615fde1af","6bcf6c1f8c373d25fca1579bc4464a91",2
"8835","87d1574f478f37d13789284b96b4f6cb",6,4,1,564963,6700,0,0,"012059d397c0b7e5a30a5bb89c0b075e","9b85cb9662c0d65b722d77aea12f3f13","6bcf6c1f8c373d25fca1579bc4464a91",2
"8836","87d1574f478f37d13789284b96b4f6cb",8,6,1,565096,6620,4,0,"87010ad9e5c5e0b7628d3611b3693652","2f47647508381809be04b091b6ca7784","314c71574689f752c17b83cd6a4d770e",3
"8837","87d1574f478f37d13789284b96b4f6cb",9,5,1,565097,6620,5,0,"87010ad9e5c5e0b7628d3611b3693652","2f47647508381809be04b091b6ca7784","6bcf6c1f8c373d25fca1579bc4464a91",3
"8838","87d1574f478f37d13789284b96b4f6cb",10,2,1,565458,6420,1,3,"012059d397c0b7e5a30a5bb89c0b075e","cec898a1d355dbfbad8c760615fde1af","6bcf6c1f8c373d25fca1579bc4464a91",2
"8839","87d1574f478f37d13789284b96b4f6cb",11,4,1,565468,6400,0,0,"012059d397c0b7e5a30a5bb89c0b075e","317a4d61e1dd679f93b3628f3e35e0d0","6bcf6c1f8c373d25fca1579bc4464a91",2
"8840","87d1574f478f37d13789284b96b4f6cb",12,1,1,565523,6350,46,2,"87010ad9e5c5e0b7628d3611b3693652","978f65d65974dcaaea595daaa1b35a2a","317a4d61e1dd679f93b3628f3e35e0d0",3
"8841","87d1574f478f37d13789284b96b4f6cb",13,2,1,565756,6120,80,2,"012059d397c0b7e5a30a5bb89c0b075e","881f83d2dee3f18c7d1751659406144e","6bcf6c1f8c373d25fca1579bc4464a91",2
"8842","87d1574f478f37d13789284b96b4f6cb",14,4,1,565780,6090,0,0,"012059d397c0b7e5a30a5bb89c0b075e","317a4d61e1dd679f93b3628f3e35e0d0","6bcf6c1f8c373d25fca1579bc4464a91",2
"8843","87d1574f478f37d13789284b96b4f6cb",15,5,1,565891,6010,39,0,"87010ad9e5c5e0b7628d3611b3693652","9b85cb9662c0d65b722d77aea12f3f13","6bcf6c1f8c373d25fca1579bc4464a91",3
"8844","87d1574f478f37d13789284b96b4f6cb",17,2,1,566184,5880,1,2,"012059d397c0b7e5a30a5bb89c0b075e","f1b33b117f9ae58f140d9581c329452a","6bcf6c1f8c373d25fca1579bc4464a91",2
"8845","87d1574f478f37d13789284b96b4f6cb",18,4,1,566203,5860,0,0,"012059d397c0b7e5a30a5bb89c0b075e","5e6c9c4441186264607c60fcc533574c","6bcf6c1f8c373d25fca1579bc4464a91",2
"8846","87d1574f478f37d13789284b96b4f6cb",19,1,1,566284,5780,80,2,"87010ad9e5c5e0b7628d3611b3693652","5e6c9c4441186264607c60fcc533574c","6bcf6c1f8c373d25fca1579bc4464a91",3
"8847","87d1574f478f37d13789284b96b4f6cb",20,9,1,566331,5770,1,0,"012059d397c0b7e5a30a5bb89c0b075e","3dcc053c4f1b3eb796205b47647cc12d","6bcf6c1f8c373d25fca1579bc4464a91",2
"8848","87d1574f478f37d13789284b96b4f6cb",21,1,1,567960,5600,42,2,"012059d397c0b7e5a30a5bb89c0b075e","314c71574689f752c17b83cd6a4d770e","6bcf6c1f8c373d25fca1579bc4464a91",2
"8849","87d1574f478f37d13789284b96b4f6cb",22,5,1,568137,5440,1,1,"87010ad9e5c5e0b7628d3611b3693652","9b85cb9662c0d65b722d77aea12f3f13","cec898a1d355dbfbad8c760615fde1af",3
"8850","87d1574f478f37d13789284b96b4f6cb",23,2,1,568335,5230,1,2,"012059d397c0b7e5a30a5bb89c0b075e","6bf40f9c2b640febc71d1393fb24d894","6bcf6c1f8c373d25fca1579bc4464a91",2
"8851","87d1574f478f37d13789284b96b4f6cb",24,4,1,568354,5210,0,0,"012059d397c0b7e5a30a5bb89c0b075e","978f65d65974dcaaea595daaa1b35a2a","6bcf6c1f8c373d25fca1579bc4464a91",2
"8852","87d1574f478f37d13789284b96b4f6cb",25,6,1,568466,5170,2,0,"87010ad9e5c5e0b7628d3611b3693652","314c71574689f752c17b83cd6a4d770e","978f65d65974dcaaea595daaa1b35a2a",3
"8853","87d1574f478f37d13789284b96b4f6cb",26,3,1,568580,5170,11,1,"87010ad9e5c5e0b7628d3611b3693652","978f65d65974dcaaea595daaa1b35a2a","6bcf6c1f8c373d25fca1579bc4464a91",3
"8854","87d1574f478f37d13789284b96b4f6cb",28,3,1,568648,5170,12,2,"87010ad9e5c5e0b7628d3611b3693652","978f65d65974dcaaea595daaa1b35a2a","6bcf6c1f8c373d25fca1579bc4464a91",3
"8855","87d1574f478f37d13789284b96b4f6cb",30,4,1,568776,5160,0,0,"87010ad9e5c5e0b7628d3611b3693652","6bf40f9c2b640febc71d1393fb24d894","6bcf6c1f8c373d25fca1579bc4464a91",3
"8856","87d1574f478f37d13789284b96b4f6cb",31,2,1,568937,5000,1,2,"012059d397c0b7e5a30a5bb89c0b075e","314c71574689f752c17b83cd6a4d770e","6bcf6c1f8c373d25fca1579bc4464a91",2
"8857","87d1574f478f37d13789284b96b4f6cb",32,4,1,568944,4990,0,0,"012059d397c0b7e5a30a5bb89c0b075e","317a4d61e1dd679f93b3628f3e35e0d0","6bcf6c1f8c373d25fca1579bc4464a91",2
"8858","87d1574f478f37d13789284b96b4f6cb",33,2,1,569057,4890,5,2,"87010ad9e5c5e0b7628d3611b3693652","5e6c9c4441186264607c60fcc533574c","6bcf6c1f8c373d25fca1579bc4464a91",3
"8859","87d1574f478f37d13789284b96b4f6cb",34,4,1,569076,4890,0,0,"87010ad9e5c5e0b7628d3611b3693652","86dfc14da6fa3f24700d36d0435947e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"8860","87d1574f478f37d13789284b96b4f6cb",35,2,1,569249,4850,47,2,"87010ad9e5c5e0b7628d3611b3693652","978f65d65974dcaaea595daaa1b35a2a","6bcf6c1f8c373d25fca1579bc4464a91",3
"8861","87d1574f478f37d13789284b96b4f6cb",36,4,1,569259,4840,0,0,"87010ad9e5c5e0b7628d3611b3693652","314c71574689f752c17b83cd6a4d770e","6bcf6c1f8c373d25fca1579bc4464a91",3
