"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"11098","9dce47bc3cbabd451a9bab758ca5467f",0,12,1,582529,7200,0,0,"1473d70e5646a26de3c52aa1abd85b1f","6bcf6c1f8c373d25fca1579bc4464a91","6bcf6c1f8c373d25fca1579bc4464a91",0
"11099","9dce47bc3cbabd451a9bab758ca5467f",1,10,1,582530,7200,0,0,"e1f2c56e5df4f2e975a969f329a7068c","8bea2707e7bf04c8a3d8188b87d92c0e","d6bc5eb6ed54c734628cb4d237f99031",3
"11100","9dce47bc3cbabd451a9bab758ca5467f",2,1,1,582638,7090,1,2,"e1f2c56e5df4f2e975a969f329a7068c","d6bc5eb6ed54c734628cb4d237f99031","4dda057700cc34ac57fede94ff8c0652",3
"11101","9dce47bc3cbabd451a9bab758ca5467f",3,2,1,582885,6840,1,2,"6f5316b35198f3198c828d9882a79846","71cd93e320cd2da78733d23dae3274a0","6bcf6c1f8c373d25fca1579bc4464a91",2
"11102","9dce47bc3cbabd451a9bab758ca5467f",5,4,1,582908,6820,0,0,"6f5316b35198f3198c828d9882a79846","71cd93e320cd2da78733d23dae3274a0","6bcf6c1f8c373d25fca1579bc4464a91",2
"11103","9dce47bc3cbabd451a9bab758ca5467f",4,2,1,582910,6820,72,2,"6f5316b35198f3198c828d9882a79846","71cd93e320cd2da78733d23dae3274a0","6bcf6c1f8c373d25fca1579bc4464a91",2
"11104","9dce47bc3cbabd451a9bab758ca5467f",6,4,1,582935,6800,0,0,"6f5316b35198f3198c828d9882a79846","4341f809d409ac17565852620cf80cbd","6bcf6c1f8c373d25fca1579bc4464a91",2
"11105","9dce47bc3cbabd451a9bab758ca5467f",7,2,1,583000,6730,1,2,"e1f2c56e5df4f2e975a969f329a7068c","d6bc5eb6ed54c734628cb4d237f99031","6bcf6c1f8c373d25fca1579bc4464a91",3
"11106","9dce47bc3cbabd451a9bab758ca5467f",8,4,1,583019,6720,0,0,"e1f2c56e5df4f2e975a969f329a7068c","6b08fc64c8d282c36e800d28eb278027","6bcf6c1f8c373d25fca1579bc4464a91",3
"11107","9dce47bc3cbabd451a9bab758ca5467f",9,2,1,583097,6630,1,2,"6f5316b35198f3198c828d9882a79846","8bea2707e7bf04c8a3d8188b87d92c0e","6bcf6c1f8c373d25fca1579bc4464a91",2
"11108","9dce47bc3cbabd451a9bab758ca5467f",10,4,1,583118,6620,0,0,"6f5316b35198f3198c828d9882a79846","d6bc5eb6ed54c734628cb4d237f99031","6bcf6c1f8c373d25fca1579bc4464a91",2
"11109","9dce47bc3cbabd451a9bab758ca5467f",11,2,1,583355,6370,66,3,"e1f2c56e5df4f2e975a969f329a7068c","e96dc78c444bead3a3e7d169f2fa6e07","6bcf6c1f8c373d25fca1579bc4464a91",3
"11110","9dce47bc3cbabd451a9bab758ca5467f",12,4,1,583378,6350,0,0,"e1f2c56e5df4f2e975a969f329a7068c","1376b4800e5b2d50ce35a57827eadcfc","6bcf6c1f8c373d25fca1579bc4464a91",3
"11111","9dce47bc3cbabd451a9bab758ca5467f",13,2,1,583464,6260,1,2,"6f5316b35198f3198c828d9882a79846","8bea2707e7bf04c8a3d8188b87d92c0e","6bcf6c1f8c373d25fca1579bc4464a91",2
"11112","9dce47bc3cbabd451a9bab758ca5467f",14,4,1,583495,6260,0,0,"6f5316b35198f3198c828d9882a79846","7220ab83d458c7ee4653885c9bf7e4cf","6bcf6c1f8c373d25fca1579bc4464a91",2
"11113","9dce47bc3cbabd451a9bab758ca5467f",15,6,1,583667,6240,1,0,"6f5316b35198f3198c828d9882a79846","cbc1063c3b1731493f5de7dcd822a193","1376b4800e5b2d50ce35a57827eadcfc",2
"11114","9dce47bc3cbabd451a9bab758ca5467f",16,1,1,584081,6180,1,3,"6f5316b35198f3198c828d9882a79846","e2d5a38e5f826708c89f2f728eade916","8bea2707e7bf04c8a3d8188b87d92c0e",2
"11115","9dce47bc3cbabd451a9bab758ca5467f",17,2,1,584248,6010,79,3,"e1f2c56e5df4f2e975a969f329a7068c","4341f809d409ac17565852620cf80cbd","6bcf6c1f8c373d25fca1579bc4464a91",3
"11116","9dce47bc3cbabd451a9bab758ca5467f",18,4,1,584281,6010,0,0,"e1f2c56e5df4f2e975a969f329a7068c","7220ab83d458c7ee4653885c9bf7e4cf","6bcf6c1f8c373d25fca1579bc4464a91",3
"11117","9dce47bc3cbabd451a9bab758ca5467f",19,1,1,584447,5870,80,3,"6f5316b35198f3198c828d9882a79846","6b08fc64c8d282c36e800d28eb278027","6bcf6c1f8c373d25fca1579bc4464a91",2
"11118","9dce47bc3cbabd451a9bab758ca5467f",20,2,1,584606,5710,1,3,"e1f2c56e5df4f2e975a969f329a7068c","e96dc78c444bead3a3e7d169f2fa6e07","6bcf6c1f8c373d25fca1579bc4464a91",3
"11119","9dce47bc3cbabd451a9bab758ca5467f",21,4,1,584625,5710,0,0,"e1f2c56e5df4f2e975a969f329a7068c","8bea2707e7bf04c8a3d8188b87d92c0e","6bcf6c1f8c373d25fca1579bc4464a91",3
"11120","9dce47bc3cbabd451a9bab758ca5467f",22,2,1,584756,5560,1,3,"6f5316b35198f3198c828d9882a79846","6b08fc64c8d282c36e800d28eb278027","6bcf6c1f8c373d25fca1579bc4464a91",2
"11121","9dce47bc3cbabd451a9bab758ca5467f",23,4,1,584778,5560,0,0,"6f5316b35198f3198c828d9882a79846","e96dc78c444bead3a3e7d169f2fa6e07","6bcf6c1f8c373d25fca1579bc4464a91",2
"11122","9dce47bc3cbabd451a9bab758ca5467f",25,5,1,585108,5360,1,1,"e1f2c56e5df4f2e975a969f329a7068c","4dda057700cc34ac57fede94ff8c0652","e2d5a38e5f826708c89f2f728eade916",3
"11123","9dce47bc3cbabd451a9bab758ca5467f",26,2,1,585194,5260,86,2,"6f5316b35198f3198c828d9882a79846","8bea2707e7bf04c8a3d8188b87d92c0e","6bcf6c1f8c373d25fca1579bc4464a91",2
"11124","9dce47bc3cbabd451a9bab758ca5467f",27,4,1,585272,5230,0,0,"6f5316b35198f3198c828d9882a79846","cbc1063c3b1731493f5de7dcd822a193","6bcf6c1f8c373d25fca1579bc4464a91",2
