"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"11961","a32200385b4594cb11f8a19e92c96835",0,12,1,583500,7200,0,0,"1473d70e5646a26de3c52aa1abd85b1f","6bcf6c1f8c373d25fca1579bc4464a91","6bcf6c1f8c373d25fca1579bc4464a91",0
"11962","a32200385b4594cb11f8a19e92c96835",1,10,1,583501,7200,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","bd24c26a700dff3c6b0812c487f621af","008c7fb331f92d216799d21a9104231a",3
"11963","a32200385b4594cb11f8a19e92c96835",2,1,1,583661,7040,58,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","008c7fb331f92d216799d21a9104231a","6bcf6c1f8c373d25fca1579bc4464a91",3
"11964","a32200385b4594cb11f8a19e92c96835",3,5,1,583833,6890,2,1,"dc0f916810cb46c22beec67a860e00b4","5f6c28ea1939903f51fbff12de4aa7c2","068cc724c0bdf4a9fc56d2eb2d88fb0f",2
"11965","a32200385b4594cb11f8a19e92c96835",4,1,1,583898,6800,42,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","479986fc12b02040302f3d2b2a903e53","6bcf6c1f8c373d25fca1579bc4464a91",3
"11966","a32200385b4594cb11f8a19e92c96835",5,1,1,584138,6560,52,2,"dc0f916810cb46c22beec67a860e00b4","bd24c26a700dff3c6b0812c487f621af","5f6c28ea1939903f51fbff12de4aa7c2",2
"11967","a32200385b4594cb11f8a19e92c96835",6,2,1,584272,6430,1,3,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0a4bdcb73ac21ffeb164386d44212f45","6bcf6c1f8c373d25fca1579bc4464a91",3
"11968","a32200385b4594cb11f8a19e92c96835",7,4,1,584285,6420,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","bd24c26a700dff3c6b0812c487f621af","6bcf6c1f8c373d25fca1579bc4464a91",3
"11969","a32200385b4594cb11f8a19e92c96835",8,2,1,584464,6230,1,3,"dc0f916810cb46c22beec67a860e00b4","7456d0c6cf404d5d6321c7332391f09a","6bcf6c1f8c373d25fca1579bc4464a91",2
"11970","a32200385b4594cb11f8a19e92c96835",9,4,1,584481,6220,0,0,"dc0f916810cb46c22beec67a860e00b4","315f46f7a5e1de7ef9b4c2430ce64e2d","6bcf6c1f8c373d25fca1579bc4464a91",2
"11971","a32200385b4594cb11f8a19e92c96835",10,2,1,584584,6130,42,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","479986fc12b02040302f3d2b2a903e53","6bcf6c1f8c373d25fca1579bc4464a91",3
"11972","a32200385b4594cb11f8a19e92c96835",11,4,1,584615,6120,0,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","8ebd7ffbe4abc944a07345b559a37ac1","6bcf6c1f8c373d25fca1579bc4464a91",3
"11973","a32200385b4594cb11f8a19e92c96835",12,7,1,584885,6010,5,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","0f79f5ac1d01d9639c74a0cce4a8c7b3","6bcf6c1f8c373d25fca1579bc4464a91",3
