"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"14193","bd1f8947f5541c2fb22f6328a58f4fc6",1,12,1,600619,7200,0,0,"1473d70e5646a26de3c52aa1abd85b1f","6bcf6c1f8c373d25fca1579bc4464a91","6bcf6c1f8c373d25fca1579bc4464a91",0
"14194","bd1f8947f5541c2fb22f6328a58f4fc6",2,10,1,600620,7200,0,0,"8362dfecb7412f12a12713852d2ae566","b90945b4a95bfc10ffc239ec4eac211d","6747ed60ebf43c90d3329c9d744662cb",3
"14195","bd1f8947f5541c2fb22f6328a58f4fc6",3,2,1,600740,7070,1,3,"8362dfecb7412f12a12713852d2ae566","bd20bf656b42bc62dbff50057d2b229a","6bcf6c1f8c373d25fca1579bc4464a91",3
"14196","bd1f8947f5541c2fb22f6328a58f4fc6",4,4,1,600751,7060,0,0,"8362dfecb7412f12a12713852d2ae566","b90945b4a95bfc10ffc239ec4eac211d","6bcf6c1f8c373d25fca1579bc4464a91",3
"14197","bd1f8947f5541c2fb22f6328a58f4fc6",5,2,1,600993,6820,63,2,"e1f2c56e5df4f2e975a969f329a7068c","c6a9f7baaf3b88105816cf658c0cf7e8","6bcf6c1f8c373d25fca1579bc4464a91",2
"14198","bd1f8947f5541c2fb22f6328a58f4fc6",6,4,1,601006,6810,0,0,"e1f2c56e5df4f2e975a969f329a7068c","6747ed60ebf43c90d3329c9d744662cb","6bcf6c1f8c373d25fca1579bc4464a91",2
"14199","bd1f8947f5541c2fb22f6328a58f4fc6",7,1,1,601168,6690,101,2,"8362dfecb7412f12a12713852d2ae566","bb78908ffd321b2e0709b9b462786360","6bcf6c1f8c373d25fca1579bc4464a91",3
"14200","bd1f8947f5541c2fb22f6328a58f4fc6",8,6,1,601169,6690,2,0,"8362dfecb7412f12a12713852d2ae566","c6a9f7baaf3b88105816cf658c0cf7e8","bb78908ffd321b2e0709b9b462786360",3
"14201","bd1f8947f5541c2fb22f6328a58f4fc6",9,3,1,601375,6690,10,2,"8362dfecb7412f12a12713852d2ae566","bb78908ffd321b2e0709b9b462786360","6bcf6c1f8c373d25fca1579bc4464a91",3
"14202","bd1f8947f5541c2fb22f6328a58f4fc6",11,4,1,601469,6680,0,0,"8362dfecb7412f12a12713852d2ae566","c6a9f7baaf3b88105816cf658c0cf7e8","6bcf6c1f8c373d25fca1579bc4464a91",3
"14203","bd1f8947f5541c2fb22f6328a58f4fc6",13,1,1,601643,6500,1,3,"e1f2c56e5df4f2e975a969f329a7068c","70f7e0aad42e27aacb7490d349a4b233","c6a9f7baaf3b88105816cf658c0cf7e8",2
"14204","bd1f8947f5541c2fb22f6328a58f4fc6",14,2,1,601858,6280,81,2,"8362dfecb7412f12a12713852d2ae566","ff9ea417d5345bb5e4e6ec152ae2358f","6bcf6c1f8c373d25fca1579bc4464a91",3
"14205","bd1f8947f5541c2fb22f6328a58f4fc6",15,4,1,601870,6280,0,0,"8362dfecb7412f12a12713852d2ae566","57ed4bb35e7cef3fc5f579bd119ceeca","6bcf6c1f8c373d25fca1579bc4464a91",3
"14206","bd1f8947f5541c2fb22f6328a58f4fc6",16,1,1,601960,6180,1,2,"e1f2c56e5df4f2e975a969f329a7068c","57ed4bb35e7cef3fc5f579bd119ceeca","70f7e0aad42e27aacb7490d349a4b233",2
"14207","bd1f8947f5541c2fb22f6328a58f4fc6",17,2,1,602230,5920,102,2,"8362dfecb7412f12a12713852d2ae566","173f319db1edc802bf85ecff4a759d8c","6bcf6c1f8c373d25fca1579bc4464a91",3
"14208","bd1f8947f5541c2fb22f6328a58f4fc6",18,4,1,602245,5900,0,0,"8362dfecb7412f12a12713852d2ae566","70f7e0aad42e27aacb7490d349a4b233","6bcf6c1f8c373d25fca1579bc4464a91",3
"14209","bd1f8947f5541c2fb22f6328a58f4fc6",19,5,1,602321,5850,40,0,"e1f2c56e5df4f2e975a969f329a7068c","b90945b4a95bfc10ffc239ec4eac211d","6bcf6c1f8c373d25fca1579bc4464a91",2
"14210","bd1f8947f5541c2fb22f6328a58f4fc6",20,1,1,602473,5740,1,3,"8362dfecb7412f12a12713852d2ae566","ff9ea417d5345bb5e4e6ec152ae2358f","bb78908ffd321b2e0709b9b462786360",3
"14211","bd1f8947f5541c2fb22f6328a58f4fc6",21,1,1,602692,5520,1,2,"e1f2c56e5df4f2e975a969f329a7068c","57ed4bb35e7cef3fc5f579bd119ceeca","c6a9f7baaf3b88105816cf658c0cf7e8",2
"14212","bd1f8947f5541c2fb22f6328a58f4fc6",22,2,1,602872,5340,79,2,"8362dfecb7412f12a12713852d2ae566","bd20bf656b42bc62dbff50057d2b229a","6bcf6c1f8c373d25fca1579bc4464a91",3
"14213","bd1f8947f5541c2fb22f6328a58f4fc6",23,4,1,602890,5330,0,0,"8362dfecb7412f12a12713852d2ae566","57ed4bb35e7cef3fc5f579bd119ceeca","6bcf6c1f8c373d25fca1579bc4464a91",3
"14214","bd1f8947f5541c2fb22f6328a58f4fc6",24,6,1,602987,5250,2,0,"e1f2c56e5df4f2e975a969f329a7068c","6747ed60ebf43c90d3329c9d744662cb","c6a9f7baaf3b88105816cf658c0cf7e8",2
"14215","bd1f8947f5541c2fb22f6328a58f4fc6",25,3,1,603135,5250,11,1,"e1f2c56e5df4f2e975a969f329a7068c","c6a9f7baaf3b88105816cf658c0cf7e8","6bcf6c1f8c373d25fca1579bc4464a91",2
"14216","bd1f8947f5541c2fb22f6328a58f4fc6",27,3,1,603228,5250,12,1,"e1f2c56e5df4f2e975a969f329a7068c","c6a9f7baaf3b88105816cf658c0cf7e8","6bcf6c1f8c373d25fca1579bc4464a91",2
"14217","bd1f8947f5541c2fb22f6328a58f4fc6",29,2,1,603426,5140,79,3,"8362dfecb7412f12a12713852d2ae566","bb78908ffd321b2e0709b9b462786360","6bcf6c1f8c373d25fca1579bc4464a91",3
"14218","bd1f8947f5541c2fb22f6328a58f4fc6",30,4,1,603438,5130,0,0,"8362dfecb7412f12a12713852d2ae566","b90945b4a95bfc10ffc239ec4eac211d","6bcf6c1f8c373d25fca1579bc4464a91",3
"14219","bd1f8947f5541c2fb22f6328a58f4fc6",31,1,1,603534,5030,1,3,"e1f2c56e5df4f2e975a969f329a7068c","b90945b4a95bfc10ffc239ec4eac211d","4dda057700cc34ac57fede94ff8c0652",2
"14220","bd1f8947f5541c2fb22f6328a58f4fc6",32,2,1,603671,4890,79,2,"8362dfecb7412f12a12713852d2ae566","bd20bf656b42bc62dbff50057d2b229a","6bcf6c1f8c373d25fca1579bc4464a91",3
"14221","bd1f8947f5541c2fb22f6328a58f4fc6",33,4,1,603685,4880,0,0,"8362dfecb7412f12a12713852d2ae566","4dda057700cc34ac57fede94ff8c0652","6bcf6c1f8c373d25fca1579bc4464a91",3
"14222","bd1f8947f5541c2fb22f6328a58f4fc6",34,2,1,603762,4800,1,3,"e1f2c56e5df4f2e975a969f329a7068c","4dda057700cc34ac57fede94ff8c0652","6bcf6c1f8c373d25fca1579bc4464a91",2
"14223","bd1f8947f5541c2fb22f6328a58f4fc6",35,4,1,603774,4790,0,0,"e1f2c56e5df4f2e975a969f329a7068c","6747ed60ebf43c90d3329c9d744662cb","6bcf6c1f8c373d25fca1579bc4464a91",2
"14224","bd1f8947f5541c2fb22f6328a58f4fc6",36,2,1,603920,4640,1,3,"8362dfecb7412f12a12713852d2ae566","ff9ea417d5345bb5e4e6ec152ae2358f","6bcf6c1f8c373d25fca1579bc4464a91",3
"14225","bd1f8947f5541c2fb22f6328a58f4fc6",37,4,1,603928,4630,0,0,"8362dfecb7412f12a12713852d2ae566","6747ed60ebf43c90d3329c9d744662cb","6bcf6c1f8c373d25fca1579bc4464a91",3
