"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"15115","bfc4c8f688f511fb76f7fd82a3807f94",0,12,1,672037,7200,0,0,"1473d70e5646a26de3c52aa1abd85b1f","6bcf6c1f8c373d25fca1579bc4464a91","6bcf6c1f8c373d25fca1579bc4464a91",0
"15116","bfc4c8f688f511fb76f7fd82a3807f94",1,10,1,672084,7200,0,0,"8e90edc4eb908903bcbb567f92488049","171fe637accecc29979e5408595de077","c2502dbdbdc5273bac8daa884e3ff63a",3
"15117","bfc4c8f688f511fb76f7fd82a3807f94",2,1,1,672228,6980,5,2,"8e90edc4eb908903bcbb567f92488049","1b335cd14d37addc486b357c3b58db27","67f4ecb2bff373b7f14f59bdf87b47c6",3
"15118","bfc4c8f688f511fb76f7fd82a3807f94",3,2,1,672432,6790,1,2,"de15a687fa7995b12a3e4b0a1fa8db14","171fe637accecc29979e5408595de077","6bcf6c1f8c373d25fca1579bc4464a91",2
"15119","bfc4c8f688f511fb76f7fd82a3807f94",4,4,1,672442,6770,0,0,"de15a687fa7995b12a3e4b0a1fa8db14","c2502dbdbdc5273bac8daa884e3ff63a","6bcf6c1f8c373d25fca1579bc4464a91",2
"15120","bfc4c8f688f511fb76f7fd82a3807f94",5,2,1,672582,6630,1,2,"8e90edc4eb908903bcbb567f92488049","67f4ecb2bff373b7f14f59bdf87b47c6","6bcf6c1f8c373d25fca1579bc4464a91",3
"15121","bfc4c8f688f511fb76f7fd82a3807f94",6,4,1,672592,6620,0,0,"8e90edc4eb908903bcbb567f92488049","81bf6c77460a6f7219c623af50178de5","6bcf6c1f8c373d25fca1579bc4464a91",3
"15122","bfc4c8f688f511fb76f7fd82a3807f94",7,6,1,672689,6620,1,0,"de15a687fa7995b12a3e4b0a1fa8db14","67f4ecb2bff373b7f14f59bdf87b47c6","171fe637accecc29979e5408595de077",2
"15123","bfc4c8f688f511fb76f7fd82a3807f94",8,1,1,673000,6420,1,2,"de15a687fa7995b12a3e4b0a1fa8db14","171fe637accecc29979e5408595de077","1e5a19729df6e4496686d9356be411ca",2
"15124","bfc4c8f688f511fb76f7fd82a3807f94",9,2,1,673164,6250,1,2,"8e90edc4eb908903bcbb567f92488049","c2502dbdbdc5273bac8daa884e3ff63a","6bcf6c1f8c373d25fca1579bc4464a91",3
"15125","bfc4c8f688f511fb76f7fd82a3807f94",10,4,1,673172,6250,0,0,"8e90edc4eb908903bcbb567f92488049","171fe637accecc29979e5408595de077","6bcf6c1f8c373d25fca1579bc4464a91",3
"15126","bfc4c8f688f511fb76f7fd82a3807f94",11,1,1,673289,6130,1,3,"de15a687fa7995b12a3e4b0a1fa8db14","171fe637accecc29979e5408595de077","1e5a19729df6e4496686d9356be411ca",2
"15127","bfc4c8f688f511fb76f7fd82a3807f94",12,6,1,673558,5920,2,0,"8e90edc4eb908903bcbb567f92488049","81bf6c77460a6f7219c623af50178de5","f2e41e7ce25aff54b85ee5ab66f69187",3
"15128","bfc4c8f688f511fb76f7fd82a3807f94",13,3,1,673662,5920,11,1,"8e90edc4eb908903bcbb567f92488049","f2e41e7ce25aff54b85ee5ab66f69187","6bcf6c1f8c373d25fca1579bc4464a91",3
"15129","bfc4c8f688f511fb76f7fd82a3807f94",15,3,1,673865,5920,12,1,"8e90edc4eb908903bcbb567f92488049","f2e41e7ce25aff54b85ee5ab66f69187","6bcf6c1f8c373d25fca1579bc4464a91",3
"15130","bfc4c8f688f511fb76f7fd82a3807f94",17,1,1,674092,5780,86,2,"de15a687fa7995b12a3e4b0a1fa8db14","3d6fa00462bffd51ce5cf6612ec9026a","6bcf6c1f8c373d25fca1579bc4464a91",2
"15131","bfc4c8f688f511fb76f7fd82a3807f94",18,6,1,674093,5780,2,0,"de15a687fa7995b12a3e4b0a1fa8db14","1b335cd14d37addc486b357c3b58db27","3d6fa00462bffd51ce5cf6612ec9026a",2
"15132","bfc4c8f688f511fb76f7fd82a3807f94",19,3,1,674221,5780,10,1,"de15a687fa7995b12a3e4b0a1fa8db14","3d6fa00462bffd51ce5cf6612ec9026a","6bcf6c1f8c373d25fca1579bc4464a91",2
"15133","bfc4c8f688f511fb76f7fd82a3807f94",21,1,1,674532,5570,7,2,"8e90edc4eb908903bcbb567f92488049","c2502dbdbdc5273bac8daa884e3ff63a","f2e41e7ce25aff54b85ee5ab66f69187",3
"15134","bfc4c8f688f511fb76f7fd82a3807f94",22,6,1,674754,5390,2,0,"de15a687fa7995b12a3e4b0a1fa8db14","64434221db9ba319f8d13632f1c2ad32","81bf6c77460a6f7219c623af50178de5",2
"15135","bfc4c8f688f511fb76f7fd82a3807f94",23,3,1,675015,5390,11,1,"de15a687fa7995b12a3e4b0a1fa8db14","81bf6c77460a6f7219c623af50178de5","6bcf6c1f8c373d25fca1579bc4464a91",2
"15136","bfc4c8f688f511fb76f7fd82a3807f94",25,3,1,675196,5390,12,1,"de15a687fa7995b12a3e4b0a1fa8db14","81bf6c77460a6f7219c623af50178de5","6bcf6c1f8c373d25fca1579bc4464a91",2
"15137","bfc4c8f688f511fb76f7fd82a3807f94",27,1,1,675367,5330,108,2,"8e90edc4eb908903bcbb567f92488049","c2502dbdbdc5273bac8daa884e3ff63a","f2e41e7ce25aff54b85ee5ab66f69187",3
"15138","bfc4c8f688f511fb76f7fd82a3807f94",28,1,1,675529,5160,1,3,"de15a687fa7995b12a3e4b0a1fa8db14","171fe637accecc29979e5408595de077","4d371dbb9d07b0a451e6a253244d3079",2
"15139","bfc4c8f688f511fb76f7fd82a3807f94",29,9,1,675620,5100,1,0,"8e90edc4eb908903bcbb567f92488049","059fd51a94e176e58684642f978d80e3","6bcf6c1f8c373d25fca1579bc4464a91",3
"15140","bfc4c8f688f511fb76f7fd82a3807f94",31,2,1,677158,5010,1,3,"8e90edc4eb908903bcbb567f92488049","1b335cd14d37addc486b357c3b58db27","6bcf6c1f8c373d25fca1579bc4464a91",3
"15141","bfc4c8f688f511fb76f7fd82a3807f94",32,4,1,677167,5010,0,0,"8e90edc4eb908903bcbb567f92488049","81bf6c77460a6f7219c623af50178de5","6bcf6c1f8c373d25fca1579bc4464a91",3
"15142","bfc4c8f688f511fb76f7fd82a3807f94",33,2,1,677332,4840,1,2,"de15a687fa7995b12a3e4b0a1fa8db14","3d6fa00462bffd51ce5cf6612ec9026a","6bcf6c1f8c373d25fca1579bc4464a91",2
