"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"16505","cc638bdf25316add638154b45434aebd",0,12,1,582618,7200,0,0,"1473d70e5646a26de3c52aa1abd85b1f","6bcf6c1f8c373d25fca1579bc4464a91","6bcf6c1f8c373d25fca1579bc4464a91",0
"16506","cc638bdf25316add638154b45434aebd",1,10,1,582619,7200,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","5234e98b6206eb09c43f8cf19ae9d6ef",2
"16507","cc638bdf25316add638154b45434aebd",2,2,1,582818,7000,1,2,"3cd0b15957ceb80f5125bef8bd1bbea7","45e7a758a91a254ff04756562e740f2d","6bcf6c1f8c373d25fca1579bc4464a91",2
"16508","cc638bdf25316add638154b45434aebd",3,4,1,582842,6990,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","5234e98b6206eb09c43f8cf19ae9d6ef","6bcf6c1f8c373d25fca1579bc4464a91",2
"16509","cc638bdf25316add638154b45434aebd",4,6,1,583098,6790,2,0,"012059d397c0b7e5a30a5bb89c0b075e","45e7a758a91a254ff04756562e740f2d","011ffbd69cd25a2324c720b64f31712a",3
"16510","cc638bdf25316add638154b45434aebd",5,3,1,583196,6790,11,2,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"16511","cc638bdf25316add638154b45434aebd",6,4,1,583197,6790,1,0,"012059d397c0b7e5a30a5bb89c0b075e","3dcc053c4f1b3eb796205b47647cc12d","6bcf6c1f8c373d25fca1579bc4464a91",3
"16512","cc638bdf25316add638154b45434aebd",7,3,1,583261,6790,12,1,"012059d397c0b7e5a30a5bb89c0b075e","011ffbd69cd25a2324c720b64f31712a","6bcf6c1f8c373d25fca1579bc4464a91",3
"16513","cc638bdf25316add638154b45434aebd",9,2,1,583497,6680,1,2,"3cd0b15957ceb80f5125bef8bd1bbea7","021dabc5d7a1404ec8ad34fe8ca4b5e3","6bcf6c1f8c373d25fca1579bc4464a91",2
"16514","cc638bdf25316add638154b45434aebd",10,4,1,583509,6680,0,0,"3cd0b15957ceb80f5125bef8bd1bbea7","c721802743c4dd0a6d0fbdc0ccb8d196","6bcf6c1f8c373d25fca1579bc4464a91",2
