"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"16989","d0c6985ffc5f03ba09393699467a580a",1,12,1,546344,7200,0,0,"1473d70e5646a26de3c52aa1abd85b1f","6bcf6c1f8c373d25fca1579bc4464a91","6bcf6c1f8c373d25fca1579bc4464a91",0
"16990","d0c6985ffc5f03ba09393699467a580a",2,10,1,546559,7200,0,0,"20c08a50314704513bb9ab9c18d70fb1","0d4f00ab57bedad897a0aecf8dfa692f","008c7fb331f92d216799d21a9104231a",2
"16991","d0c6985ffc5f03ba09393699467a580a",3,2,1,546796,6970,79,2,"20c08a50314704513bb9ab9c18d70fb1","cbd8848dea8700073ef1dbb218821339","6bcf6c1f8c373d25fca1579bc4464a91",2
"16992","d0c6985ffc5f03ba09393699467a580a",4,4,1,546809,6950,0,0,"20c08a50314704513bb9ab9c18d70fb1","c17f6e6b83ccc768962046f1af1372a5","6bcf6c1f8c373d25fca1579bc4464a91",2
"16993","d0c6985ffc5f03ba09393699467a580a",5,1,1,546994,6770,1,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","c17f6e6b83ccc768962046f1af1372a5","6bcf6c1f8c373d25fca1579bc4464a91",3
"16994","d0c6985ffc5f03ba09393699467a580a",6,1,1,547089,6680,47,2,"20c08a50314704513bb9ab9c18d70fb1","ea16528886a6058e0d8133e78bec598e","0d4f00ab57bedad897a0aecf8dfa692f",2
"16995","d0c6985ffc5f03ba09393699467a580a",7,6,1,547270,6530,2,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","ea16528886a6058e0d8133e78bec598e","c17f6e6b83ccc768962046f1af1372a5",3
"16996","d0c6985ffc5f03ba09393699467a580a",8,3,1,547371,6530,11,2,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","c17f6e6b83ccc768962046f1af1372a5","6bcf6c1f8c373d25fca1579bc4464a91",3
"16997","d0c6985ffc5f03ba09393699467a580a",9,4,1,547372,6530,1,0,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","8ebd7ffbe4abc944a07345b559a37ac1","6bcf6c1f8c373d25fca1579bc4464a91",3
"16998","d0c6985ffc5f03ba09393699467a580a",10,3,1,547446,6530,12,1,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","c17f6e6b83ccc768962046f1af1372a5","6bcf6c1f8c373d25fca1579bc4464a91",3
"16999","d0c6985ffc5f03ba09393699467a580a",12,2,1,547826,6350,75,2,"20c08a50314704513bb9ab9c18d70fb1","54585b803d43739f9a55ac96da873fbf","6bcf6c1f8c373d25fca1579bc4464a91",2
"17000","d0c6985ffc5f03ba09393699467a580a",13,4,1,547838,6330,0,0,"20c08a50314704513bb9ab9c18d70fb1","008c7fb331f92d216799d21a9104231a","6bcf6c1f8c373d25fca1579bc4464a91",2
"17001","d0c6985ffc5f03ba09393699467a580a",14,1,1,547926,6260,1,3,"01be0ad4af7aeb1f6d2cc2b6b6d6d811","07695ef9feebc6ba02831f0f3c22662a","c6e0c30c8c02b0706682ec89eb6fc565",3
"17002","d0c6985ffc5f03ba09393699467a580a",15,5,1,548021,6160,1,1,"20c08a50314704513bb9ab9c18d70fb1","0d4f00ab57bedad897a0aecf8dfa692f","c17f6e6b83ccc768962046f1af1372a5",2
