"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"17911","d9eb042455c8f36574d3a52e678a8916",0,12,1,330313,7200,0,0,"1473d70e5646a26de3c52aa1abd85b1f","6bcf6c1f8c373d25fca1579bc4464a91","6bcf6c1f8c373d25fca1579bc4464a91",0
"17912","d9eb042455c8f36574d3a52e678a8916",1,10,1,330315,7200,0,0,"bcdf0d0117f2e3d5afcd70f977eae3d6","2f04dbbabeefc1447ca06ae228d8b42c","59f29037d9dc9165fb360b9b3612d919",3
"17913","d9eb042455c8f36574d3a52e678a8916",2,2,1,330536,6980,86,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","4a34b108d006b92660ec7593dde29e0d","6bcf6c1f8c373d25fca1579bc4464a91",3
"17914","d9eb042455c8f36574d3a52e678a8916",3,4,1,330547,6970,0,0,"bcdf0d0117f2e3d5afcd70f977eae3d6","b0b5fb4a9b857c0cf63b80c1893bfef4","6bcf6c1f8c373d25fca1579bc4464a91",3
"17915","d9eb042455c8f36574d3a52e678a8916",4,2,1,330796,6710,98,2,"0a6fc39f34702cff144525dfd265f8fa","2f04dbbabeefc1447ca06ae228d8b42c","6bcf6c1f8c373d25fca1579bc4464a91",2
"17916","d9eb042455c8f36574d3a52e678a8916",5,4,1,330818,6700,0,0,"0a6fc39f34702cff144525dfd265f8fa","30f38d775cff2a96532ccc7c5e48c48b","6bcf6c1f8c373d25fca1579bc4464a91",2
"17917","d9eb042455c8f36574d3a52e678a8916",6,2,1,330973,6540,1,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","59f29037d9dc9165fb360b9b3612d919","6bcf6c1f8c373d25fca1579bc4464a91",3
"17918","d9eb042455c8f36574d3a52e678a8916",7,4,1,330983,6530,0,0,"bcdf0d0117f2e3d5afcd70f977eae3d6","b0b5fb4a9b857c0cf63b80c1893bfef4","6bcf6c1f8c373d25fca1579bc4464a91",3
"17919","d9eb042455c8f36574d3a52e678a8916",8,2,1,331064,6450,1,3,"0a6fc39f34702cff144525dfd265f8fa","93cccaa284535f9bef1dbce1d6adfb34","6bcf6c1f8c373d25fca1579bc4464a91",2
"17920","d9eb042455c8f36574d3a52e678a8916",9,4,1,331081,6440,0,0,"0a6fc39f34702cff144525dfd265f8fa","4eff0c7b3c32f68bfece327044b47b49","6bcf6c1f8c373d25fca1579bc4464a91",2
"17921","d9eb042455c8f36574d3a52e678a8916",10,2,1,331184,6330,1,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","59f29037d9dc9165fb360b9b3612d919","6bcf6c1f8c373d25fca1579bc4464a91",3
"17922","d9eb042455c8f36574d3a52e678a8916",11,4,1,331201,6310,0,0,"bcdf0d0117f2e3d5afcd70f977eae3d6","b0b5fb4a9b857c0cf63b80c1893bfef4","6bcf6c1f8c373d25fca1579bc4464a91",3
"17923","d9eb042455c8f36574d3a52e678a8916",12,1,1,331290,6220,75,2,"0a6fc39f34702cff144525dfd265f8fa","b0b5fb4a9b857c0cf63b80c1893bfef4","6bcf6c1f8c373d25fca1579bc4464a91",2
"17924","d9eb042455c8f36574d3a52e678a8916",13,1,1,331523,5990,1,3,"bcdf0d0117f2e3d5afcd70f977eae3d6","73cae0c04831cfb8dd47d5f41faf277f","4eff0c7b3c32f68bfece327044b47b49",3
"17925","d9eb042455c8f36574d3a52e678a8916",14,1,1,331761,5750,49,2,"0a6fc39f34702cff144525dfd265f8fa","93cccaa284535f9bef1dbce1d6adfb34","039bd19014e6cfcf867f442aa412ad6a",2
"17926","d9eb042455c8f36574d3a52e678a8916",15,1,1,331990,5520,1,3,"bcdf0d0117f2e3d5afcd70f977eae3d6","30f38d775cff2a96532ccc7c5e48c48b","73cae0c04831cfb8dd47d5f41faf277f",3
"17927","d9eb042455c8f36574d3a52e678a8916",16,1,1,332192,5320,75,2,"0a6fc39f34702cff144525dfd265f8fa","522a32a0442e32bce9aba28ac7ba327b","93cccaa284535f9bef1dbce1d6adfb34",2
"17928","d9eb042455c8f36574d3a52e678a8916",17,1,1,332365,5140,101,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","4eff0c7b3c32f68bfece327044b47b49","6bcf6c1f8c373d25fca1579bc4464a91",3
"17929","d9eb042455c8f36574d3a52e678a8916",18,2,1,332529,4980,1,3,"0a6fc39f34702cff144525dfd265f8fa","93cccaa284535f9bef1dbce1d6adfb34","6bcf6c1f8c373d25fca1579bc4464a91",2
"17930","d9eb042455c8f36574d3a52e678a8916",19,4,1,332545,4970,0,0,"0a6fc39f34702cff144525dfd265f8fa","59f29037d9dc9165fb360b9b3612d919","6bcf6c1f8c373d25fca1579bc4464a91",2
"17931","d9eb042455c8f36574d3a52e678a8916",20,5,1,332594,4930,2,1,"bcdf0d0117f2e3d5afcd70f977eae3d6","73cae0c04831cfb8dd47d5f41faf277f","039bd19014e6cfcf867f442aa412ad6a",3
"17932","d9eb042455c8f36574d3a52e678a8916",22,1,1,332733,4780,80,3,"0a6fc39f34702cff144525dfd265f8fa","b0b5fb4a9b857c0cf63b80c1893bfef4","6bcf6c1f8c373d25fca1579bc4464a91",2
"17933","d9eb042455c8f36574d3a52e678a8916",23,2,1,332894,4620,47,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","4a34b108d006b92660ec7593dde29e0d","6bcf6c1f8c373d25fca1579bc4464a91",3
"17934","d9eb042455c8f36574d3a52e678a8916",24,4,1,332906,4610,0,0,"bcdf0d0117f2e3d5afcd70f977eae3d6","93cccaa284535f9bef1dbce1d6adfb34","6bcf6c1f8c373d25fca1579bc4464a91",3
"17935","d9eb042455c8f36574d3a52e678a8916",25,2,1,332972,4540,5,2,"0a6fc39f34702cff144525dfd265f8fa","b0b5fb4a9b857c0cf63b80c1893bfef4","6bcf6c1f8c373d25fca1579bc4464a91",2
"17936","d9eb042455c8f36574d3a52e678a8916",26,4,1,332991,4530,0,0,"0a6fc39f34702cff144525dfd265f8fa","b0b5fb4a9b857c0cf63b80c1893bfef4","6bcf6c1f8c373d25fca1579bc4464a91",2
"17937","d9eb042455c8f36574d3a52e678a8916",27,1,1,333017,4490,1,3,"0a6fc39f34702cff144525dfd265f8fa","039bd19014e6cfcf867f442aa412ad6a","b0b5fb4a9b857c0cf63b80c1893bfef4",2
"17938","d9eb042455c8f36574d3a52e678a8916",28,2,1,333184,4330,79,2,"bcdf0d0117f2e3d5afcd70f977eae3d6","4eff0c7b3c32f68bfece327044b47b49","6bcf6c1f8c373d25fca1579bc4464a91",3
"17939","d9eb042455c8f36574d3a52e678a8916",29,4,1,333204,4320,0,0,"bcdf0d0117f2e3d5afcd70f977eae3d6","522a32a0442e32bce9aba28ac7ba327b","6bcf6c1f8c373d25fca1579bc4464a91",3
"17940","d9eb042455c8f36574d3a52e678a8916",30,6,1,333331,4250,2,0,"0a6fc39f34702cff144525dfd265f8fa","73cae0c04831cfb8dd47d5f41faf277f","522a32a0442e32bce9aba28ac7ba327b",2
"17941","d9eb042455c8f36574d3a52e678a8916",31,3,1,333504,4250,11,2,"0a6fc39f34702cff144525dfd265f8fa","522a32a0442e32bce9aba28ac7ba327b","6bcf6c1f8c373d25fca1579bc4464a91",2
"17942","d9eb042455c8f36574d3a52e678a8916",32,4,1,333505,4250,1,0,"0a6fc39f34702cff144525dfd265f8fa","54c651e890bb8dce5206c16d0c7957a7","6bcf6c1f8c373d25fca1579bc4464a91",2
"17943","d9eb042455c8f36574d3a52e678a8916",33,3,1,333669,4250,12,1,"0a6fc39f34702cff144525dfd265f8fa","522a32a0442e32bce9aba28ac7ba327b","6bcf6c1f8c373d25fca1579bc4464a91",2
"17944","d9eb042455c8f36574d3a52e678a8916",35,5,1,333907,4100,4,0,"bcdf0d0117f2e3d5afcd70f977eae3d6","4eff0c7b3c32f68bfece327044b47b49","6bcf6c1f8c373d25fca1579bc4464a91",3
"17945","d9eb042455c8f36574d3a52e678a8916",36,1,1,334112,4000,52,2,"0a6fc39f34702cff144525dfd265f8fa","b0b5fb4a9b857c0cf63b80c1893bfef4","522a32a0442e32bce9aba28ac7ba327b",2
"17946","d9eb042455c8f36574d3a52e678a8916",37,9,1,334149,4000,1,0,"bcdf0d0117f2e3d5afcd70f977eae3d6","c6e0e2c10637495074eca853cdcb5b9f","6bcf6c1f8c373d25fca1579bc4464a91",3
"17948","d9eb042455c8f36574d3a52e678a8916",39,8,1,335257,4000,0,0,"bcdf0d0117f2e3d5afcd70f977eae3d6","4a34b108d006b92660ec7593dde29e0d","0f02d616e027988803324c84e8951a0e",3
