"","Game_id","Event_Num","Event_Msg_Type","Period","WC_Time","PC_Time","Action_Type","Option1","Team_id","Person1","Person2","Team_id_type"
"21024","e44e31fefaa028c1e9df1a71d4aff555",1,12,1,585348,7200,0,0,"1473d70e5646a26de3c52aa1abd85b1f","6bcf6c1f8c373d25fca1579bc4464a91","6bcf6c1f8c373d25fca1579bc4464a91",0
"21025","e44e31fefaa028c1e9df1a71d4aff555",2,10,1,585349,7200,0,0,"0a6fc39f34702cff144525dfd265f8fa","93cccaa284535f9bef1dbce1d6adfb34","9f0ee42268a2542d7fd028fe79184286",2
"21026","e44e31fefaa028c1e9df1a71d4aff555",3,1,1,585501,7040,1,3,"0a6fc39f34702cff144525dfd265f8fa","039bd19014e6cfcf867f442aa412ad6a","93cccaa284535f9bef1dbce1d6adfb34",2
"21027","e44e31fefaa028c1e9df1a71d4aff555",4,1,1,585654,6890,58,2,"f96485cbaafa2a7883cb1a9342a4cbd3","9f0ee42268a2542d7fd028fe79184286","58f273dbbf002f0ec411fc247e07dd0a",3
"21028","e44e31fefaa028c1e9df1a71d4aff555",5,6,1,585849,6740,1,0,"0a6fc39f34702cff144525dfd265f8fa","1cd0599b37f77c2be76a2c6df23d1ba8","522a32a0442e32bce9aba28ac7ba327b",2
"21029","e44e31fefaa028c1e9df1a71d4aff555",6,1,1,586103,6640,52,2,"0a6fc39f34702cff144525dfd265f8fa","93cccaa284535f9bef1dbce1d6adfb34","522a32a0442e32bce9aba28ac7ba327b",2
"21030","e44e31fefaa028c1e9df1a71d4aff555",7,2,1,586327,6420,58,2,"f96485cbaafa2a7883cb1a9342a4cbd3","9f0ee42268a2542d7fd028fe79184286","6bcf6c1f8c373d25fca1579bc4464a91",3
"21031","e44e31fefaa028c1e9df1a71d4aff555",9,4,1,586346,6410,0,0,"f96485cbaafa2a7883cb1a9342a4cbd3","adcd53acc9f5585db4c510745b2bac89","6bcf6c1f8c373d25fca1579bc4464a91",3
"21032","e44e31fefaa028c1e9df1a71d4aff555",8,1,1,586348,6410,97,2,"f96485cbaafa2a7883cb1a9342a4cbd3","adcd53acc9f5585db4c510745b2bac89","6bcf6c1f8c373d25fca1579bc4464a91",3
"21033","e44e31fefaa028c1e9df1a71d4aff555",10,2,1,586551,6200,79,2,"0a6fc39f34702cff144525dfd265f8fa","039bd19014e6cfcf867f442aa412ad6a","6bcf6c1f8c373d25fca1579bc4464a91",2
"21034","e44e31fefaa028c1e9df1a71d4aff555",11,4,1,586564,6190,0,0,"0a6fc39f34702cff144525dfd265f8fa","9f0ee42268a2542d7fd028fe79184286","6bcf6c1f8c373d25fca1579bc4464a91",2
"21035","e44e31fefaa028c1e9df1a71d4aff555",12,2,1,586679,6070,79,2,"f96485cbaafa2a7883cb1a9342a4cbd3","adcd53acc9f5585db4c510745b2bac89","6bcf6c1f8c373d25fca1579bc4464a91",3
"21036","e44e31fefaa028c1e9df1a71d4aff555",13,4,1,586689,6060,0,0,"f96485cbaafa2a7883cb1a9342a4cbd3","16f7d070421f93ae177d8adf1bc0edf2","6bcf6c1f8c373d25fca1579bc4464a91",3
"21037","e44e31fefaa028c1e9df1a71d4aff555",14,2,1,586803,5940,63,2,"0a6fc39f34702cff144525dfd265f8fa","522a32a0442e32bce9aba28ac7ba327b","6bcf6c1f8c373d25fca1579bc4464a91",2
"21038","e44e31fefaa028c1e9df1a71d4aff555",15,4,1,586820,5930,0,0,"0a6fc39f34702cff144525dfd265f8fa","039bd19014e6cfcf867f442aa412ad6a","6bcf6c1f8c373d25fca1579bc4464a91",2
"21039","e44e31fefaa028c1e9df1a71d4aff555",16,1,1,586854,5890,47,2,"0a6fc39f34702cff144525dfd265f8fa","039bd19014e6cfcf867f442aa412ad6a","6bcf6c1f8c373d25fca1579bc4464a91",2
"21040","e44e31fefaa028c1e9df1a71d4aff555",17,1,1,586997,5750,73,2,"f96485cbaafa2a7883cb1a9342a4cbd3","9d4117dd37b6a8592a711ef940b82de4","6bcf6c1f8c373d25fca1579bc4464a91",3
"21041","e44e31fefaa028c1e9df1a71d4aff555",18,2,1,587236,5520,1,3,"0a6fc39f34702cff144525dfd265f8fa","039bd19014e6cfcf867f442aa412ad6a","6bcf6c1f8c373d25fca1579bc4464a91",2
"21042","e44e31fefaa028c1e9df1a71d4aff555",19,4,1,587244,5510,0,0,"0a6fc39f34702cff144525dfd265f8fa","9d4117dd37b6a8592a711ef940b82de4","6bcf6c1f8c373d25fca1579bc4464a91",2
"21043","e44e31fefaa028c1e9df1a71d4aff555",20,5,1,587381,5380,2,1,"f96485cbaafa2a7883cb1a9342a4cbd3","9f0ee42268a2542d7fd028fe79184286","16f7d070421f93ae177d8adf1bc0edf2",3
